"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_august_BC01.cladeReads"	"kraken2_classification_august_BC02.cladeReads"	"kraken2_classification_august_BC03.cladeReads"	"kraken2_classification_august_BC04.cladeReads"	"kraken2_classification_august_BC05.cladeReads"	"kraken2_classification_august_BC06.cladeReads"	"kraken2_classification_august_BC07.cladeReads"	"kraken2_classification_august_BC08.cladeReads"	"kraken2_classification_august_BC09.cladeReads"	"kraken2_classification_august_BC10.cladeReads"	"kraken2_classification_august_BC11.cladeReads"	"kraken2_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_classification_august_BC01.cladeReads.."	"kraken2_classification_august_BC02.cladeReads.."	"kraken2_classification_august_BC03.cladeReads.."	"kraken2_classification_august_BC04.cladeReads.."	"kraken2_classification_august_BC05.cladeReads.."	"kraken2_classification_august_BC06.cladeReads.."	"kraken2_classification_august_BC07.cladeReads.."	"kraken2_classification_august_BC08.cladeReads.."	"kraken2_classification_august_BC09.cladeReads.."	"kraken2_classification_august_BC10.cladeReads.."	"kraken2_classification_august_BC11.cladeReads.."	"kraken2_classification_august_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	583	315	64	33	77	440	583	479	336	40	97	431	113	26.01	0.1235	0.1664	18.54	26.01	0.06078	0.08274	0.07689	0.0201	18.26	0.07809	0.05307	0.2837	"unclassified"
"root"	"-"	1	1671700	302796	44377	179	246	862101	866371	718077	1671682	199	130795	848080	43596	123	118.8	115.4	100.6	83.11	119.1	123	115.3	100	90.87	105.3	104.4	109.4	"root"
"cellular organisms"	"-"	131567	1671700	302796	44377	179	246	862101	866371	718077	1671682	199	130795	848080	43596	123	118.8	115.4	100.6	83.11	119.1	123	115.3	100	90.87	105.3	104.4	109.4	"root"
"Bacteria"	"D"	2	1671700	302796	44377	179	246	862096	866362	718065	1671680	199	130792	848072	43596	122.9	118.8	115.4	100.6	83.11	119.1	122.9	115.3	100	90.87	105.3	104.4	109.4	"cellular&nbsp;organisms"
"FCB group"	"-"	1783270	418980	130917	15367	58	47	203875	245393	139186	723	34	58446	418976	21386	53.69	51.35	39.96	32.58	15.88	28.16	34.82	22.34	0.04325	15.53	47.05	51.59	53.69	"cellular&nbsp;organisms>Bacteria"
"Bacteroidetes/Chlorobi group"	"-"	68336	418740	130252	15230	58	47	202450	244674	138222	717	34	58373	418740	21376	53.66	51.09	39.61	32.58	15.88	27.96	34.72	22.19	0.04289	15.53	46.99	51.56	53.66	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group"
"Bacteroidetes"	"P"	976	418680	130232	15224	58	47	202330	244547	138150	717	34	58366	418677	21374	53.65	51.08	39.59	32.58	15.88	27.95	34.7	22.18	0.04289	15.53	46.99	51.55	53.65	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group"
"Cytophagia"	"C"	768503	372230	96636	10887	34	27	136312	160394	103859	561	13	49879	372229	16496	45.83	37.9	28.31	19.1	9.122	18.83	22.76	16.67	0.03356	5.936	40.15	45.83	41.41	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes"
"Cytophagales"	"O"	768507	372230	96636	10887	34	27	136312	160394	103859	561	13	49879	372229	16496	45.83	37.9	28.31	19.1	9.122	18.83	22.76	16.67	0.03356	5.936	40.15	45.83	41.41	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia"
"Cytophagaceae"	"F"	89373	360210	81778	9191	25	20	102841	114157	87048	533	10	48233	360208	15081	44.35	32.07	23.9	14.04	6.757	14.21	16.2	13.97	0.03189	4.566	38.83	44.35	37.86	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Pseudarcicella"	"G"	1664383	350060	68365	7833	18	19	77665	82538	74631	505	9	46739	350063	14153	43.11	26.81	20.37	10.11	6.419	10.73	11.71	11.98	0.03021	4.11	37.63	43.11	35.53	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Pseudarcicella sp. HME7025"	"S"	2183547	350060	68365	7833	18	19	77665	82538	74631	505	9	46739	350063	14153	43.11	26.81	20.37	10.11	6.419	10.73	11.71	11.98	0.03021	4.11	37.63	43.11	35.53	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Pseudarcicella"
"Spirosoma"	"G"	107	28244	12330	1229	7	NA	22630	28244	10595	21	1	1249	8426	751	4.836	4.836	3.196	3.933	NA	3.126	4.008	1.701	0.001256	0.4566	1.005	1.038	1.885	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
