"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_august_BC01.cladeReads"	"kraken2_16s_k21_classification_august_BC02.cladeReads"	"kraken2_16s_k21_classification_august_BC03.cladeReads"	"kraken2_16s_k21_classification_august_BC04.cladeReads"	"kraken2_16s_k21_classification_august_BC05.cladeReads"	"kraken2_16s_k21_classification_august_BC06.cladeReads"	"kraken2_16s_k21_classification_august_BC07.cladeReads"	"kraken2_16s_k21_classification_august_BC08.cladeReads"	"kraken2_16s_k21_classification_august_BC09.cladeReads"	"kraken2_16s_k21_classification_august_BC10.cladeReads"	"kraken2_16s_k21_classification_august_BC11.cladeReads"	"kraken2_16s_k21_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_august_BC01.cladeReads.."	"kraken2_16s_k21_classification_august_BC02.cladeReads.."	"kraken2_16s_k21_classification_august_BC03.cladeReads.."	"kraken2_16s_k21_classification_august_BC04.cladeReads.."	"kraken2_16s_k21_classification_august_BC05.cladeReads.."	"kraken2_16s_k21_classification_august_BC06.cladeReads.."	"kraken2_16s_k21_classification_august_BC07.cladeReads.."	"kraken2_16s_k21_classification_august_BC08.cladeReads.."	"kraken2_16s_k21_classification_august_BC09.cladeReads.."	"kraken2_16s_k21_classification_august_BC10.cladeReads.."	"kraken2_16s_k21_classification_august_BC11.cladeReads.."	"kraken2_16s_k21_classification_august_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	212	212	66	40	107	63	98	90	44	63	53	95	150	34.41	0.07186	0.1533	19.23	34.41	0.007656	0.01179	0.0132	0.002656	27.27	0.0425	0.01175	0.3534	"unclassified"
"root"	"-"	1	1672000	302900	44375	173	216	862478	866857	718466	1671974	176	130839	848416	43559	105.4	102.7	103.1	83.17	69.45	104.8	104.3	105.4	100.9	76.19	104.9	104.9	102.6	"root"
"Bacteria"	"D"	3	1672000	302898	44375	171	215	862474	866855	718465	1671973	176	130838	848411	43559	105.4	102.7	103.1	82.21	69.13	104.8	104.3	105.4	100.9	76.19	104.9	104.9	102.6	"root"
"Bacteroidetes"	"P"	905	424640	131298	15340	61	43	206084	251768	139146	1103	35	58502	424643	21408	52.53	44.5	35.62	29.33	13.83	25.04	30.29	20.41	0.06659	15.15	46.91	52.53	50.44	"Bacteria"
"Bacteroidia"	"C"	912	424430	131155	15316	61	43	205803	251496	138769	1101	35	58460	424428	21404	52.5	44.45	35.57	29.33	13.83	25.01	30.25	20.35	0.06647	15.15	46.88	52.5	50.43	"Bacteria>Bacteroidetes"
"Cytophagales"	"O"	24714	346970	68829	7939	20	17	76263	77826	75863	570	9	46809	346969	14233	42.92	23.33	18.44	9.615	5.466	9.268	9.362	11.13	0.03441	3.896	37.54	42.92	33.53	"Bacteria>Bacteroidetes>Bacteroidia"
"Spirosomaceae"	"F"	24794	345260	67997	7796	16	17	75598	77120	74487	564	9	46624	345265	14175	42.71	23.05	18.1	7.692	5.466	9.187	9.278	10.92	0.03405	3.896	37.39	42.71	33.4	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Pseudarcicella"	"G"	24809	341220	67317	7713	14	17	74452	75784	73464	549	9	46141	341216	13957	42.21	22.82	17.91	6.731	5.466	9.047	9.117	10.77	0.03314	3.896	37	42.21	32.88	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Arcicella"	"G"	24795	1057	176	22	1	NA	234	257	200	5	NA	109	1057	51	0.4808	0.05965	0.05109	0.4808	NA	0.02844	0.03092	0.02933	0.0003019	NA	0.08741	0.1307	0.1202	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Flectobacillus"	"G"	24801	713	121	17	NA	NA	163	238	174	3	NA	98	713	29	0.08819	0.04101	0.03948	NA	NA	0.01981	0.02863	0.02552	0.0001811	NA	0.07859	0.08819	0.06833	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
