"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_august_BC01.cladeReads"	"centrifuge_classification_august_BC02.cladeReads"	"centrifuge_classification_august_BC03.cladeReads"	"centrifuge_classification_august_BC04.cladeReads"	"centrifuge_classification_august_BC05.cladeReads"	"centrifuge_classification_august_BC06.cladeReads"	"centrifuge_classification_august_BC07.cladeReads"	"centrifuge_classification_august_BC08.cladeReads"	"centrifuge_classification_august_BC09.cladeReads"	"centrifuge_classification_august_BC10.cladeReads"	"centrifuge_classification_august_BC11.cladeReads"	"centrifuge_classification_august_BC12.cladeReads"	"Max.1"	"centrifuge_classification_august_BC01.cladeReads.."	"centrifuge_classification_august_BC02.cladeReads.."	"centrifuge_classification_august_BC03.cladeReads.."	"centrifuge_classification_august_BC04.cladeReads.."	"centrifuge_classification_august_BC05.cladeReads.."	"centrifuge_classification_august_BC06.cladeReads.."	"centrifuge_classification_august_BC07.cladeReads.."	"centrifuge_classification_august_BC08.cladeReads.."	"centrifuge_classification_august_BC09.cladeReads.."	"centrifuge_classification_august_BC10.cladeReads.."	"centrifuge_classification_august_BC11.cladeReads.."	"centrifuge_classification_august_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	587	262	54	18	60	467	587	479	455	33	67	365	97	18.58	0.08644	0.1215	8.451	18.58	0.05414	0.06771	0.06666	0.02721	13.81	0.05119	0.04302	0.2219	"unclassified"
"root"	"-"	1	1671600	302850	44387	195	263	862074	866368	718077	1671563	206	130825	848146	43612	99.97	99.91	99.88	91.55	81.42	99.95	99.93	99.93	99.97	86.19	99.95	99.96	99.78	"root"
"cellular organisms"	"-"	131567	1671600	302850	44387	195	263	862074	866368	718077	1671563	206	130825	848146	43612	99.97	99.91	99.88	91.55	81.42	99.95	99.93	99.93	99.97	86.19	99.95	99.96	99.78	"root"
"Bacteria"	"D"	2	1671600	302843	44382	195	263	862041	866338	718040	1671560	206	130821	848123	43611	99.97	99.91	99.87	91.55	81.42	99.94	99.93	99.93	99.97	86.19	99.95	99.95	99.78	"cellular&nbsp;organisms"
"FCB group"	"-"	1783270	416210	127637	15039	55	53	200237	237265	136289	1455	35	57739	416210	21026	49.05	42.11	33.84	25.82	16.41	23.21	27.37	18.97	0.08702	14.64	44.11	49.05	48.1	"cellular&nbsp;organisms>Bacteria"
"Bacteroidetes/Chlorobi group"	"-"	68336	415920	126954	14905	55	53	198747	236470	135206	1357	35	57642	415916	21017	49.02	41.88	33.54	25.82	16.41	23.04	27.28	18.82	0.08116	14.64	44.04	49.02	48.08	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group"
"Bacteroidetes"	"P"	976	415710	126830	14887	55	53	198201	235932	134784	1316	35	57596	415709	21000	48.99	41.84	33.5	25.82	16.41	22.98	27.21	18.76	0.07871	14.64	44	48.99	48.05	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group"
"Cytophagia"	"C"	768503	369380	90869	10346	29	29	123278	142989	97677	836	14	49329	369377	15986	43.53	29.98	23.28	13.62	8.978	14.29	16.49	13.59	0.05	5.858	37.69	43.53	36.57	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes"
"Cytophagales"	"O"	768507	369380	90869	10346	29	29	123278	142989	97677	836	14	49329	369377	15986	43.53	29.98	23.28	13.62	8.978	14.29	16.49	13.59	0.05	5.858	37.69	43.53	36.57	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia"
"Cytophagaceae"	"F"	89373	354020	70766	8079	22	23	82951	89283	77942	722	12	47202	354018	14481	41.72	23.35	18.18	10.33	7.121	9.617	10.3	10.85	0.04318	5.021	36.06	41.72	33.13	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Pseudarcicella"	"G"	1664383	351260	68411	7831	19	22	77523	81930	74662	678	12	46794	351256	14172	41.4	22.57	17.62	8.92	6.811	8.988	9.45	10.39	0.04055	5.021	35.75	41.4	32.42	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Pseudarcicella sp. HME7025"	"S"	2183547	351260	68411	7831	19	22	77523	81930	74662	678	12	46794	351256	14172	41.4	22.57	17.62	8.92	6.811	8.988	9.45	10.39	0.04055	5.021	35.75	41.4	32.42	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Pseudarcicella"
"Cytophaga"	"G"	978	5351	1711	176	NA	NA	3786	5351	2124	13	NA	224	1654	180	0.6172	0.5645	0.396	NA	NA	0.4389	0.6172	0.2956	0.0007775	NA	0.1711	0.1949	0.4118	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Cytophaga hutchinsonii"	"S"	985	5351	1711	176	NA	NA	3786	5351	2124	13	NA	224	1654	180	0.6172	0.5645	0.396	NA	NA	0.4389	0.6172	0.2956	0.0007775	NA	0.1711	0.1949	0.4118	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Cytophaga"
"Cytophaga hutchinsonii ATCC 33406"	"-"	269798	5351	1711	176	NA	NA	3786	5351	2124	13	NA	224	1654	180	0.6172	0.5645	0.396	NA	NA	0.4389	0.6172	0.2956	0.0007775	NA	0.1711	0.1949	0.4118	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Cytophaga>Cytophaga&nbsp;hutchinsonii"
