"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_august_BC01.cladeReads"	"kraken2_classification_august_BC02.cladeReads"	"kraken2_classification_august_BC03.cladeReads"	"kraken2_classification_august_BC04.cladeReads"	"kraken2_classification_august_BC05.cladeReads"	"kraken2_classification_august_BC06.cladeReads"	"kraken2_classification_august_BC07.cladeReads"	"kraken2_classification_august_BC08.cladeReads"	"kraken2_classification_august_BC09.cladeReads"	"kraken2_classification_august_BC10.cladeReads"	"kraken2_classification_august_BC11.cladeReads"	"kraken2_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_classification_august_BC01.cladeReads.."	"kraken2_classification_august_BC02.cladeReads.."	"kraken2_classification_august_BC03.cladeReads.."	"kraken2_classification_august_BC04.cladeReads.."	"kraken2_classification_august_BC05.cladeReads.."	"kraken2_classification_august_BC06.cladeReads.."	"kraken2_classification_august_BC07.cladeReads.."	"kraken2_classification_august_BC08.cladeReads.."	"kraken2_classification_august_BC09.cladeReads.."	"kraken2_classification_august_BC10.cladeReads.."	"kraken2_classification_august_BC11.cladeReads.."	"kraken2_classification_august_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	583	315	64	33	77	440	583	479	336	40	97	431	113	23.84	0.1039	0.144	15.49	23.84	0.05101	0.06725	0.06666	0.0201	16.74	0.07411	0.05079	0.2585	"unclassified"
"root"	"-"	1	1671700	302797	44377	180	246	862101	866372	718077	1671682	199	130795	848080	43596	99.98	99.9	99.86	84.51	76.16	99.95	99.93	99.93	99.98	83.26	99.93	99.95	99.74	"root"
"cellular organisms"	"-"	131567	1671700	302797	44377	180	246	862101	866372	718077	1671682	199	130795	848080	43596	99.98	99.9	99.86	84.51	76.16	99.95	99.93	99.93	99.98	83.26	99.93	99.95	99.74	"root"
"Bacteria"	"D"	2	1671700	302797	44377	180	246	862096	866363	718065	1671680	199	130792	848072	43596	99.98	99.9	99.86	84.51	76.16	99.95	99.93	99.93	99.98	83.26	99.92	99.95	99.74	"cellular&nbsp;organisms"
"FCB group"	"-"	1783270	418980	130918	15368	58	47	203875	245393	139186	723	34	58446	418976	21386	49.38	43.19	34.58	27.23	14.55	23.64	28.31	19.37	0.04324	14.23	44.65	49.38	48.93	"cellular&nbsp;organisms>Bacteria"
"Bacteroidetes/Chlorobi group"	"-"	68336	418740	130253	15231	58	47	202450	244674	138222	717	34	58373	418740	21376	49.35	42.97	34.27	27.23	14.55	23.47	28.22	19.24	0.04288	14.23	44.6	49.35	48.91	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group"
"Bacteroidetes"	"P"	976	418680	130233	15225	58	47	202330	244547	138150	717	34	58366	418677	21374	49.34	42.97	34.26	27.23	14.55	23.46	28.21	19.23	0.04288	14.23	44.59	49.34	48.9	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group"
"Cytophagia"	"C"	768503	372230	96636	10887	34	27	136312	160394	103859	561	13	49879	372229	16496	43.87	31.88	24.5	15.96	8.359	15.8	18.5	14.45	0.03355	5.439	38.11	43.87	37.74	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes"
"Cytophagales"	"O"	768507	372230	96636	10887	34	27	136312	160394	103859	561	13	49879	372229	16496	43.87	31.88	24.5	15.96	8.359	15.8	18.5	14.45	0.03355	5.439	38.11	43.87	37.74	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia"
"Cytophagaceae"	"F"	89373	360210	81778	9191	25	20	102841	114157	87048	533	10	48233	360208	15081	42.45	26.98	20.68	11.74	6.192	11.92	13.17	12.11	0.03188	4.184	36.85	42.45	34.5	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Pseudarcicella"	"G"	1664383	350060	68365	7833	18	19	77665	82538	74631	505	9	46739	350063	14153	41.26	22.55	17.63	8.451	5.882	9.004	9.52	10.39	0.0302	3.766	35.71	41.26	32.38	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Pseudarcicella sp. HME7025"	"S"	2183547	350060	68365	7833	18	19	77665	82538	74631	505	9	46739	350063	14153	41.26	22.55	17.63	8.451	5.882	9.004	9.52	10.39	0.0302	3.766	35.71	41.26	32.38	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Pseudarcicella"
"Spirosoma"	"G"	107	28244	12330	1229	7	NA	22630	28244	10595	21	1	1249	8426	751	4.068	4.068	2.765	3.286	NA	2.624	3.258	1.474	0.001256	0.4184	0.9542	0.993	1.718	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Spirosoma pollinicola"	"S"	2057025	144	70	6	NA	NA	125	144	61	NA	NA	8	50	1	0.02309	0.02309	0.0135	NA	NA	0.01449	0.01661	0.008489	NA	NA	0.006112	0.005893	0.002288	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma montaniterrae"	"S"	1178516	16	11	NA	NA	NA	15	16	5	NA	NA	1	8	NA	0.003629	0.003629	NA	NA	NA	0.001739	0.001846	0.0006958	NA	NA	0.000764	0.0009428	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma radiotolerans"	"S"	1379870	7	4	1	NA	NA	2	7	5	NA	NA	NA	2	NA	0.00225	0.00132	0.00225	NA	NA	0.0002319	0.0008074	0.0006958	NA	NA	NA	0.0002357	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma rigui"	"S"	564064	30	2	NA	NA	NA	9	30	19	NA	NA	1	4	NA	0.00346	0.0006598	NA	NA	NA	0.001043	0.00346	0.002644	NA	NA	0.000764	0.0004714	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma aerolatum"	"S"	1211326	9	2	1	NA	NA	9	5	3	NA	NA	1	4	NA	0.00225	0.0006598	0.00225	NA	NA	0.001043	0.0005767	0.0004175	NA	NA	0.000764	0.0004714	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Cytophaga"	"G"	978	1938	652	70	NA	NA	1437	1938	1124	3	NA	76	697	46	0.2235	0.2151	0.1575	NA	NA	0.1666	0.2235	0.1564	0.0001794	NA	0.05806	0.08214	0.1052	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Cytophaga hutchinsonii"	"S"	985	1938	652	70	NA	NA	1437	1938	1124	3	NA	76	697	46	0.2235	0.2151	0.1575	NA	NA	0.1666	0.2235	0.1564	0.0001794	NA	0.05806	0.08214	0.1052	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Cytophaga"
"Cytophaga hutchinsonii ATCC 33406"	"-"	269798	1938	652	70	NA	NA	1437	1938	1124	3	NA	76	697	46	0.2235	0.2151	0.1575	NA	NA	0.1666	0.2235	0.1564	0.0001794	NA	0.05806	0.08214	0.1052	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Cytophaga>Cytophaga&nbsp;hutchinsonii"
"Fibrella"	"G"	861914	428	77	11	NA	NA	212	368	140	1	NA	46	428	21	0.05044	0.0254	0.02475	NA	NA	0.02458	0.04245	0.01948	5.981e-05	NA	0.03514	0.05044	0.04805	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Fibrella sp. ES10-3-2-2"	"S"	1834519	420	68	9	NA	NA	192	328	101	1	NA	45	420	18	0.0495	0.02243	0.02025	NA	NA	0.02226	0.03783	0.01406	5.981e-05	NA	0.03438	0.0495	0.04118	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Fibrella"
"Fibrella aestuarina"	"S"	651143	36	2	NA	NA	NA	8	15	36	NA	NA	NA	5	1	0.00501	0.0006598	NA	NA	NA	0.0009275	0.00173	0.00501	NA	NA	NA	0.0005893	0.002288	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Fibrella"
"Fibrella aestuarina BUZ 2"	"-"	1166018	36	2	NA	NA	NA	8	15	36	NA	NA	NA	5	1	0.00501	0.0006598	NA	NA	NA	0.0009275	0.00173	0.00501	NA	NA	NA	0.0005893	0.002288	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Fibrella>Fibrella&nbsp;aestuarina"
