"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_august_BC01.cladeReads"	"kraken2_16s_classification_august_BC02.cladeReads"	"kraken2_16s_classification_august_BC03.cladeReads"	"kraken2_16s_classification_august_BC04.cladeReads"	"kraken2_16s_classification_august_BC05.cladeReads"	"kraken2_16s_classification_august_BC06.cladeReads"	"kraken2_16s_classification_august_BC07.cladeReads"	"kraken2_16s_classification_august_BC08.cladeReads"	"kraken2_16s_classification_august_BC09.cladeReads"	"kraken2_16s_classification_august_BC10.cladeReads"	"kraken2_16s_classification_august_BC11.cladeReads"	"kraken2_16s_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_august_BC01.cladeReads.."	"kraken2_16s_classification_august_BC02.cladeReads.."	"kraken2_16s_classification_august_BC03.cladeReads.."	"kraken2_16s_classification_august_BC04.cladeReads.."	"kraken2_16s_classification_august_BC05.cladeReads.."	"kraken2_16s_classification_august_BC06.cladeReads.."	"kraken2_16s_classification_august_BC07.cladeReads.."	"kraken2_16s_classification_august_BC08.cladeReads.."	"kraken2_16s_classification_august_BC09.cladeReads.."	"kraken2_16s_classification_august_BC10.cladeReads.."	"kraken2_16s_classification_august_BC11.cladeReads.."	"kraken2_16s_classification_august_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	212	212	66	40	107	63	98	90	44	63	53	95	150	33.13	0.06994	0.1485	18.78	33.13	0.007304	0.0113	0.01253	0.002632	26.36	0.04049	0.0112	0.3432	"unclassified"
"root"	"-"	1	1672000	302900	44375	173	216	862478	866857	718466	1671974	176	130839	848416	43559	100	99.93	99.85	81.22	66.87	99.99	99.99	99.99	100	73.64	99.96	99.99	99.66	"root"
"Bacteria"	"D"	3	1672000	302898	44375	171	215	862474	866855	718465	1671973	176	130838	848411	43559	100	99.93	99.85	80.28	66.56	99.99	99.99	99.99	100	73.64	99.96	99.99	99.66	"root"
"Bacteroidetes"	"P"	905	424640	131298	15340	61	43	206084	251768	139146	1103	35	58502	424643	21408	50.05	43.32	34.52	28.64	13.31	23.89	29.04	19.36	0.06597	14.64	44.69	50.05	48.98	"Bacteria"
"Bacteroidia"	"C"	912	424430	131155	15316	61	43	205803	251496	138769	1101	35	58460	424428	21404	50.02	43.27	34.46	28.64	13.31	23.86	29.01	19.31	0.06585	14.64	44.66	50.02	48.97	"Bacteria>Bacteroidetes"
"Cytophagales"	"O"	24714	346970	68829	7939	20	17	76263	77826	75863	570	9	46809	346969	14233	40.89	22.71	17.86	9.39	5.263	8.842	8.977	10.56	0.03409	3.766	35.76	40.89	32.56	"Bacteria>Bacteroidetes>Bacteroidia"
"Spirosomaceae"	"F"	24794	345260	67997	7796	16	17	75598	77120	74487	564	9	46624	345265	14175	40.69	22.43	17.54	7.512	5.263	8.765	8.896	10.37	0.03373	3.766	35.62	40.69	32.43	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Pseudarcicella"	"G"	24809	341220	67317	7713	14	17	74452	75784	73464	549	9	46141	341216	13957	40.21	22.21	17.36	6.573	5.263	8.632	8.741	10.22	0.03283	3.766	35.25	40.21	31.93	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Arcicella"	"G"	24795	1057	176	22	1	NA	234	257	200	5	NA	109	1057	51	0.4695	0.05806	0.0495	0.4695	NA	0.02713	0.02964	0.02783	0.000299	NA	0.08327	0.1246	0.1167	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Flectobacillus"	"G"	24801	713	121	17	NA	NA	163	238	174	3	NA	98	713	29	0.08403	0.03992	0.03825	NA	NA	0.0189	0.02745	0.02422	0.0001794	NA	0.07487	0.08403	0.06635	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Runella"	"G"	24812	260	49	6	NA	NA	195	163	47	2	NA	78	260	35	0.08008	0.01617	0.0135	NA	NA	0.02261	0.0188	0.006541	0.0001196	NA	0.05959	0.03064	0.08008	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Lacihabitans"	"G"	24804	268	45	3	NA	NA	112	181	268	1	NA	14	149	52	0.119	0.01485	0.006751	NA	NA	0.01298	0.02088	0.0373	5.981e-05	NA	0.0107	0.01756	0.119	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Dyadobacter"	"G"	24797	139	30	3	NA	NA	36	43	24	NA	NA	23	139	5	0.01757	0.009897	0.006751	NA	NA	0.004174	0.00496	0.00334	NA	NA	0.01757	0.01638	0.01144	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"uncultured"	"G"	24815	85	15	3	1	NA	30	35	81	2	NA	4	85	2	0.4695	0.004949	0.006751	0.4695	NA	0.003478	0.004037	0.01127	0.0001196	NA	0.003056	0.01002	0.004576	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Larkinella"	"G"	24805	54	11	NA	NA	NA	8	13	15	NA	NA	9	54	2	0.006876	0.003629	NA	NA	NA	0.0009275	0.0015	0.002088	NA	NA	0.006876	0.006364	0.004576	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Emticicia"	"G"	24798	24	11	3	NA	NA	24	10	5	NA	NA	3	24	NA	0.006751	0.003629	0.006751	NA	NA	0.002782	0.001153	0.0006958	NA	NA	0.002292	0.002828	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Spirosoma"	"G"	24813	55	10	NA	NA	NA	7	11	4	NA	NA	5	55	NA	0.006482	0.003299	NA	NA	NA	0.0008116	0.001269	0.0005567	NA	NA	0.00382	0.006482	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Fibrella"	"G"	24799	18	6	2	NA	NA	4	2	4	NA	NA	4	18	2	0.004576	0.001979	0.0045	NA	NA	0.0004637	0.0002307	0.0005567	NA	NA	0.003056	0.002121	0.004576	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Fluviimonas"	"G"	24802	17	1	NA	NA	NA	17	9	NA	NA	NA	NA	NA	NA	0.001971	0.0003299	NA	NA	NA	0.001971	0.001038	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Leadbetterella"	"G"	24806	17	1	NA	NA	NA	5	5	2	NA	NA	1	17	NA	0.002004	0.0003299	NA	NA	NA	0.0005797	0.0005767	0.0002783	NA	NA	0.000764	0.002004	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Persicitalea"	"G"	24808	7	1	1	NA	NA	1	2	3	NA	NA	NA	7	1	0.002288	0.0003299	0.00225	NA	NA	0.0001159	0.0002307	0.0004175	NA	NA	NA	0.000825	0.002288	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Cyclobacteriaceae"	"F"	24725	621	621	120	2	NA	287	245	245	2	NA	40	404	17	0.939	0.2049	0.27	0.939	NA	0.03327	0.02826	0.0341	0.0001196	NA	0.03056	0.04761	0.03889	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Algoriphagus"	"G"	24726	578	578	118	2	NA	242	158	135	1	NA	24	199	9	0.939	0.1907	0.2655	0.939	NA	0.02806	0.01822	0.01879	5.981e-05	NA	0.01834	0.02345	0.02059	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"uncultured"	"G"	24760	68	13	2	NA	NA	17	40	47	NA	NA	6	68	1	0.008014	0.004289	0.0045	NA	NA	0.001971	0.004614	0.006541	NA	NA	0.004584	0.008014	0.002288	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Marinoscillum"	"G"	24746	25	7	NA	NA	NA	6	10	15	NA	NA	1	25	1	0.002946	0.002309	NA	NA	NA	0.0006956	0.001153	0.002088	NA	NA	0.000764	0.002946	0.002288	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Nitritalea"	"G"	24753	31	5	NA	NA	NA	2	8	9	NA	NA	2	31	2	0.004576	0.00165	NA	NA	NA	0.0002319	0.0009228	0.001253	NA	NA	0.001528	0.003653	0.004576	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Aquiflexum"	"G"	24728	16	3	NA	NA	NA	2	5	3	NA	NA	1	16	NA	0.001886	0.0009897	NA	NA	NA	0.0002319	0.0005767	0.0004175	NA	NA	0.000764	0.001886	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Fulvivirga"	"G"	24740	8	3	NA	NA	NA	2	2	1	1	NA	1	8	1	0.002288	0.0009897	NA	NA	NA	0.0002319	0.0002307	0.0001392	5.981e-05	NA	0.000764	0.0009428	0.002288	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Reichenbachiella"	"G"	24755	3	2	NA	NA	NA	NA	NA	3	NA	NA	NA	1	NA	0.0006598	0.0006598	NA	NA	NA	NA	NA	0.0004175	NA	NA	NA	0.0001179	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Cyclobacterium"	"G"	24734	6	2	NA	NA	NA	2	3	5	NA	NA	1	6	NA	0.000764	0.0006598	NA	NA	NA	0.0002319	0.000346	0.0006958	NA	NA	0.000764	0.0007071	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Belliella"	"G"	24730	2	2	NA	NA	NA	NA	1	1	NA	NA	1	NA	NA	0.000764	0.0006598	NA	NA	NA	NA	0.0001153	0.0001392	NA	NA	0.000764	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Cecembia"	"G"	24732	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.0003299	0.0003299	NA	NA	NA	NA	0.0001153	NA	NA	NA	NA	0.0001179	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Catalinimonas"	"G"	24731	3	1	NA	NA	NA	NA	1	NA	NA	NA	1	3	NA	0.000764	0.0003299	NA	NA	NA	NA	0.0001153	NA	NA	NA	0.000764	0.0003536	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Mongoliitalea"	"G"	24750	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003299	0.0003299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Cyclobacteriaceae"
"Microscillaceae"	"F"	24783	802	67	8	1	NA	159	186	802	3	NA	41	385	7	0.4695	0.0221	0.018	0.4695	NA	0.01843	0.02145	0.1116	0.0001794	NA	0.03132	0.04537	0.01602	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"uncultured"	"G"	24793	761	49	7	1	NA	104	151	761	3	NA	26	307	6	0.4695	0.01617	0.01575	0.4695	NA	0.01206	0.01742	0.1059	0.0001794	NA	0.01986	0.03618	0.01373	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Chryseolinea"	"G"	24784	22	6	1	NA	NA	10	7	1	NA	NA	NA	22	NA	0.002593	0.001979	0.00225	NA	NA	0.001159	0.0008074	0.0001392	NA	NA	NA	0.002593	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"OLB12"	"G"	24789	22	5	NA	NA	NA	19	15	22	NA	NA	8	9	NA	0.006112	0.00165	NA	NA	NA	0.002203	0.00173	0.003062	NA	NA	0.006112	0.001061	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
"Siphonobacter"	"G"	24791	14	5	NA	NA	NA	14	6	9	NA	NA	4	11	NA	0.003056	0.00165	NA	NA	NA	0.001623	0.0006921	0.001253	NA	NA	0.003056	0.001296	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Microscillaceae"
