"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_august_BC01.cladeReads"	"kraken2_16s_k21_classification_august_BC02.cladeReads"	"kraken2_16s_k21_classification_august_BC03.cladeReads"	"kraken2_16s_k21_classification_august_BC04.cladeReads"	"kraken2_16s_k21_classification_august_BC05.cladeReads"	"kraken2_16s_k21_classification_august_BC06.cladeReads"	"kraken2_16s_k21_classification_august_BC07.cladeReads"	"kraken2_16s_k21_classification_august_BC08.cladeReads"	"kraken2_16s_k21_classification_august_BC09.cladeReads"	"kraken2_16s_k21_classification_august_BC10.cladeReads"	"kraken2_16s_k21_classification_august_BC11.cladeReads"	"kraken2_16s_k21_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_august_BC01.cladeReads.."	"kraken2_16s_k21_classification_august_BC02.cladeReads.."	"kraken2_16s_k21_classification_august_BC03.cladeReads.."	"kraken2_16s_k21_classification_august_BC04.cladeReads.."	"kraken2_16s_k21_classification_august_BC05.cladeReads.."	"kraken2_16s_k21_classification_august_BC06.cladeReads.."	"kraken2_16s_k21_classification_august_BC07.cladeReads.."	"kraken2_16s_k21_classification_august_BC08.cladeReads.."	"kraken2_16s_k21_classification_august_BC09.cladeReads.."	"kraken2_16s_k21_classification_august_BC10.cladeReads.."	"kraken2_16s_k21_classification_august_BC11.cladeReads.."	"kraken2_16s_k21_classification_august_BC12.cladeReads.."	"lineage"
"root"	"-"	1	1672000	303112	44441	213	323	862541	866955	718556	1672018	239	130892	848511	43709	100	100	100	100	100	100	100	100	100	100	100	100	100	"root"
"Bacteria"	"D"	3	1672000	303111	44441	213	323	862541	866955	718555	1672018	239	130892	848511	43709	100	100	100	100	100	100	100	100	100	100	100	100	100	"root"
"Bacteroidetes"	"P"	905	423270	132222	15517	62	48	206753	253537	139349	1142	41	58466	423270	21443	49.88	43.62	34.92	29.11	14.86	23.97	29.24	19.39	0.0683	17.15	44.67	49.88	49.06	"Bacteria"
"Bacteroidia"	"C"	912	423080	132079	15491	62	48	206495	253304	139004	1142	41	58427	423082	21437	49.86	43.57	34.86	29.11	14.86	23.94	29.22	19.34	0.0683	17.15	44.64	49.86	49.04	"Bacteria>Bacteroidetes"
"Cytophagales"	"O"	24714	333480	66868	7684	17	15	73190	73760	73552	501	7	45439	333485	13833	39.3	22.06	17.29	7.981	4.644	8.485	8.508	10.24	0.02996	2.929	34.71	39.3	31.65	"Bacteria>Bacteroidetes>Bacteroidia"
"Spirosomaceae"	"F"	24794	321670	63482	7233	13	14	69512	69923	69687	460	6	43918	321671	13345	37.91	20.94	16.28	6.103	4.334	8.059	8.065	9.698	0.02751	2.51	33.55	37.91	30.53	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Pseudarcicella"	"G"	24809	295450	58586	6658	11	14	63440	63434	63957	400	6	40558	295447	12254	34.82	19.33	14.98	5.164	4.334	7.355	7.317	8.901	0.02392	2.51	30.99	34.82	28.04	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Arcicella"	"G"	24795	5555	1082	115	1	NA	1251	1340	1237	16	NA	723	5555	227	0.6547	0.357	0.2588	0.4695	NA	0.145	0.1546	0.1722	0.0009569	NA	0.5524	0.6547	0.5193	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Flectobacillus"	"G"	24801	5073	970	114	NA	NA	1088	1197	1085	7	NA	664	5073	202	0.5979	0.32	0.2565	NA	NA	0.1261	0.1381	0.151	0.0004187	NA	0.5073	0.5979	0.4621	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"uncultured"	"G"	24815	1207	205	32	1	NA	282	308	350	1	NA	171	1207	52	0.4695	0.06763	0.07201	0.4695	NA	0.03269	0.03553	0.04871	5.981e-05	NA	0.1306	0.1422	0.119	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Dyadobacter"	"G"	24797	571	121	9	NA	NA	115	122	125	2	NA	78	571	23	0.06729	0.03992	0.02025	NA	NA	0.01333	0.01407	0.0174	0.0001196	NA	0.05959	0.06729	0.05262	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Spirosoma"	"G"	24813	571	116	12	NA	NA	143	122	112	NA	NA	61	571	29	0.06729	0.03827	0.027	NA	NA	0.01658	0.01407	0.01559	NA	NA	0.0466	0.06729	0.06635	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Lacihabitans"	"G"	24804	334	81	13	NA	NA	148	220	312	3	NA	36	334	59	0.135	0.02672	0.02925	NA	NA	0.01716	0.02538	0.04342	0.0001794	NA	0.0275	0.03936	0.135	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Emticicia"	"G"	24798	387	75	7	NA	NA	119	103	84	1	NA	60	387	21	0.04805	0.02474	0.01575	NA	NA	0.0138	0.01188	0.01169	5.981e-05	NA	0.04584	0.04561	0.04805	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Fibrella"	"G"	24799	283	73	6	NA	NA	73	78	67	NA	NA	38	283	18	0.04118	0.02408	0.0135	NA	NA	0.008463	0.008997	0.009324	NA	NA	0.02903	0.03335	0.04118	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Leadbetterella"	"G"	24806	300	66	8	NA	NA	72	91	68	NA	NA	49	300	11	0.03744	0.02177	0.018	NA	NA	0.008347	0.0105	0.009463	NA	NA	0.03744	0.03536	0.02517	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Runella"	"G"	24812	257	54	11	NA	NA	202	125	56	1	NA	74	257	37	0.08465	0.01782	0.02475	NA	NA	0.02342	0.01442	0.007793	5.981e-05	NA	0.05654	0.03029	0.08465	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Larkinella"	"G"	24805	210	43	7	NA	NA	59	59	34	NA	NA	31	210	9	0.02475	0.01419	0.01575	NA	NA	0.00684	0.006805	0.004732	NA	NA	0.02368	0.02475	0.02059	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Rudanella"	"G"	24811	77	16	5	NA	NA	16	12	15	NA	NA	6	77	4	0.01125	0.005279	0.01125	NA	NA	0.001855	0.001384	0.002088	NA	NA	0.004584	0.009075	0.009151	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Persicitalea"	"G"	24808	51	7	1	NA	NA	13	14	6	NA	NA	8	51	2	0.006112	0.002309	0.00225	NA	NA	0.001507	0.001615	0.000835	NA	NA	0.006112	0.006011	0.004576	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Arsenicibacter"	"G"	24796	15	7	1	NA	NA	2	4	NA	NA	NA	NA	15	1	0.002309	0.002309	0.00225	NA	NA	0.0002319	0.0004614	NA	NA	NA	NA	0.001768	0.002288	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Nibrella"	"G"	24807	13	3	1	NA	NA	4	10	3	NA	NA	4	13	2	0.004576	0.0009897	0.00225	NA	NA	0.0004637	0.001153	0.0004175	NA	NA	0.003056	0.001532	0.004576	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
