"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_june_BC01.cladeReads"	"kraken2_classification_june_BC02.cladeReads"	"kraken2_classification_june_BC03.cladeReads"	"kraken2_classification_june_BC04.cladeReads"	"kraken2_classification_june_BC05.cladeReads"	"kraken2_classification_june_BC06.cladeReads"	"kraken2_classification_june_BC07.cladeReads"	"kraken2_classification_june_BC08.cladeReads"	"kraken2_classification_june_BC09.cladeReads"	"kraken2_classification_june_BC10.cladeReads"	"kraken2_classification_june_BC11.cladeReads"	"kraken2_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_classification_june_BC01.cladeReads.."	"kraken2_classification_june_BC02.cladeReads.."	"kraken2_classification_june_BC03.cladeReads.."	"kraken2_classification_june_BC04.cladeReads.."	"kraken2_classification_june_BC05.cladeReads.."	"kraken2_classification_june_BC06.cladeReads.."	"kraken2_classification_june_BC07.cladeReads.."	"kraken2_classification_june_BC08.cladeReads.."	"kraken2_classification_june_BC09.cladeReads.."	"kraken2_classification_june_BC10.cladeReads.."	"kraken2_classification_june_BC11.cladeReads.."	"kraken2_classification_june_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	54	54	15	35	2	33	4	1	3	4	3	11	5	33.33	0.03233	0.339	0.03317	10	0.02361	18.18	5	0.001772	21.05	33.33	0.01516	22.73	"unclassified"
"root"	"-"	1	172070	172070	5605	140532	19	169040	21	23	169353	16	6	80288	19	133.2	103	126.7	133.2	95	120.9	95.45	115	100	84.21	66.67	110.7	86.36	"root"
"cellular organisms"	"-"	131567	172070	172070	5605	140532	19	169040	21	23	169353	16	6	80288	19	133.2	103	126.7	133.2	95	120.9	95.45	115	100	84.21	66.67	110.7	86.36	"root"
"Bacteria"	"D"	2	172070	172069	5605	140532	19	169038	21	23	169353	16	6	80288	19	133.2	103	126.7	133.2	95	120.9	95.45	115	100	84.21	66.67	110.7	86.36	"cellular&nbsp;organisms"
"Terrabacteria group"	"-"	1783272	145440	145436	3738	126540	6	96403	4	12	68488	1	2	10526	3	119.9	87.07	84.47	119.9	30	68.98	18.18	60	40.46	5.263	22.22	14.51	13.64	"cellular&nbsp;organisms>Bacteria"
"Cyanobacteria/Melainabacteria group"	"-"	1798711	128360	128356	3293	112570	5	83869	1	7	12	1	1	5269	2	106.7	76.85	74.42	106.7	25	60.01	4.545	35	0.007089	5.263	11.11	7.264	9.091	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Cyanobacteria"	"P"	1117	128360	128356	3293	112570	5	83869	1	7	12	1	1	5269	2	106.7	76.85	74.42	106.7	25	60.01	4.545	35	0.007089	5.263	11.11	7.264	9.091	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group"
"Synechococcales"	"O"	1890424	72097	72097	1838	63387	4	48197	1	3	5	NA	1	3032	1	60.08	43.16	41.54	60.08	20	34.49	4.545	15	0.002954	NA	11.11	4.18	4.545	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Prochloraceae"	"F"	1213	38360	38360	1008	33831	2	25667	NA	3	3	NA	NA	1609	NA	32.06	22.97	22.78	32.06	10	18.36	NA	15	0.001772	NA	NA	2.218	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Prochlorococcus"	"G"	1218	38360	38360	1008	33831	2	25667	NA	3	3	NA	NA	1609	NA	32.06	22.97	22.78	32.06	10	18.36	NA	15	0.001772	NA	NA	2.218	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae"
"Prochlorococcus marinus"	"S"	1219	38097	38097	57	1966	NA	1500	NA	NA	NA	NA	NA	89	NA	22.81	22.81	1.288	1.863	NA	1.073	NA	NA	NA	NA	NA	0.1227	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus"
"Prochlorococcus sp. MIT 0604"	"S"	1501268	265	263	9	265	NA	215	NA	NA	NA	NA	NA	13	NA	0.2512	0.1575	0.2034	0.2512	NA	0.1538	NA	NA	NA	NA	NA	0.01792	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus"
"Synechococcaceae"	"F"	1890426	31731	31731	771	27652	2	21065	1	NA	1	NA	1	1302	1	26.21	19	17.42	26.21	10	15.07	4.545	NA	0.0005908	NA	11.11	1.795	4.545	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Synechococcus"	"G"	1129	31723	31723	771	27635	2	21048	1	NA	1	NA	1	1296	1	26.19	18.99	17.42	26.19	10	15.06	4.545	NA	0.0005908	NA	11.11	1.787	4.545	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae"
"Synechococcus sp. PCC 7502"	"S"	1173263	30947	30947	757	26965	2	20490	1	NA	1	NA	1	1236	1	25.56	18.53	17.11	25.56	10	14.66	4.545	NA	0.0005908	NA	11.11	1.704	4.545	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. WH 8102"	"S"	84588	424	424	10	366	NA	283	NA	NA	NA	NA	NA	24	NA	0.3469	0.2539	0.226	0.3469	NA	0.2025	NA	NA	NA	NA	NA	0.03309	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. PCC 6312"	"S"	195253	193	193	3	181	NA	168	NA	NA	NA	NA	NA	13	NA	0.1715	0.1156	0.0678	0.1715	NA	0.1202	NA	NA	NA	NA	NA	0.01792	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. JA-3-3Ab"	"S"	321327	69	69	1	49	NA	34	NA	NA	NA	NA	NA	5	NA	0.04644	0.04131	0.0226	0.04644	NA	0.02433	NA	NA	NA	NA	NA	0.006893	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. PCC 7336"	"S"	195250	39	39	NA	24	NA	27	NA	NA	NA	NA	NA	11	NA	0.02335	0.02335	NA	0.02275	NA	0.01932	NA	NA	NA	NA	NA	0.01516	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. JA-2-3B'a(2-13)"	"S"	321332	37	37	NA	37	NA	24	NA	NA	NA	NA	NA	4	NA	0.03507	0.02215	NA	0.03507	NA	0.01717	NA	NA	NA	NA	NA	0.005514	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. SynAce01"	"S"	1916956	9	7	NA	6	NA	9	NA	NA	NA	NA	NA	1	NA	0.00644	0.004191	NA	0.005687	NA	0.00644	NA	NA	NA	NA	NA	0.001379	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus lividus"	"S"	33070	9	6	NA	5	NA	9	NA	NA	NA	NA	NA	1	NA	0.00644	0.003592	NA	0.004739	NA	0.00644	NA	NA	NA	NA	NA	0.001379	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. KORDI-52"	"S"	585425	2	1	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001431	0.0005987	NA	0.0009478	NA	0.001431	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Cyanobium"	"G"	167375	4	1	NA	NA	NA	2	NA	NA	NA	NA	NA	4	NA	0.005514	0.0005987	NA	NA	NA	0.001431	NA	NA	NA	NA	NA	0.005514	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae"
"Cyanobium gracile"	"S"	59930	4	1	NA	NA	NA	2	NA	NA	NA	NA	NA	4	NA	0.005514	0.0005987	NA	NA	NA	0.001431	NA	NA	NA	NA	NA	0.005514	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Cyanobium"
"Leptolyngbyaceae"	"F"	1890438	578	523	13	578	NA	411	NA	NA	1	NA	NA	38	NA	0.5478	0.3131	0.2938	0.5478	NA	0.2941	NA	NA	0.0005908	NA	NA	0.05239	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Leptolyngbya"	"G"	47251	578	523	13	578	NA	411	NA	NA	1	NA	NA	38	NA	0.5478	0.3131	0.2938	0.5478	NA	0.2941	NA	NA	0.0005908	NA	NA	0.05239	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae"
"Leptolyngbya sp. NIES-3755"	"S"	1752064	471	471	9	444	NA	324	NA	NA	NA	NA	NA	13	NA	0.4208	0.282	0.2034	0.4208	NA	0.2318	NA	NA	NA	NA	NA	0.01792	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. O-77"	"S"	1080068	107	35	4	107	NA	68	NA	NA	1	NA	NA	25	NA	0.1014	0.02095	0.0904	0.1014	NA	0.04865	NA	NA	0.0005908	NA	NA	0.03446	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya boryana"	"S"	1184	27	16	NA	27	NA	17	NA	NA	NA	NA	NA	NA	NA	0.02559	0.009579	NA	0.02559	NA	0.01216	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. PCC 7376"	"S"	111781	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001431	0.0005987	NA	NA	NA	0.001431	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Prochlorotrichaceae"	"F"	2303730	35	35	NA	23	NA	15	NA	NA	NA	NA	NA	NA	NA	0.0218	0.02095	NA	0.0218	NA	0.01073	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Halomicronema"	"G"	170610	35	35	NA	23	NA	15	NA	NA	NA	NA	NA	NA	NA	0.0218	0.02095	NA	0.0218	NA	0.01073	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochlorotrichaceae"
"Halomicronema hongdechloris"	"S"	1209493	35	35	NA	23	NA	15	NA	NA	NA	NA	NA	NA	NA	0.0218	0.02095	NA	0.0218	NA	0.01073	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochlorotrichaceae>Halomicronema"
"Chamaesiphonaceae"	"F"	1890431	6	6	NA	1	NA	2	NA	NA	NA	NA	NA	3	NA	0.004136	0.003592	NA	0.0009478	NA	0.001431	NA	NA	NA	NA	NA	0.004136	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Chamaesiphon"	"G"	217161	6	6	NA	1	NA	2	NA	NA	NA	NA	NA	3	NA	0.004136	0.003592	NA	0.0009478	NA	0.001431	NA	NA	NA	NA	NA	0.004136	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Chamaesiphonaceae"
"Chamaesiphon minutus"	"S"	1173032	6	6	NA	1	NA	2	NA	NA	NA	NA	NA	3	NA	0.004136	0.003592	NA	0.0009478	NA	0.001431	NA	NA	NA	NA	NA	0.004136	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Chamaesiphonaceae>Chamaesiphon"
"Acaryochloridaceae"	"F"	1890429	10	1	NA	NA	NA	1	NA	NA	NA	NA	NA	10	NA	0.01379	0.0005987	NA	NA	NA	0.0007155	NA	NA	NA	NA	NA	0.01379	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Acaryochloris"	"G"	155977	10	1	NA	NA	NA	1	NA	NA	NA	NA	NA	10	NA	0.01379	0.0005987	NA	NA	NA	0.0007155	NA	NA	NA	NA	NA	0.01379	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Acaryochloridaceae"
"Acaryochloris marina"	"S"	155978	10	1	NA	NA	NA	1	NA	NA	NA	NA	NA	10	NA	0.01379	0.0005987	NA	NA	NA	0.0007155	NA	NA	NA	NA	NA	0.01379	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Acaryochloridaceae>Acaryochloris"
"Merismopediaceae"	"F"	1890428	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005987	0.0005987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Synechocystis"	"G"	1142	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005987	0.0005987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Merismopediaceae"
"Nostocales"	"O"	1161	36682	36682	913	32164	NA	20109	NA	1	3	1	NA	1152	NA	30.48	21.96	20.63	30.48	NA	14.39	NA	5	0.001772	5.263	NA	1.588	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Rivulariaceae"	"F"	1185	8126	8126	177	7272	NA	4159	NA	NA	1	NA	NA	163	NA	6.892	4.865	4	6.892	NA	2.976	NA	NA	0.0005908	NA	NA	0.2247	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales"
"Calothrix"	"G"	1186	8096	8096	177	7254	NA	4148	NA	NA	1	NA	NA	163	NA	6.875	4.847	4	6.875	NA	2.968	NA	NA	0.0005908	NA	NA	0.2247	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae"
"Calothrix sp. NIES-3974"	"S"	2005462	8047	8047	174	7192	NA	4109	NA	NA	1	NA	NA	156	NA	6.816	4.818	3.932	6.816	NA	2.94	NA	NA	0.0005908	NA	NA	0.2151	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix parietina"	"S"	32054	28	23	2	28	NA	16	NA	NA	NA	NA	NA	3	NA	0.0452	0.01377	0.0452	0.02654	NA	0.01145	NA	NA	NA	NA	NA	0.004136	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix sp. NIES-4101"	"S"	2005461	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001796	0.001796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix sp. PCC 7507"	"S"	99598	5	1	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004739	0.0005987	NA	0.004739	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Rivularia"	"G"	373984	28	28	NA	18	NA	11	NA	NA	NA	NA	NA	NA	NA	0.01706	0.01676	NA	0.01706	NA	0.007871	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae"
"Rivularia sp. PCC 7116"	"S"	373994	28	28	NA	18	NA	11	NA	NA	NA	NA	NA	NA	NA	0.01706	0.01676	NA	0.01706	NA	0.007871	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Rivularia"
"Microchaete"	"G"	188910	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005987	0.0005987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae"
"Microchaete diplosiphon"	"S"	1197	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005987	0.0005987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Microchaete"
"Aphanizomenonaceae"	"F"	1892259	26805	26805	673	23117	NA	14635	NA	1	1	1	NA	760	NA	21.91	16.05	15.21	21.91	NA	10.47	NA	5	0.0005908	5.263	NA	1.048	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales"
"Dolichospermum"	"G"	748770	26742	26742	671	23034	NA	14570	NA	1	NA	1	NA	699	NA	21.83	16.01	15.16	21.83	NA	10.42	NA	5	NA	5.263	NA	0.9636	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Aphanizomenonaceae"
"Dolichospermum compactum"	"S"	136073	26742	26742	671	23034	NA	14570	NA	1	NA	1	NA	699	NA	21.83	16.01	15.16	21.83	NA	10.42	NA	5	NA	5.263	NA	0.9636	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Aphanizomenonaceae>Dolichospermum"
"Nodularia"	"G"	159191	79	60	2	79	NA	59	NA	NA	1	NA	NA	61	NA	0.08409	0.03592	0.0452	0.07488	NA	0.04221	NA	NA	0.0005908	NA	NA	0.08409	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Aphanizomenonaceae"
"Nodularia spumigena"	"S"	70799	79	60	2	79	NA	59	NA	NA	1	NA	NA	61	NA	0.08409	0.03592	0.0452	0.07488	NA	0.04221	NA	NA	0.0005908	NA	NA	0.08409	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Aphanizomenonaceae>Nodularia"
"Raphidiopsis"	"G"	244599	5	3	NA	3	NA	5	NA	NA	NA	NA	NA	NA	NA	0.003578	0.001796	NA	0.002843	NA	0.003578	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Aphanizomenonaceae"
"Raphidiopsis curvata"	"S"	312883	5	3	NA	3	NA	5	NA	NA	NA	NA	NA	NA	NA	0.003578	0.001796	NA	0.002843	NA	0.003578	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Aphanizomenonaceae>Raphidiopsis"
"Scytonemataceae"	"F"	1182	609	609	17	561	NA	413	NA	NA	NA	NA	NA	36	NA	0.5317	0.3646	0.3842	0.5317	NA	0.2955	NA	NA	NA	NA	NA	0.04963	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales"
"Scytonema"	"G"	1203	609	609	17	561	NA	413	NA	NA	NA	NA	NA	36	NA	0.5317	0.3646	0.3842	0.5317	NA	0.2955	NA	NA	NA	NA	NA	0.04963	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Scytonemataceae"
"Scytonema sp. HK-05"	"S"	1137095	556	556	17	527	NA	394	NA	NA	NA	NA	NA	36	NA	0.4995	0.3329	0.3842	0.4995	NA	0.2819	NA	NA	NA	NA	NA	0.04963	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Scytonemataceae>Scytonema"
"Scytonema sp. NIES-4073"	"S"	2005464	53	53	NA	33	NA	19	NA	NA	NA	NA	NA	NA	NA	0.03173	0.03173	NA	0.03128	NA	0.01359	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Scytonemataceae>Scytonema"
"Nostocaceae"	"F"	1162	1212	1137	46	1212	NA	898	NA	NA	NA	NA	NA	192	NA	1.149	0.6807	1.04	1.149	NA	0.6425	NA	NA	NA	NA	NA	0.2647	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales"
"Cylindrospermum"	"G"	56106	291	291	4	286	NA	222	NA	NA	NA	NA	NA	11	NA	0.2711	0.1742	0.0904	0.2711	NA	0.1588	NA	NA	NA	NA	NA	0.01516	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae"
"Cylindrospermum stagnale"	"S"	142864	291	291	4	286	NA	222	NA	NA	NA	NA	NA	11	NA	0.2711	0.1742	0.0904	0.2711	NA	0.1588	NA	NA	NA	NA	NA	0.01516	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Cylindrospermum"
"Anabaena"	"G"	1163	799	756	35	799	NA	599	NA	NA	NA	NA	NA	159	NA	0.791	0.4526	0.791	0.7573	NA	0.4286	NA	NA	NA	NA	NA	0.2192	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae"
"Anabaena cylindrica"	"S"	1165	780	745	34	780	NA	583	NA	NA	NA	NA	NA	82	NA	0.7684	0.446	0.7684	0.7393	NA	0.4171	NA	NA	NA	NA	NA	0.113	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Anabaena"
"Anabaena sp. 90"	"S"	46234	14	9	NA	14	NA	4	NA	NA	NA	NA	NA	2	NA	0.01327	0.005388	NA	0.01327	NA	0.002862	NA	NA	NA	NA	NA	0.002757	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Anabaena"
"Anabaena sp. WA102"	"S"	1647413	75	2	1	4	NA	11	NA	NA	NA	NA	NA	75	NA	0.1034	0.001197	0.0226	0.003791	NA	0.007871	NA	NA	NA	NA	NA	0.1034	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Anabaena"
"Nostoc"	"G"	1177	125	87	7	125	NA	75	NA	NA	NA	NA	NA	21	NA	0.1582	0.05209	0.1582	0.1185	NA	0.05366	NA	NA	NA	NA	NA	0.02895	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae"
