"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_june_BC01.cladeReads"	"kraken2_16s_classification_june_BC02.cladeReads"	"kraken2_16s_classification_june_BC03.cladeReads"	"kraken2_16s_classification_june_BC04.cladeReads"	"kraken2_16s_classification_june_BC05.cladeReads"	"kraken2_16s_classification_june_BC06.cladeReads"	"kraken2_16s_classification_june_BC07.cladeReads"	"kraken2_16s_classification_june_BC08.cladeReads"	"kraken2_16s_classification_june_BC09.cladeReads"	"kraken2_16s_classification_june_BC10.cladeReads"	"kraken2_16s_classification_june_BC11.cladeReads"	"kraken2_16s_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_june_BC01.cladeReads.."	"kraken2_16s_classification_june_BC02.cladeReads.."	"kraken2_16s_classification_june_BC03.cladeReads.."	"kraken2_16s_classification_june_BC04.cladeReads.."	"kraken2_16s_classification_june_BC05.cladeReads.."	"kraken2_16s_classification_june_BC06.cladeReads.."	"kraken2_16s_classification_june_BC07.cladeReads.."	"kraken2_16s_classification_june_BC08.cladeReads.."	"kraken2_16s_classification_june_BC09.cladeReads.."	"kraken2_16s_classification_june_BC10.cladeReads.."	"kraken2_16s_classification_june_BC11.cladeReads.."	"kraken2_16s_classification_june_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	18	6	18	5	4	6	10	4	6	4	5	6	6	55.56	0.003511	0.3277	0.003568	19.05	0.003674	40	16.67	0.00358	20	55.56	0.007888	25	"unclassified"
"root"	"-"	1	172120	172119	5602	140562	17	169067	15	20	169350	16	4	80294	18	105.6	100.7	102	100.3	80.95	103.5	60	83.33	101	80	44.44	105.6	75	"root"
"Bacteria"	"D"	3	172120	172118	5602	140560	17	169065	15	20	169349	16	4	80294	16	105.6	100.7	102	100.3	80.95	103.5	60	83.33	101	80	44.44	105.6	66.67	"root"
"Cyanobacteria"	"P"	1500	150730	150728	3870	131563	6	100362	2	10	218	4	3	6284	1	93.89	88.19	70.45	93.89	28.57	61.45	8	41.67	0.1301	20	33.33	8.261	4.167	"Bacteria"
"Oxyphotobacteria"	"C"	25227	150720	150717	3870	131556	6	100354	2	10	218	4	3	6270	1	93.88	88.19	70.45	93.88	28.57	61.45	8	41.67	0.1301	20	33.33	8.243	4.167	"Bacteria>Cyanobacteria"
"Chloroplast"	"O"	25228	150680	150683	3870	131533	6	100344	2	10	217	4	3	6162	1	93.87	88.17	70.45	93.87	28.57	61.44	8	41.67	0.1295	20	33.33	8.101	4.167	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Nostocales"	"O"	25273	58	23	NA	18	NA	3	NA	NA	NA	NA	NA	58	NA	0.07625	0.01346	NA	0.01285	NA	0.001837	NA	NA	NA	NA	NA	0.07625	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Phormidiaceae"	"F"	25433	8	6	NA	8	NA	2	NA	NA	NA	NA	NA	6	NA	0.007888	0.003511	NA	0.005709	NA	0.001225	NA	NA	NA	NA	NA	0.007888	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Tychonema CCAP 1459-11B"	"G"	25443	7	5	NA	7	NA	1	NA	NA	NA	NA	NA	3	NA	0.004995	0.002926	NA	0.004995	NA	0.0006123	NA	NA	NA	NA	NA	0.003944	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Kamptonema PCC-6407"	"G"	25437	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001315	0.0005851	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001315	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Nostocaceae"	"F"	25335	51	5	NA	1	NA	NA	NA	NA	NA	NA	NA	51	NA	0.06704	0.002926	NA	0.0007136	NA	NA	NA	NA	NA	NA	NA	0.06704	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Aphanizomenon NIES81"	"G"	25346	23	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	NA	0.03024	0.0005851	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03024	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Nodularia PCC-9350"	"G"	25380	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003944	0.0005851	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003944	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Desmonostoc PCC-7422"	"G"	25365	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005851	0.0005851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"uncultured"	"G"	25404	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005851	0.0005851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Cyanobacteriaceae"	"F"	25300	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001755	0.001755	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Geminocystis PCC-6308"	"G"	25307	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001755	0.001755	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Cyanobacteriaceae"
"Chroococcidiopsaceae"	"F"	25276	3	3	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001755	0.001755	NA	0.0007136	NA	0.0006123	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"uncultured"	"G"	25286	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006123	0.0005851	NA	NA	NA	0.0006123	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Chroococcidiopsaceae"
"Crinalium SAG 22.89"	"G"	25282	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005851	0.0005851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Chroococcidiopsaceae"
"Chroococcidiopsis PCC 7203"	"G"	25280	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007136	0.0005851	NA	0.0007136	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Chroococcidiopsaceae"
"Xenococcaceae"	"F"	25451	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001315	0.00117	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001315	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Pleurocapsa PCC-7319"	"G"	25456	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001315	0.00117	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001315	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Xenococcaceae"
"Oscillatoriaceae"	"F"	25415	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00117	0.00117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Oscillatoria PCC-6304"	"G"	25417	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00117	0.00117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Oscillatoriaceae"
"Gloeocapsaceae"	"F"	25315	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005851	0.0005851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Gleocapsa"	"G"	25316	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005851	0.0005851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Gloeocapsaceae"
"Leptolyngbyales"	"O"	25243	3	3	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	0.001755	0.001755	NA	NA	NA	0.001225	NA	NA	NA	NA	NA	0.001315	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
