"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_june_BC01.cladeReads"	"kraken2_16s_k21_classification_june_BC02.cladeReads"	"kraken2_16s_k21_classification_june_BC03.cladeReads"	"kraken2_16s_k21_classification_june_BC04.cladeReads"	"kraken2_16s_k21_classification_june_BC05.cladeReads"	"kraken2_16s_k21_classification_june_BC06.cladeReads"	"kraken2_16s_k21_classification_june_BC07.cladeReads"	"kraken2_16s_k21_classification_june_BC08.cladeReads"	"kraken2_16s_k21_classification_june_BC09.cladeReads"	"kraken2_16s_k21_classification_june_BC10.cladeReads"	"kraken2_16s_k21_classification_june_BC11.cladeReads"	"kraken2_16s_k21_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_june_BC01.cladeReads.."	"kraken2_16s_k21_classification_june_BC02.cladeReads.."	"kraken2_16s_k21_classification_june_BC03.cladeReads.."	"kraken2_16s_k21_classification_june_BC04.cladeReads.."	"kraken2_16s_k21_classification_june_BC05.cladeReads.."	"kraken2_16s_k21_classification_june_BC06.cladeReads.."	"kraken2_16s_k21_classification_june_BC07.cladeReads.."	"kraken2_16s_k21_classification_june_BC08.cladeReads.."	"kraken2_16s_k21_classification_june_BC09.cladeReads.."	"kraken2_16s_k21_classification_june_BC10.cladeReads.."	"kraken2_16s_k21_classification_june_BC11.cladeReads.."	"kraken2_16s_k21_classification_june_BC12.cladeReads.."	"lineage"
"root"	"-"	1	172120	172125	5620	140567	21	169073	25	24	169356	20	9	80300	24	180	102.2	107.7	101.1	131.2	109.5	113.6	114.3	106.1	117.6	180	117.4	126.3	"root"
"Bacteria"	"D"	3	172120	172125	5620	140567	21	169073	25	24	169356	20	9	80300	24	180	102.2	107.7	101.1	131.2	109.5	113.6	114.3	106.1	117.6	180	117.4	126.3	"root"
"Cyanobacteria"	"P"	1500	149860	149857	3846	130888	6	99584	2	10	164	3	3	6196	1	94.14	88.97	73.69	94.14	37.5	64.52	9.091	47.62	0.1027	17.65	60	9.06	5.263	"Bacteria"
"Oxyphotobacteria"	"C"	25227	149850	149852	3846	130882	6	99579	2	10	164	3	3	6187	1	94.13	88.97	73.69	94.13	37.5	64.52	9.091	47.62	0.1027	17.65	60	9.047	5.263	"Bacteria>Cyanobacteria"
"Chloroplast"	"O"	25228	149830	149829	3846	130868	6	99574	2	10	164	3	3	6098	1	94.12	88.96	73.69	94.12	37.5	64.51	9.091	47.62	0.1027	17.65	60	8.917	5.263	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Nostocales"	"O"	25273	56	17	NA	13	NA	2	NA	NA	NA	NA	NA	56	NA	0.08188	0.01009	NA	0.00935	NA	0.001296	NA	NA	NA	NA	NA	0.08188	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Phormidiaceae"	"F"	25433	6	6	NA	5	NA	NA	NA	NA	NA	NA	NA	3	NA	0.004387	0.003562	NA	0.003596	NA	NA	NA	NA	NA	NA	NA	0.004387	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Tychonema CCAP 1459-11B"	"G"	25443	4	1	NA	4	NA	NA	NA	NA	NA	NA	NA	2	NA	0.002924	0.0005937	NA	0.002877	NA	NA	NA	NA	NA	NA	NA	0.002924	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Trichodesmium IMS101"	"G"	25442	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005937	0.0005937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Lyngbya PCC-7419"	"G"	25438	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005937	0.0005937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Nostocaceae"	"F"	25335	51	4	NA	NA	NA	1	NA	NA	NA	NA	NA	51	NA	0.07457	0.002375	NA	NA	NA	0.0006479	NA	NA	NA	NA	NA	0.07457	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Fischerella PCC-9339"	"G"	25369	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	0.007311	0.001187	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.007311	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Scytonema UTEX 2349"	"G"	25395	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.004387	0.0005937	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004387	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Desmonostoc PCC-7422"	"G"	25365	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005937	0.0005937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Cyanobacteriaceae"	"F"	25300	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001781	0.001781	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
