"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_june_BC01.cladeReads"	"centrifuge_classification_june_BC02.cladeReads"	"centrifuge_classification_june_BC03.cladeReads"	"centrifuge_classification_june_BC04.cladeReads"	"centrifuge_classification_june_BC05.cladeReads"	"centrifuge_classification_june_BC06.cladeReads"	"centrifuge_classification_june_BC07.cladeReads"	"centrifuge_classification_june_BC08.cladeReads"	"centrifuge_classification_june_BC09.cladeReads"	"centrifuge_classification_june_BC10.cladeReads"	"centrifuge_classification_june_BC11.cladeReads"	"centrifuge_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_classification_june_BC01.cladeReads.."	"centrifuge_classification_june_BC02.cladeReads.."	"centrifuge_classification_june_BC03.cladeReads.."	"centrifuge_classification_june_BC04.cladeReads.."	"centrifuge_classification_june_BC05.cladeReads.."	"centrifuge_classification_june_BC06.cladeReads.."	"centrifuge_classification_june_BC07.cladeReads.."	"centrifuge_classification_june_BC08.cladeReads.."	"centrifuge_classification_june_BC09.cladeReads.."	"centrifuge_classification_june_BC10.cladeReads.."	"centrifuge_classification_june_BC11.cladeReads.."	"centrifuge_classification_june_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	65	65	10	65	2	49	4	NA	12	4	3	13	4	33.33	0.03776	0.1779	0.04624	9.524	0.02898	16	NA	0.007086	20	33.33	0.01619	16.67	"unclassified"
"root"	"-"	1	172060	172060	5610	140502	19	169024	21	24	169344	16	6	80287	20	100	99.96	99.82	99.95	90.48	99.97	84	100	99.99	80	66.67	99.98	83.33	"root"
"cellular organisms"	"-"	131567	172060	172060	5610	140502	19	169024	21	24	169344	16	6	80287	20	100	99.96	99.82	99.95	90.48	99.97	84	100	99.99	80	66.67	99.98	83.33	"root"
"Bacteria"	"D"	2	172050	172049	5610	140488	19	169019	21	24	169344	16	6	80286	20	100	99.96	99.82	99.94	90.48	99.97	84	100	99.99	80	66.67	99.98	83.33	"cellular&nbsp;organisms"
"Terrabacteria group"	"-"	1783272	122050	122052	3141	106319	8	81038	3	12	67838	NA	3	9692	4	75.64	70.91	55.89	75.64	38.1	47.93	12	50	40.06	NA	33.33	12.07	16.67	"cellular&nbsp;organisms>Bacteria"
"Cyanobacteria/Melainabacteria group"	"-"	1798711	72078	72078	1884	63534	2	47696	1	6	55	NA	3	3161	1	45.2	41.88	33.52	45.2	9.524	28.21	4	25	0.03248	NA	33.33	3.936	4.167	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Cyanobacteria"	"P"	1117	72078	72078	1884	63534	2	47696	1	6	55	NA	3	3161	1	45.2	41.88	33.52	45.2	9.524	28.21	4	25	0.03248	NA	33.33	3.936	4.167	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group"
"Synechococcales"	"O"	1890424	35454	35454	919	30995	1	23539	NA	3	31	NA	1	1525	1	22.05	20.6	16.35	22.05	4.762	13.92	NA	12.5	0.0183	NA	11.11	1.899	4.167	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Synechococcaceae"	"F"	1890426	28615	28615	767	25076	NA	19075	NA	2	19	NA	1	1193	1	17.84	16.62	13.65	17.84	NA	11.28	NA	8.333	0.01122	NA	11.11	1.486	4.167	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Synechococcus"	"G"	1129	28599	28599	766	25062	NA	19061	NA	2	19	NA	1	1190	1	17.83	16.62	13.63	17.83	NA	11.27	NA	8.333	0.01122	NA	11.11	1.482	4.167	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae"
