"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_june_BC01.cladeReads"	"centrifuge_16s_classification_june_BC02.cladeReads"	"centrifuge_16s_classification_june_BC03.cladeReads"	"centrifuge_16s_classification_june_BC04.cladeReads"	"centrifuge_16s_classification_june_BC05.cladeReads"	"centrifuge_16s_classification_june_BC06.cladeReads"	"centrifuge_16s_classification_june_BC07.cladeReads"	"centrifuge_16s_classification_june_BC08.cladeReads"	"centrifuge_16s_classification_june_BC09.cladeReads"	"centrifuge_16s_classification_june_BC10.cladeReads"	"centrifuge_16s_classification_june_BC11.cladeReads"	"centrifuge_16s_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_june_BC01.cladeReads.."	"centrifuge_16s_classification_june_BC02.cladeReads.."	"centrifuge_16s_classification_june_BC03.cladeReads.."	"centrifuge_16s_classification_june_BC04.cladeReads.."	"centrifuge_16s_classification_june_BC05.cladeReads.."	"centrifuge_16s_classification_june_BC06.cladeReads.."	"centrifuge_16s_classification_june_BC07.cladeReads.."	"centrifuge_16s_classification_june_BC08.cladeReads.."	"centrifuge_16s_classification_june_BC09.cladeReads.."	"centrifuge_16s_classification_june_BC10.cladeReads.."	"centrifuge_16s_classification_june_BC11.cladeReads.."	"centrifuge_16s_classification_june_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	21	16	17	17	4	21	10	4	15	4	5	17	7	55.56	0.009296	0.3025	0.01209	19.05	0.01242	40	16.67	0.008857	20	55.56	0.02117	29.17	"unclassified"
"root"	"-"	1	172110	172109	5603	140550	17	169052	15	20	169341	16	4	80283	17	99.99	99.99	99.7	99.99	80.95	99.99	60	83.33	99.99	80	44.44	99.98	70.83	"root"
"cellular organisms"	"-"	131567	164800	164797	5111	135633	13	152160	10	15	100161	13	3	67062	13	96.49	95.74	90.94	96.49	61.9	90	40	62.5	59.14	65	33.33	83.51	54.17	"root"
"Eukaryota"	"D"	2759	73741	73741	2089	63257	5	51192	2	6	108	NA	2	3415	2	45	42.84	37.17	45	23.81	30.28	8	25	0.06377	NA	22.22	4.253	8.333	"cellular&nbsp;organisms"
"Stramenopiles"	"-"	33634	66769	66769	1896	56977	4	46197	1	4	38	NA	1	2993	1	40.53	38.79	33.74	40.53	19.05	27.32	4	16.67	0.02244	NA	11.11	3.727	4.167	"cellular&nbsp;organisms>Eukaryota"
"Bacillariophyta"	"P"	2836	66762	66762	1894	56961	4	46187	1	4	38	NA	1	2985	1	40.52	38.79	33.7	40.52	19.05	27.32	4	16.67	0.02244	NA	11.11	3.717	4.167	"cellular&nbsp;organisms>Eukaryota>Stramenopiles"
"Coscinodiscophyceae"	"C"	33836	65127	65127	1854	55571	4	45121	1	3	34	NA	1	2877	1	39.53	37.84	32.99	39.53	19.05	26.69	4	12.5	0.02008	NA	11.11	3.583	4.167	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta"
"Thalassiosirophycidae"	"-"	33846	65045	65045	1852	55481	4	45056	1	3	33	NA	1	2872	1	39.47	37.79	32.95	39.47	19.05	26.65	4	12.5	0.01949	NA	11.11	3.577	4.167	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae"
"Thalassiosirales"	"O"	33847	65045	65045	1852	55481	4	45056	1	3	33	NA	1	2872	1	39.47	37.79	32.95	39.47	19.05	26.65	4	12.5	0.01949	NA	11.11	3.577	4.167	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae"
"Thalassiosiraceae"	"F"	29202	58885	58885	1664	50737	4	43618	1	2	25	NA	1	2809	1	36.09	34.21	29.61	36.09	19.05	25.8	4	8.333	0.01476	NA	11.11	3.498	4.167	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales"
"Thalassiosira"	"G"	35127	58604	58604	1658	50453	4	43420	1	2	24	NA	1	2798	1	35.89	34.05	29.5	35.89	19.05	25.68	4	8.333	0.01417	NA	11.11	3.484	4.167	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales>Thalassiosiraceae"
"Thalassiosira pseudonana"	"S"	35128	58302	58302	1647	50158	4	43250	1	2	24	NA	1	2793	1	35.68	33.87	29.31	35.68	19.05	25.58	4	8.333	0.01417	NA	11.11	3.478	4.167	"cellular&nbsp;organisms>Eukaryota>Stramenopiles>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales>Thalassiosiraceae>Thalassiosira"
