"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_june_BC01.cladeReads"	"kraken2_classification_june_BC02.cladeReads"	"kraken2_classification_june_BC03.cladeReads"	"kraken2_classification_june_BC04.cladeReads"	"kraken2_classification_june_BC05.cladeReads"	"kraken2_classification_june_BC06.cladeReads"	"kraken2_classification_june_BC07.cladeReads"	"kraken2_classification_june_BC08.cladeReads"	"kraken2_classification_june_BC09.cladeReads"	"kraken2_classification_june_BC10.cladeReads"	"kraken2_classification_june_BC11.cladeReads"	"kraken2_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_classification_june_BC01.cladeReads.."	"kraken2_classification_june_BC02.cladeReads.."	"kraken2_classification_june_BC03.cladeReads.."	"kraken2_classification_june_BC04.cladeReads.."	"kraken2_classification_june_BC05.cladeReads.."	"kraken2_classification_june_BC06.cladeReads.."	"kraken2_classification_june_BC07.cladeReads.."	"kraken2_classification_june_BC08.cladeReads.."	"kraken2_classification_june_BC09.cladeReads.."	"kraken2_classification_june_BC10.cladeReads.."	"kraken2_classification_june_BC11.cladeReads.."	"kraken2_classification_june_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	54	54	15	35	2	33	4	1	3	4	3	11	5	33.33	0.03137	0.2669	0.0249	9.524	0.01952	16	4.167	0.001771	20	33.33	0.0137	20.83	"unclassified"
"root"	"-"	1	172070	172071	5605	140532	19	169040	21	23	169353	16	6	80289	19	100	99.97	99.73	99.98	90.48	99.98	84	95.83	100	80	66.67	99.99	79.17	"root"
"cellular organisms"	"-"	131567	172070	172071	5605	140532	19	169040	21	23	169353	16	6	80289	19	100	99.97	99.73	99.98	90.48	99.98	84	95.83	100	80	66.67	99.99	79.17	"root"
"Bacteria"	"D"	2	172070	172070	5605	140532	19	169038	21	23	169353	16	6	80289	19	100	99.97	99.73	99.98	90.48	99.98	84	95.83	100	80	66.67	99.99	79.17	"cellular&nbsp;organisms"
"Terrabacteria group"	"-"	1783272	145260	145257	3735	126330	6	96341	4	12	68488	1	2	10522	3	89.87	84.39	66.46	89.87	28.57	56.98	16	50	40.44	5	22.22	13.1	12.5	"cellular&nbsp;organisms>Bacteria"
"Cyanobacteria/Melainabacteria group"	"-"	1798711	128360	128356	3293	112570	5	83869	1	7	12	1	1	5269	2	80.08	74.57	58.59	80.08	23.81	49.61	4	29.17	0.007086	5	11.11	6.562	8.333	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Cyanobacteria"	"P"	1117	128360	128356	3293	112570	5	83869	1	7	12	1	1	5269	2	80.08	74.57	58.59	80.08	23.81	49.61	4	29.17	0.007086	5	11.11	6.562	8.333	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group"
"Synechococcales"	"O"	1890424	72097	72097	1838	63387	4	48197	1	3	5	NA	1	3032	1	45.09	41.89	32.7	45.09	19.05	28.51	4	12.5	0.002952	NA	11.11	3.776	4.167	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Prochloraceae"	"F"	1213	38360	38360	1008	33831	2	25667	NA	3	3	NA	NA	1609	NA	24.07	22.29	17.94	24.07	9.524	15.18	NA	12.5	0.001771	NA	NA	2.004	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Prochlorococcus"	"G"	1218	38360	38360	1008	33831	2	25667	NA	3	3	NA	NA	1609	NA	24.07	22.29	17.94	24.07	9.524	15.18	NA	12.5	0.001771	NA	NA	2.004	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae"
"Prochlorococcus marinus"	"S"	1219	2234	2234	57	1966	NA	1500	NA	NA	NA	NA	NA	89	NA	1.399	1.298	1.014	1.399	NA	0.8872	NA	NA	NA	NA	NA	0.1108	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus"
"Prochlorococcus marinus subsp. marinus"	"-"	142554	2047	2047	50	1808	NA	1355	NA	NA	NA	NA	NA	84	NA	1.286	1.189	0.8897	1.286	NA	0.8014	NA	NA	NA	NA	NA	0.1046	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus>Prochlorococcus&nbsp;marinus"
"Prochlorococcus marinus subsp. marinus str. CCMP1375"	"-"	167539	2047	2047	50	1808	NA	1355	NA	NA	NA	NA	NA	84	NA	1.286	1.189	0.8897	1.286	NA	0.8014	NA	NA	NA	NA	NA	0.1046	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus>Prochlorococcus&nbsp;marinus>Prochlorococcus&nbsp;marinus&nbsp;subsp.&nbsp;marinus"
"Prochlorococcus marinus str. NATL1A"	"-"	167555	183	183	7	150	NA	142	NA	NA	NA	NA	NA	5	NA	0.1246	0.1063	0.1246	0.1067	NA	0.08399	NA	NA	NA	NA	NA	0.006227	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus>Prochlorococcus&nbsp;marinus"
"Prochlorococcus marinus str. MIT 9312"	"-"	74546	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus>Prochlorococcus&nbsp;marinus"
"Prochlorococcus sp. MIT 0604"	"S"	1501268	265	263	9	265	NA	215	NA	NA	NA	NA	NA	13	NA	0.1885	0.1528	0.1601	0.1885	NA	0.1272	NA	NA	NA	NA	NA	0.01619	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus"
"Synechococcaceae"	"F"	1890426	31732	31732	771	27652	2	21065	1	NA	1	NA	1	1302	1	19.67	18.44	13.72	19.67	9.524	12.46	4	NA	0.0005905	NA	11.11	1.621	4.167	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Synechococcus"	"G"	1129	31724	31724	771	27635	2	21048	1	NA	1	NA	1	1296	1	19.66	18.43	13.72	19.66	9.524	12.45	4	NA	0.0005905	NA	11.11	1.614	4.167	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae"
"Synechococcus sp. PCC 7502"	"S"	1173263	30947	30947	757	26965	2	20490	1	NA	1	NA	1	1236	1	19.18	17.98	13.47	19.18	9.524	12.12	4	NA	0.0005905	NA	11.11	1.539	4.167	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. WH 8102"	"S"	84588	381	381	9	326	NA	241	NA	NA	NA	NA	NA	13	NA	0.2319	0.2214	0.1601	0.2319	NA	0.1425	NA	NA	NA	NA	NA	0.01619	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. PCC 6312"	"S"	195253	193	193	3	181	NA	168	NA	NA	NA	NA	NA	13	NA	0.1288	0.1121	0.05338	0.1288	NA	0.09937	NA	NA	NA	NA	NA	0.01619	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. JA-3-3Ab"	"S"	321327	69	69	1	49	NA	34	NA	NA	NA	NA	NA	5	NA	0.04009	0.04009	0.01779	0.03486	NA	0.02011	NA	NA	NA	NA	NA	0.006227	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. PCC 7336"	"S"	195250	39	39	NA	24	NA	27	NA	NA	NA	NA	NA	11	NA	0.02266	0.02266	NA	0.01707	NA	0.01597	NA	NA	NA	NA	NA	0.0137	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. JA-2-3B'a(2-13)"	"S"	321332	37	37	NA	37	NA	24	NA	NA	NA	NA	NA	4	NA	0.02632	0.0215	NA	0.02632	NA	0.0142	NA	NA	NA	NA	NA	0.004981	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. SynAce01"	"S"	1916956	9	7	NA	6	NA	9	NA	NA	NA	NA	NA	1	NA	0.005323	0.004067	NA	0.004268	NA	0.005323	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus lividus"	"S"	33070	9	6	NA	5	NA	9	NA	NA	NA	NA	NA	1	NA	0.005323	0.003486	NA	0.003557	NA	0.005323	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus lividus PCC 6715"	"-"	1917166	9	6	NA	5	NA	9	NA	NA	NA	NA	NA	1	NA	0.005323	0.003486	NA	0.003557	NA	0.005323	NA	NA	NA	NA	NA	0.001245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus>Synechococcus&nbsp;lividus"
"Synechococcus sp. KORDI-52"	"S"	585425	2	1	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001183	0.000581	NA	0.0007114	NA	0.001183	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Cyanobium"	"G"	167375	4	1	NA	NA	NA	2	NA	NA	NA	NA	NA	4	NA	0.004981	0.000581	NA	NA	NA	0.001183	NA	NA	NA	NA	NA	0.004981	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae"
"Cyanobium gracile"	"S"	59930	4	1	NA	NA	NA	2	NA	NA	NA	NA	NA	4	NA	0.004981	0.000581	NA	NA	NA	0.001183	NA	NA	NA	NA	NA	0.004981	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Cyanobium"
"Cyanobium gracile PCC 6307"	"-"	292564	4	1	NA	NA	NA	2	NA	NA	NA	NA	NA	4	NA	0.004981	0.000581	NA	NA	NA	0.001183	NA	NA	NA	NA	NA	0.004981	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Cyanobium>Cyanobium&nbsp;gracile"
"Leptolyngbyaceae"	"F"	1890438	578	523	13	578	NA	411	NA	NA	1	NA	NA	38	NA	0.4112	0.3038	0.2313	0.4112	NA	0.2431	NA	NA	0.0005905	NA	NA	0.04732	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Leptolyngbya"	"G"	47251	578	523	13	578	NA	411	NA	NA	1	NA	NA	38	NA	0.4112	0.3038	0.2313	0.4112	NA	0.2431	NA	NA	0.0005905	NA	NA	0.04732	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae"
"Leptolyngbya sp. NIES-3755"	"S"	1752064	471	471	9	444	NA	324	NA	NA	NA	NA	NA	13	NA	0.3159	0.2736	0.1601	0.3159	NA	0.1916	NA	NA	NA	NA	NA	0.01619	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. O-77"	"S"	1080068	107	35	4	107	NA	68	NA	NA	1	NA	NA	25	NA	0.07612	0.02033	0.07117	0.07612	NA	0.04022	NA	NA	0.0005905	NA	NA	0.03113	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya boryana"	"S"	1184	27	16	NA	27	NA	17	NA	NA	NA	NA	NA	NA	NA	0.01921	0.009296	NA	0.01921	NA	0.01005	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. PCC 7376"	"S"	111781	2	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001183	0.000581	NA	NA	NA	0.001183	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Prochlorotrichaceae"	"F"	2303730	35	35	NA	23	NA	15	NA	NA	NA	NA	NA	NA	NA	0.02033	0.02033	NA	0.01636	NA	0.008872	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Halomicronema"	"G"	170610	35	35	NA	23	NA	15	NA	NA	NA	NA	NA	NA	NA	0.02033	0.02033	NA	0.01636	NA	0.008872	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochlorotrichaceae"
"Halomicronema hongdechloris"	"S"	1209493	35	35	NA	23	NA	15	NA	NA	NA	NA	NA	NA	NA	0.02033	0.02033	NA	0.01636	NA	0.008872	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochlorotrichaceae>Halomicronema"
"Halomicronema hongdechloris C2206"	"-"	1641165	35	35	NA	23	NA	15	NA	NA	NA	NA	NA	NA	NA	0.02033	0.02033	NA	0.01636	NA	0.008872	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochlorotrichaceae>Halomicronema>Halomicronema&nbsp;hongdechloris"
"Chamaesiphonaceae"	"F"	1890431	6	6	NA	1	NA	2	NA	NA	NA	NA	NA	3	NA	0.003736	0.003486	NA	0.0007114	NA	0.001183	NA	NA	NA	NA	NA	0.003736	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Chamaesiphon"	"G"	217161	6	6	NA	1	NA	2	NA	NA	NA	NA	NA	3	NA	0.003736	0.003486	NA	0.0007114	NA	0.001183	NA	NA	NA	NA	NA	0.003736	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Chamaesiphonaceae"
"Chamaesiphon minutus"	"S"	1173032	6	6	NA	1	NA	2	NA	NA	NA	NA	NA	3	NA	0.003736	0.003486	NA	0.0007114	NA	0.001183	NA	NA	NA	NA	NA	0.003736	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Chamaesiphonaceae>Chamaesiphon"
"Chamaesiphon minutus PCC 6605"	"-"	1173020	6	6	NA	1	NA	2	NA	NA	NA	NA	NA	3	NA	0.003736	0.003486	NA	0.0007114	NA	0.001183	NA	NA	NA	NA	NA	0.003736	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Chamaesiphonaceae>Chamaesiphon>Chamaesiphon&nbsp;minutus"
"Merismopediaceae"	"F"	1890428	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Synechocystis"	"G"	1142	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Merismopediaceae"
"Acaryochloridaceae"	"F"	1890429	10	1	NA	NA	NA	1	NA	NA	NA	NA	NA	10	NA	0.01245	0.000581	NA	NA	NA	0.0005915	NA	NA	NA	NA	NA	0.01245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Acaryochloris"	"G"	155977	10	1	NA	NA	NA	1	NA	NA	NA	NA	NA	10	NA	0.01245	0.000581	NA	NA	NA	0.0005915	NA	NA	NA	NA	NA	0.01245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Acaryochloridaceae"
"Acaryochloris marina"	"S"	155978	10	1	NA	NA	NA	1	NA	NA	NA	NA	NA	10	NA	0.01245	0.000581	NA	NA	NA	0.0005915	NA	NA	NA	NA	NA	0.01245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Acaryochloridaceae>Acaryochloris"
"Acaryochloris marina MBIC11017"	"-"	329726	10	1	NA	NA	NA	1	NA	NA	NA	NA	NA	10	NA	0.01245	0.000581	NA	NA	NA	0.0005915	NA	NA	NA	NA	NA	0.01245	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Acaryochloridaceae>Acaryochloris>Acaryochloris&nbsp;marina"
"Nostocales"	"O"	1161	10709	10709	258	9830	NA	5917	NA	1	3	1	NA	483	NA	6.993	6.222	4.591	6.993	NA	3.5	NA	4.167	0.001771	5	NA	0.6015	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Rivulariaceae"	"F"	1185	8126	8126	177	7272	NA	4159	NA	NA	1	NA	NA	163	NA	5.173	4.721	3.149	5.173	NA	2.46	NA	NA	0.0005905	NA	NA	0.203	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales"
"Calothrix"	"G"	1186	8096	8096	177	7254	NA	4148	NA	NA	1	NA	NA	163	NA	5.161	4.704	3.149	5.161	NA	2.453	NA	NA	0.0005905	NA	NA	0.203	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae"
"Calothrix sp. NIES-3974"	"S"	2005462	8047	8047	174	7192	NA	4109	NA	NA	1	NA	NA	156	NA	5.116	4.675	3.096	5.116	NA	2.43	NA	NA	0.0005905	NA	NA	0.1943	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix parietina"	"S"	32054	28	23	2	28	NA	16	NA	NA	NA	NA	NA	3	NA	0.03559	0.01336	0.03559	0.01992	NA	0.009463	NA	NA	NA	NA	NA	0.003736	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix sp. PCC 6303"	"-"	1170562	28	23	2	28	NA	16	NA	NA	NA	NA	NA	3	NA	0.03559	0.01336	0.03559	0.01992	NA	0.009463	NA	NA	NA	NA	NA	0.003736	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix>Calothrix&nbsp;parietina"
