"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_june_BC01.cladeReads"	"kraken2_16s_k21_classification_june_BC02.cladeReads"	"kraken2_16s_k21_classification_june_BC03.cladeReads"	"kraken2_16s_k21_classification_june_BC04.cladeReads"	"kraken2_16s_k21_classification_june_BC05.cladeReads"	"kraken2_16s_k21_classification_june_BC06.cladeReads"	"kraken2_16s_k21_classification_june_BC07.cladeReads"	"kraken2_16s_k21_classification_june_BC08.cladeReads"	"kraken2_16s_k21_classification_june_BC09.cladeReads"	"kraken2_16s_k21_classification_june_BC10.cladeReads"	"kraken2_16s_k21_classification_june_BC11.cladeReads"	"kraken2_16s_k21_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_june_BC01.cladeReads.."	"kraken2_16s_k21_classification_june_BC02.cladeReads.."	"kraken2_16s_k21_classification_june_BC03.cladeReads.."	"kraken2_16s_k21_classification_june_BC04.cladeReads.."	"kraken2_16s_k21_classification_june_BC05.cladeReads.."	"kraken2_16s_k21_classification_june_BC06.cladeReads.."	"kraken2_16s_k21_classification_june_BC07.cladeReads.."	"kraken2_16s_k21_classification_june_BC08.cladeReads.."	"kraken2_16s_k21_classification_june_BC09.cladeReads.."	"kraken2_16s_k21_classification_june_BC10.cladeReads.."	"kraken2_16s_k21_classification_june_BC11.cladeReads.."	"kraken2_16s_k21_classification_june_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	18	6	18	5	4	6	10	4	6	4	5	6	6	55.56	0.003486	0.3203	0.003557	19.05	0.003549	40	16.67	0.003543	20	55.56	0.007472	25	"unclassified"
"root"	"-"	1	172120	172119	5602	140562	17	169067	15	20	169350	16	4	80294	18	100	100	99.68	100	80.95	100	60	83.33	100	80	44.44	99.99	75	"root"
"Bacteria"	"D"	3	172120	172118	5602	140560	17	169065	15	20	169349	16	4	80294	16	100	100	99.68	100	80.95	100	60	83.33	100	80	44.44	99.99	66.67	"root"
"Cyanobacteria"	"P"	1500	150730	150728	3870	131563	6	100362	2	10	218	4	3	6284	1	93.59	87.57	68.86	93.59	28.57	59.36	8	41.67	0.1287	20	33.33	7.826	4.167	"Bacteria"
"Oxyphotobacteria"	"C"	25227	150720	150717	3870	131556	6	100354	2	10	218	4	3	6270	1	93.59	87.56	68.86	93.59	28.57	59.36	8	41.67	0.1287	20	33.33	7.808	4.167	"Bacteria>Cyanobacteria"
"Chloroplast"	"O"	25228	150680	150683	3870	131533	6	100344	2	10	217	4	3	6162	1	93.57	87.54	68.86	93.57	28.57	59.35	8	41.67	0.1281	20	33.33	7.674	4.167	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Nostocales"	"O"	25273	58	23	NA	18	NA	3	NA	NA	NA	NA	NA	58	NA	0.07223	0.01336	NA	0.01281	NA	0.001774	NA	NA	NA	NA	NA	0.07223	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Phormidiaceae"	"F"	25433	8	6	NA	8	NA	2	NA	NA	NA	NA	NA	6	NA	0.007472	0.003486	NA	0.005691	NA	0.001183	NA	NA	NA	NA	NA	0.007472	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Tychonema CCAP 1459-11B"	"G"	25443	7	5	NA	7	NA	1	NA	NA	NA	NA	NA	3	NA	0.00498	0.002905	NA	0.00498	NA	0.0005915	NA	NA	NA	NA	NA	0.003736	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Kamptonema PCC-6407"	"G"	25437	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001245	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001245	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Nostocaceae"	"F"	25335	51	5	NA	1	NA	NA	NA	NA	NA	NA	NA	51	NA	0.06351	0.002905	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	0.06351	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"uncultured"	"G"	25404	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Desmonostoc PCC-7422"	"G"	25365	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Nodularia PCC-9350"	"G"	25380	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003736	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003736	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Aphanizomenon NIES81"	"G"	25346	23	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	NA	0.02864	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02864	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Chroococcidiopsaceae"	"F"	25276	3	3	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001743	0.001743	NA	0.0007114	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Chroococcidiopsis PCC 7203"	"G"	25280	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007114	0.000581	NA	0.0007114	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Chroococcidiopsaceae"
"Crinalium SAG 22.89"	"G"	25282	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Chroococcidiopsaceae"
"uncultured"	"G"	25286	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005915	0.000581	NA	NA	NA	0.0005915	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Chroococcidiopsaceae"
"Cyanobacteriaceae"	"F"	25300	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001743	0.001743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Geminocystis PCC-6308"	"G"	25307	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001743	0.001743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Cyanobacteriaceae"
"Oscillatoriaceae"	"F"	25415	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001162	0.001162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Oscillatoria PCC-6304"	"G"	25417	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001162	0.001162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Oscillatoriaceae"
"Xenococcaceae"	"F"	25451	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001245	0.001162	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001245	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Pleurocapsa PCC-7319"	"G"	25456	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001245	0.001162	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001245	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Xenococcaceae"
"Gloeocapsaceae"	"F"	25315	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Gleocapsa"	"G"	25316	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Gloeocapsaceae"
"Synechococcales"	"O"	25510	4	3	NA	2	NA	1	NA	NA	NA	NA	NA	4	NA	0.004981	0.001743	NA	0.001423	NA	0.0005915	NA	NA	NA	NA	NA	0.004981	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Cyanobiaceae"	"F"	25511	4	3	NA	1	NA	1	NA	NA	NA	NA	NA	4	NA	0.004981	0.001743	NA	0.0007114	NA	0.0005915	NA	NA	NA	NA	NA	0.004981	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Synechococcales"
"Cyanobium PCC-6307"	"G"	25512	4	2	NA	NA	NA	1	NA	NA	NA	NA	NA	4	NA	0.004981	0.001162	NA	NA	NA	0.0005915	NA	NA	NA	NA	NA	0.004981	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Synechococcales>Cyanobiaceae"
"Leptolyngbyales"	"O"	25243	3	3	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	0.001743	0.001743	NA	NA	NA	0.001183	NA	NA	NA	NA	NA	0.001245	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Leptolyngbyaceae"	"F"	25244	3	3	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	0.001743	0.001743	NA	NA	NA	0.001183	NA	NA	NA	NA	NA	0.001245	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Leptolyngbyales"
"uncultured"	"G"	25266	3	3	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	0.001743	0.001743	NA	NA	NA	0.001183	NA	NA	NA	NA	NA	0.001245	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Leptolyngbyales>Leptolyngbyaceae"
"SepB-3"	"O"	25509	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	0.004981	0.001162	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004981	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Oxyphotobacteria Incertae Sedis"	"O"	25462	14	1	NA	1	NA	2	NA	NA	NA	NA	NA	14	NA	0.01743	0.000581	NA	0.0007114	NA	0.001183	NA	NA	NA	NA	NA	0.01743	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Unknown Family"	"F"	25463	14	1	NA	1	NA	2	NA	NA	NA	NA	NA	14	NA	0.01743	0.000581	NA	0.0007114	NA	0.001183	NA	NA	NA	NA	NA	0.01743	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Oxyphotobacteria&nbsp;Incertae&nbsp;Sedis"
"Calothrix KVSF5"	"G"	25467	12	1	NA	1	NA	2	NA	NA	NA	NA	NA	12	NA	0.01494	0.000581	NA	0.0007114	NA	0.001183	NA	NA	NA	NA	NA	0.01494	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Oxyphotobacteria&nbsp;Incertae&nbsp;Sedis>Unknown&nbsp;Family"
"Phormidesmiales"	"O"	25483	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Phormidesmiaceae"	"F"	25492	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Phormidesmiales"
"Phormidesmis ANT.LACV5.1"	"G"	25494	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581	0.000581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Phormidesmiales>Phormidesmiaceae"
