"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_loman_loman_bracken.kreport.cladeReads"	"Max.1"	"kraken2_16s_classification_loman_loman_bracken.kreport.cladeReads.."	"lineage"
"unclassified"	"U"	0	123540	123542	97.94	97.94	"unclassified"
"root"	"-"	1	3024	3024	2.397	2.397	"root"
"Bacteria"	"D"	3	2162	2162	1.714	1.714	"root"
"Firmicutes"	"P"	1672	1267	1267	1.004	1.004	"Bacteria"
"Bacilli"	"C"	1673	1124	1124	0.8911	0.8911	"Bacteria>Firmicutes"
"Lactobacillales"	"O"	1800	602	602	0.4772	0.4772	"Bacteria>Firmicutes>Bacilli"
"Streptococcaceae"	"F"	1850	347	347	0.2751	0.2751	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Streptococcus"	"G"	1853	344	344	0.2727	0.2727	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae"
"Lactococcus"	"G"	1851	2	2	0.001586	0.001586	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae"
"Anthococcus"	"G"	25629	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae"
"Lactobacillaceae"	"F"	1836	221	221	0.1752	0.1752	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Lactobacillus"	"G"	1837	218	218	0.1728	0.1728	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae"
"Pediococcus"	"G"	1838	2	2	0.001586	0.001586	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae"
"Enterococcaceae"	"F"	1828	25	25	0.01982	0.01982	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Enterococcus"	"G"	1831	25	25	0.01982	0.01982	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae"
"Carnobacteriaceae"	"F"	1811	3	3	0.002378	0.002378	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Granulicatella"	"G"	1821	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"Atopostipes"	"G"	1817	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"Jeotgalibaca"	"G"	11279	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"Bacillales"	"O"	1674	496	496	0.3932	0.3932	"Bacteria>Firmicutes>Bacilli"
"Bacillaceae"	"F"	1680	291	291	0.2307	0.2307	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Bacillus"	"G"	1688	274	274	0.2172	0.2172	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Oceanobacillus"	"G"	1707	7	7	0.005549	0.005549	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Halobacillus"	"G"	1700	5	5	0.003964	0.003964	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Anoxybacillus"	"G"	1686	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Geobacillus"	"G"	1696	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Virgibacillus"	"G"	1727	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Staphylococcaceae"	"F"	1775	138	138	0.1094	0.1094	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Staphylococcus"	"G"	1780	138	138	0.1094	0.1094	"Bacteria>Firmicutes>Bacilli>Bacillales>Staphylococcaceae"
"Listeriaceae"	"F"	1737	43	43	0.03409	0.03409	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Listeria"	"G"	1739	43	43	0.03409	0.03409	"Bacteria>Firmicutes>Bacilli>Bacillales>Listeriaceae"
"Paenibacillaceae"	"F"	1740	9	9	0.007135	0.007135	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Paenibacillus"	"G"	1747	7	7	0.005549	0.005549	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"uncultured"	"G"	1750	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Brevibacillus"	"G"	1743	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Planococcaceae"	"F"	1753	8	8	0.006342	0.006342	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Lysinibacillus"	"G"	1762	6	6	0.004757	0.004757	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Bhargavaea"	"G"	1754	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Sporosarcina"	"G"	1768	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Family XII"	"F"	1734	2	2	0.001586	0.001586	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Exiguobacterium"	"G"	1735	2	2	0.001586	0.001586	"Bacteria>Firmicutes>Bacilli>Bacillales>Family&nbsp;XII"
"Family XI"	"F"	1732	2	2	0.001586	0.001586	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Gemella"	"G"	1733	2	2	0.001586	0.001586	"Bacteria>Firmicutes>Bacilli>Bacillales>Family&nbsp;XI"
"Alicyclobacillaceae"	"F"	1675	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Alicyclobacillus"	"G"	1676	1	1	0.0007928	0.0007928	"Bacteria>Firmicutes>Bacilli>Bacillales>Alicyclobacillaceae"
