"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_loman_loman.kreport.cladeReads"	"Max.1"	"centrifuge_classification_loman_loman.kreport.cladeReads.."	"lineage"
"unclassified"	"U"	0	19059	19059	15.06	15.06	"unclassified"
"root"	"-"	1	107510	107507	84.94	84.94	"root"
"cellular organisms"	"-"	131567	107510	107507	84.94	84.94	"root"
"Bacteria"	"D"	2	107400	107400	84.86	84.86	"cellular&nbsp;organisms"
"Terrabacteria group"	"-"	1783272	92757	92757	73.29	73.29	"cellular&nbsp;organisms>Bacteria"
"Firmicutes"	"P"	1239	92080	92080	72.75	72.75	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Bacilli"	"C"	91061	91679	91679	72.44	72.44	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes"
"Bacillales"	"O"	1385	51399	51399	40.61	40.61	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli"
"Bacillaceae"	"F"	186817	21331	21331	16.85	16.85	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales"
"Bacillus"	"G"	1386	21276	21276	16.81	16.81	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Bacillus subtilis group"	"S"	653685	20777	20777	16.42	16.42	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus subtilis"	"S"	1423	20508	20508	16.2	16.2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"Bacillus subtilis subsp. spizizenii"	"-"	96241	19494	19494	15.4	15.4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;subtilis"
"Bacillus subtilis subsp. spizizenii str. W23"	"-"	655816	19423	19423	15.35	15.35	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;subtilis>Bacillus&nbsp;subtilis&nbsp;subsp.&nbsp;spizizenii"
"Bacillus subtilis subsp. spizizenii TU-B-10"	"-"	1052585	26	26	0.02054	0.02054	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;subtilis>Bacillus&nbsp;subtilis&nbsp;subsp.&nbsp;spizizenii"
"Bacillus subtilis subsp. inaquosorum"	"-"	483913	49	49	0.03871	0.03871	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;subtilis"
"Bacillus subtilis subsp. subtilis"	"-"	135461	27	27	0.02133	0.02133	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;subtilis"
"Bacillus subtilis subsp. subtilis str. BSP1"	"-"	1192196	7	7	0.005531	0.005531	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;subtilis>Bacillus&nbsp;subtilis&nbsp;subsp.&nbsp;subtilis"
"Bacillus subtilis subsp. subtilis str. RO-NN-1"	"-"	1052588	3	3	0.00237	0.00237	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;subtilis>Bacillus&nbsp;subtilis&nbsp;subsp.&nbsp;subtilis"
"Bacillus subtilis BEST7003"	"-"	1204342	4	4	0.00316	0.00316	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;subtilis"
"Bacillus subtilis subsp. globigii"	"-"	1496303	4	4	0.00316	0.00316	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;subtilis"
"Bacillus subtilis subsp. natto"	"-"	86029	2	2	0.00158	0.00158	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;subtilis"
"Bacillus subtilis BSn5"	"-"	936156	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;subtilis"
"Bacillus vallismortis"	"S"	72361	69	69	0.05452	0.05452	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"Bacillus amyloliquefaciens group"	"S"	1938374	61	61	0.0482	0.0482	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"Bacillus velezensis"	"S"	492670	49	49	0.03871	0.03871	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;amyloliquefaciens&nbsp;group"
"Bacillus velezensis NJN-6"	"-"	1458206	4	4	0.00316	0.00316	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;amyloliquefaciens&nbsp;group>Bacillus&nbsp;velezensis"
"Bacillus amyloliquefaciens"	"S"	1390	8	8	0.006321	0.006321	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;amyloliquefaciens&nbsp;group"
"Bacillus amyloliquefaciens XH7"	"-"	1034836	2	2	0.00158	0.00158	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;amyloliquefaciens&nbsp;group>Bacillus&nbsp;amyloliquefaciens"
"Bacillus amyloliquefaciens DSM 7"	"-"	692420	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;amyloliquefaciens&nbsp;group>Bacillus&nbsp;amyloliquefaciens"
"Bacillus amyloliquefaciens KHG19"	"-"	1292358	1	1	0.0007901	0.0007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;amyloliquefaciens&nbsp;group>Bacillus&nbsp;amyloliquefaciens"
"Bacillus mojavensis subgroup"	"S"	653388	21	21	0.01659	0.01659	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"Bacillus halotolerans"	"S"	260554	21	21	0.01659	0.01659	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;mojavensis&nbsp;subgroup"
"Bacillus atrophaeus"	"S"	1452	10	10	0.007901	0.007901	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
