"name"	"taxRank"	"taxID"	"Max"	"kraken_16S.cladeReads"	"Max.1"	"kraken_16S.cladeReads.."	"lineage"
"unclassified"	"U"	0	123540	123542	97.61	97.61	"unclassified"
"root"	"-"	1	3024	3024	2.389	2.389	"root"
"Bacteria"	"D"	3	2162	2162	1.708	1.708	"root"
"Firmicutes"	"P"	1672	1267	1267	1.001	1.001	"Bacteria"
"Bacilli"	"C"	1673	1124	1124	0.8881	0.8881	"Bacteria>Firmicutes"
"Lactobacillales"	"O"	1800	602	602	0.4756	0.4756	"Bacteria>Firmicutes>Bacilli"
"Streptococcaceae"	"F"	1850	347	347	0.2742	0.2742	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Streptococcus"	"G"	1853	344	344	0.2718	0.2718	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae"
"Lactococcus"	"G"	1851	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae"
"Anthococcus"	"G"	25629	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae"
"Lactobacillaceae"	"F"	1836	221	221	0.1746	0.1746	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Lactobacillus"	"G"	1837	218	218	0.1722	0.1722	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae"
"Pediococcus"	"G"	1838	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae"
"Enterococcaceae"	"F"	1828	25	25	0.01975	0.01975	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Enterococcus"	"G"	1831	25	25	0.01975	0.01975	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae"
"Carnobacteriaceae"	"F"	1811	3	3	0.00237	0.00237	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Jeotgalibaca"	"G"	11279	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"Atopostipes"	"G"	1817	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"Granulicatella"	"G"	1821	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"Bacillales"	"O"	1674	496	496	0.3919	0.3919	"Bacteria>Firmicutes>Bacilli"
"Bacillaceae"	"F"	1680	291	291	0.2299	0.2299	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Bacillus"	"G"	1688	274	274	0.2165	0.2165	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Oceanobacillus"	"G"	1707	7	7	0.005531	0.005531	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Halobacillus"	"G"	1700	5	5	0.003951	0.003951	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Virgibacillus"	"G"	1727	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Geobacillus"	"G"	1696	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Anoxybacillus"	"G"	1686	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Staphylococcaceae"	"F"	1775	138	138	0.109	0.109	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Staphylococcus"	"G"	1780	138	138	0.109	0.109	"Bacteria>Firmicutes>Bacilli>Bacillales>Staphylococcaceae"
"Listeriaceae"	"F"	1737	43	43	0.03397	0.03397	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Listeria"	"G"	1739	43	43	0.03397	0.03397	"Bacteria>Firmicutes>Bacilli>Bacillales>Listeriaceae"
"Paenibacillaceae"	"F"	1740	9	9	0.007111	0.007111	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Paenibacillus"	"G"	1747	7	7	0.005531	0.005531	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Brevibacillus"	"G"	1743	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"uncultured"	"G"	1750	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Planococcaceae"	"F"	1753	8	8	0.006321	0.006321	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Lysinibacillus"	"G"	1762	6	6	0.004741	0.004741	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Sporosarcina"	"G"	1768	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Bhargavaea"	"G"	1754	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Family XI"	"F"	1732	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Gemella"	"G"	1733	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Bacilli>Bacillales>Family&nbsp;XI"
"Family XII"	"F"	1734	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Exiguobacterium"	"G"	1735	2	2	0.00158	0.00158	"Bacteria>Firmicutes>Bacilli>Bacillales>Family&nbsp;XII"
"Alicyclobacillaceae"	"F"	1675	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Alicyclobacillus"	"G"	1676	1	1	0.0007901	0.0007901	"Bacteria>Firmicutes>Bacilli>Bacillales>Alicyclobacillaceae"
"Clostridia"	"C"	1859	107	107	0.08454	0.08454	"Bacteria>Firmicutes"
"Clostridiales"	"O"	1863	104	104	0.08217	0.08217	"Bacteria>Firmicutes>Clostridia"
"Lachnospiraceae"	"F"	1987	41	41	0.03239	0.03239	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Blautia"	"G"	1992	9	9	0.007111	0.007111	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"uncultured"	"G"	2021	8	8	0.006321	0.006321	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Roseburia"	"G"	2012	4	4	0.00316	0.00316	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
"Tyzzerella 3"	"G"	11335	4	4	0.00316	0.00316	"Bacteria>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae"
