"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_june_BC01.cladeReads"	"centrifuge_16s_classification_june_BC02.cladeReads"	"centrifuge_16s_classification_june_BC03.cladeReads"	"centrifuge_16s_classification_june_BC05.cladeReads"	"centrifuge_16s_classification_june_BC06.cladeReads"	"centrifuge_16s_classification_june_BC08.cladeReads"	"centrifuge_16s_classification_june_BC09.cladeReads"	"centrifuge_16s_classification_june_BC10.cladeReads"	"centrifuge_16s_classification_june_BC11.cladeReads"	"centrifuge_16s_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_june_BC01.cladeReads.."	"centrifuge_16s_classification_june_BC02.cladeReads.."	"centrifuge_16s_classification_june_BC03.cladeReads.."	"centrifuge_16s_classification_june_BC05.cladeReads.."	"centrifuge_16s_classification_june_BC06.cladeReads.."	"centrifuge_16s_classification_june_BC08.cladeReads.."	"centrifuge_16s_classification_june_BC09.cladeReads.."	"centrifuge_16s_classification_june_BC10.cladeReads.."	"centrifuge_16s_classification_june_BC11.cladeReads.."	"centrifuge_16s_classification_june_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	192670	192672	7159	156928	184175	144	164772	104	55	83747	176	98.72	98.21	97.49	98.72	97.41	98.63	92.57	96.3	98.21	94.44	96.7	"unclassified"
"root"	"-"	1	13230	3508	184	2028	4904	2	13230	4	1	4926	6	7.433	1.788	2.506	1.276	2.594	1.37	7.433	3.704	1.786	5.555	3.297	"root"
"Bacteria"	"D"	3	13171	3418	174	1976	4836	1	13171	4	NA	4888	1	7.399	1.742	2.37	1.243	2.558	0.6849	7.399	3.704	NA	5.512	0.5495	"root"
"Proteobacteria"	"P"	2375	4057	712	57	393	1503	NA	4057	2	NA	1174	NA	2.279	0.3629	0.7762	0.2472	0.7949	NA	2.279	1.852	NA	1.324	NA	"Bacteria"
"Gammaproteobacteria"	"C"	3303	3725	324	26	206	882	NA	3725	1	NA	757	NA	2.093	0.1652	0.3541	0.1296	0.4665	NA	2.093	0.9259	NA	0.8537	NA	"Bacteria>Proteobacteria"
"Betaproteobacteriales"	"O"	26341	507	100	15	53	507	NA	65	NA	NA	440	NA	0.4962	0.05097	0.2043	0.03334	0.2681	NA	0.03652	NA	NA	0.4962	NA	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Burkholderiaceae"	"F"	26352	301	70	12	32	301	NA	41	NA	NA	283	NA	0.3192	0.03568	0.1634	0.02013	0.1592	NA	0.02303	NA	NA	0.3192	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Massilia"	"G"	26414	42	10	NA	6	42	NA	NA	NA	NA	37	NA	0.04173	0.005097	NA	0.003775	0.02221	NA	NA	NA	NA	0.04173	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herbaspirillum"	"G"	26397	19	7	NA	NA	19	NA	NA	NA	NA	17	NA	0.01917	0.003568	NA	NA	0.01005	NA	NA	NA	NA	0.01917	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Alcaligenes"	"G"	26358	12	5	1	2	12	NA	5	NA	NA	10	NA	0.01362	0.002549	0.01362	0.001258	0.006347	NA	0.002809	NA	NA	0.01128	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
