"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_june_BC01.cladeReads"	"kraken2_classification_june_BC02.cladeReads"	"kraken2_classification_june_BC03.cladeReads"	"kraken2_classification_june_BC04.cladeReads"	"kraken2_classification_june_BC05.cladeReads"	"kraken2_classification_june_BC06.cladeReads"	"kraken2_classification_june_BC07.cladeReads"	"kraken2_classification_june_BC08.cladeReads"	"kraken2_classification_june_BC09.cladeReads"	"kraken2_classification_june_BC10.cladeReads"	"kraken2_classification_june_BC11.cladeReads"	"kraken2_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_classification_june_BC01.cladeReads.."	"kraken2_classification_june_BC02.cladeReads.."	"kraken2_classification_june_BC03.cladeReads.."	"kraken2_classification_june_BC04.cladeReads.."	"kraken2_classification_june_BC05.cladeReads.."	"kraken2_classification_june_BC06.cladeReads.."	"kraken2_classification_june_BC07.cladeReads.."	"kraken2_classification_june_BC08.cladeReads.."	"kraken2_classification_june_BC09.cladeReads.."	"kraken2_classification_june_BC10.cladeReads.."	"kraken2_classification_june_BC11.cladeReads.."	"kraken2_classification_june_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	796	796	239	582	79	459	63	40	54	35	26	140	91	55.49	0.4157	3.412	0.374	52.32	0.2475	47.01	49.38	0.03037	34.65	47.27	0.1673	55.49	"unclassified"
"root"	"-"	1	195380	195384	7104	158374	80	188619	83	52	177947	73	30	88532	91	105.8	102	101.4	101.8	52.98	101.7	61.94	64.2	100.1	72.28	54.55	105.8	55.49	"root"
"cellular organisms"	"-"	131567	195380	195384	7104	158374	80	188619	83	52	177947	73	30	88532	91	105.8	102	101.4	101.8	52.98	101.7	61.94	64.2	100.1	72.28	54.55	105.8	55.49	"root"
"Bacteria"	"D"	2	195370	195373	7101	158367	80	188613	83	51	177947	72	30	88532	90	105.8	102	101.4	101.8	52.98	101.7	61.94	62.96	100.1	71.29	54.55	105.8	54.88	"cellular&nbsp;organisms"
"Terrabacteria group"	"-"	1783272	151060	151055	4103	131248	19	99296	22	19	72023	16	10	11519	36	84.35	78.89	58.58	84.35	12.58	53.54	16.42	23.46	40.5	15.84	18.18	13.77	21.95	"cellular&nbsp;organisms>Bacteria"
"Cyanobacteria/Melainabacteria group"	"-"	1798711	109200	109199	2905	95912	4	70005	3	8	31	3	4	4626	8	61.64	57.03	41.48	61.64	2.649	37.74	2.239	9.877	0.01743	2.97	7.273	5.528	4.878	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Cyanobacteria"	"P"	1117	109200	109199	2905	95912	4	70005	3	8	31	3	4	4626	8	61.64	57.03	41.48	61.64	2.649	37.74	2.239	9.877	0.01743	2.97	7.273	5.528	4.878	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group"
"Synechococcales"	"O"	1890424	35230	35230	930	31277	1	23065	NA	1	11	NA	1	1566	NA	20.1	18.4	13.28	20.1	0.6623	12.44	NA	1.235	0.006186	NA	1.818	1.871	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Synechococcaceae"	"F"	1890426	20474	20474	542	18086	NA	13233	NA	NA	6	NA	NA	882	NA	11.62	10.69	7.738	11.62	NA	7.135	NA	NA	0.003374	NA	NA	1.054	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Synechococcus"	"G"	1129	20447	20447	540	18051	NA	13192	NA	NA	6	NA	NA	874	NA	11.6	10.68	7.71	11.6	NA	7.113	NA	NA	0.003374	NA	NA	1.044	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae"
