"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_june_BC01.cladeReads"	"kraken2_16s_classification_june_BC02.cladeReads"	"kraken2_16s_classification_june_BC03.cladeReads"	"kraken2_16s_classification_june_BC04.cladeReads"	"kraken2_16s_classification_june_BC05.cladeReads"	"kraken2_16s_classification_june_BC06.cladeReads"	"kraken2_16s_classification_june_BC07.cladeReads"	"kraken2_16s_classification_june_BC08.cladeReads"	"kraken2_16s_classification_june_BC09.cladeReads"	"kraken2_16s_classification_june_BC10.cladeReads"	"kraken2_16s_classification_june_BC11.cladeReads"	"kraken2_16s_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_june_BC01.cladeReads.."	"kraken2_16s_classification_june_BC02.cladeReads.."	"kraken2_16s_classification_june_BC03.cladeReads.."	"kraken2_16s_classification_june_BC04.cladeReads.."	"kraken2_16s_classification_june_BC05.cladeReads.."	"kraken2_16s_classification_june_BC06.cladeReads.."	"kraken2_16s_classification_june_BC07.cladeReads.."	"kraken2_16s_classification_june_BC08.cladeReads.."	"kraken2_16s_classification_june_BC09.cladeReads.."	"kraken2_16s_classification_june_BC10.cladeReads.."	"kraken2_16s_classification_june_BC11.cladeReads.."	"kraken2_16s_classification_june_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	302	98	302	61	118	43	96	55	30	66	40	58	148	82.68	0.05056	4.292	0.03862	74.68	0.02379	67.13	61.11	0.01705	61.68	71.43	0.07077	82.68	"unclassified"
"root"	"-"	1	196080	196082	7041	158895	41	189036	50	37	177972	42	16	88615	34	108.1	101.2	100.1	100.6	25.95	104.6	34.97	41.11	101.1	39.25	28.57	108.1	18.99	"root"
"Bacteria"	"D"	3	196080	196080	7036	158892	38	189030	49	37	177970	42	15	88613	29	108.1	101.2	99.99	100.6	24.05	104.6	34.27	41.11	101.1	39.25	26.79	108.1	16.2	"root"
"Cyanobacteria"	"P"	1500	169750	169746	4615	147734	12	112211	17	18	312	6	7	7334	11	93.53	87.58	65.58	93.53	7.595	62.08	11.89	20	0.1773	5.607	12.5	8.949	6.145	"Bacteria"
"Oxyphotobacteria"	"C"	25227	169730	169733	4615	147724	12	112201	17	18	312	6	7	7321	11	93.53	87.57	65.58	93.53	7.595	62.08	11.89	20	0.1773	5.607	12.5	8.933	6.145	"Bacteria>Cyanobacteria"
"Chloroplast"	"O"	25228	169660	169663	4611	147673	12	112163	17	18	312	6	7	7200	11	93.49	87.54	65.53	93.49	7.595	62.05	11.89	20	0.1773	5.607	12.5	8.786	6.145	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Nostocales"	"O"	25273	69	40	1	33	NA	19	NA	NA	NA	NA	NA	69	NA	0.08419	0.02064	0.01421	0.02089	NA	0.01051	NA	NA	NA	NA	NA	0.08419	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Phormidiaceae"	"F"	25433	11	11	NA	6	NA	6	NA	NA	NA	NA	NA	7	NA	0.008541	0.005675	NA	0.003799	NA	0.00332	NA	NA	NA	NA	NA	0.008541	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Tychonema CCAP 1459-11B"	"G"	25443	6	6	NA	4	NA	3	NA	NA	NA	NA	NA	2	NA	0.003096	0.003096	NA	0.002532	NA	0.00166	NA	NA	NA	NA	NA	0.00244	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Lyngbya PCC-7419"	"G"	25438	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001032	0.001032	NA	NA	NA	0.0005533	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
