"name"	"taxRank"	"taxID"	"Max"	"BC01.txt.cladeReads"	"BC02.txt.cladeReads"	"BC03.txt.cladeReads"	"BC04.txt.cladeReads"	"BC05.txt.cladeReads"	"BC06.txt.cladeReads"	"BC07.txt.cladeReads"	"BC08.txt.cladeReads"	"BC09.txt.cladeReads"	"BC10.txt.cladeReads"	"BC11.txt.cladeReads"	"BC12.txt.cladeReads"	"Max.1"	"BC01.txt.cladeReads.."	"BC02.txt.cladeReads.."	"BC03.txt.cladeReads.."	"BC04.txt.cladeReads.."	"BC05.txt.cladeReads.."	"BC06.txt.cladeReads.."	"BC07.txt.cladeReads.."	"BC08.txt.cladeReads.."	"BC09.txt.cladeReads.."	"BC10.txt.cladeReads.."	"BC11.txt.cladeReads.."	"BC12.txt.cladeReads.."	"lineage"
"unclassified"	"U"	0	2621	2621	263	2058	70	1679	57	39	359	27	25	519	75	44.64	1.336	3.582	1.295	44.03	0.888	39.04	42.39	0.2017	25	44.64	0.5853	41.21	"unclassified"
"root"	"-"	1	193560	193559	7080	156898	89	187400	89	53	177643	81	31	88154	107	99.8	98.66	96.42	98.71	55.97	99.11	60.96	57.61	99.8	75	55.36	99.41	58.79	"root"
"cellular organisms"	"-"	131567	193560	193559	7080	156898	89	187400	89	53	177643	81	31	88154	107	99.8	98.66	96.42	98.71	55.97	99.11	60.96	57.61	99.8	75	55.36	99.41	58.79	"root"
"Bacteria"	"D"	2	193340	193336	7068	156746	89	187255	89	53	177640	80	31	88148	107	99.8	98.55	96.25	98.61	55.97	99.04	60.96	57.61	99.8	74.07	55.36	99.41	58.79	"cellular&nbsp;organisms"
"Terrabacteria group"	"-"	1783272	108860	108858	3022	94334	16	73106	23	13	69582	20	8	11473	31	59.35	55.49	41.15	59.35	10.06	38.66	15.75	14.13	39.09	18.52	14.29	12.94	17.03	"cellular&nbsp;organisms>Bacteria"
"Cyanobacteria/Melainabacteria group"	"-"	1798711	43841	43841	1136	38471	1	28588	4	3	119	2	2	2262	3	24.2	22.35	15.47	24.2	0.6289	15.12	2.74	3.261	0.06685	1.852	3.571	2.551	1.648	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Cyanobacteria"	"P"	1117	43841	43841	1136	38471	1	28588	4	3	119	2	2	2262	3	24.2	22.35	15.47	24.2	0.6289	15.12	2.74	3.261	0.06685	1.852	3.571	2.551	1.648	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group"
"Synechococcales"	"O"	1890424	23748	23748	628	20762	1	15653	NA	NA	58	1	1	1090	2	13.06	12.11	8.552	13.06	0.6289	8.279	NA	NA	0.03258	0.9259	1.786	1.229	1.099	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Synechococcaceae"	"F"	1890426	23158	23158	610	20210	1	15242	NA	NA	45	1	1	1044	1	12.71	11.8	8.307	12.71	0.6289	8.061	NA	NA	0.02528	0.9259	1.786	1.177	0.5495	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Synechococcus"	"G"	1129	22961	22961	607	20063	1	15110	NA	NA	45	NA	1	1026	1	12.62	11.7	8.266	12.62	0.6289	7.991	NA	NA	0.02528	NA	1.786	1.157	0.5495	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae"
