"name"	"taxRank"	"taxID"	"Max"	"BC01.txt.cladeReads"	"BC02.txt.cladeReads"	"BC03.txt.cladeReads"	"BC04.txt.cladeReads"	"BC05.txt.cladeReads"	"BC06.txt.cladeReads"	"BC07.txt.cladeReads"	"BC08.txt.cladeReads"	"BC09.txt.cladeReads"	"BC10.txt.cladeReads"	"BC11.txt.cladeReads"	"BC12.txt.cladeReads"	"Max.1"	"BC01.txt.cladeReads.."	"BC02.txt.cladeReads.."	"BC03.txt.cladeReads.."	"BC04.txt.cladeReads.."	"BC05.txt.cladeReads.."	"BC06.txt.cladeReads.."	"BC07.txt.cladeReads.."	"BC08.txt.cladeReads.."	"BC09.txt.cladeReads.."	"BC10.txt.cladeReads.."	"BC11.txt.cladeReads.."	"BC12.txt.cladeReads.."	"lineage"
"Synechococcus sp. PCC 7502"	"S"	1173263	19179	19179	508	16778	1	12563	NA	NA	29	NA	NA	850	1	16.9	15.38	10.29	16.9	1.389	9.44	NA	NA	0.01658	NA	NA	1.2	1.176	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. PCC 6312"	"S"	195253	2850	2850	61	2469	NA	1917	NA	NA	3	NA	NA	110	NA	2.487	2.286	1.235	2.487	NA	1.44	NA	NA	0.001715	NA	NA	0.1553	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. JA-2-3B'a(2-13)"	"S"	321332	732	732	24	614	NA	511	NA	NA	2	NA	NA	40	NA	0.6185	0.5871	0.486	0.6185	NA	0.384	NA	NA	0.001144	NA	NA	0.05647	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. JA-3-3Ab"	"S"	321327	117	93	8	117	NA	45	NA	NA	5	NA	NA	10	NA	0.162	0.07459	0.162	0.1179	NA	0.03381	NA	NA	0.002859	NA	NA	0.01412	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. WH 8102"	"S"	84588	71	71	1	51	NA	40	NA	NA	5	NA	NA	4	NA	0.05694	0.05694	0.02025	0.05137	NA	0.03006	NA	NA	0.002859	NA	NA	0.005647	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. NIES-970"	"S"	1827144	4	4	NA	3	NA	NA	NA	NA	NA	NA	NA	1	NA	0.003208	0.003208	NA	0.003022	NA	NA	NA	NA	NA	NA	NA	0.001412	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. KORDI-100"	"S"	1280380	3	3	NA	3	NA	2	NA	NA	NA	NA	NA	1	NA	0.003022	0.002406	NA	0.003022	NA	0.001503	NA	NA	NA	NA	NA	0.001412	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus lividus"	"S"	33070	4	2	NA	4	NA	4	NA	NA	NA	NA	NA	NA	NA	0.004029	0.001604	NA	0.004029	NA	0.003006	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. CC9902"	"S"	316279	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000802	0.000802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Dactylococcopsis salina"	"S"	292566	11	5	1	11	NA	3	NA	NA	NA	NA	NA	2	NA	0.02025	0.00401	0.02025	0.01108	NA	0.002254	NA	NA	NA	NA	NA	0.002823	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Dactylococcopsis"
"Cyanobium gracile"	"S"	59930	3	1	NA	NA	NA	NA	NA	NA	NA	1	NA	3	NA	1.515	0.000802	NA	NA	NA	NA	NA	NA	NA	1.515	NA	0.004235	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Cyanobium"
"Cyanobium sp. NIES-981"	"S"	1851505	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000802	0.000802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Cyanobium"
"Pseudanabaena sp. PCC 7367"	"S"	82654	208	208	8	208	NA	159	NA	NA	NA	NA	NA	10	NA	0.2095	0.1668	0.162	0.2095	NA	0.1195	NA	NA	NA	NA	NA	0.01412	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Pseudanabaenaceae>Pseudanabaena"
"Prochlorococcus marinus"	"S"	1219	131	131	3	111	NA	80	NA	NA	NA	NA	NA	9	1	1.176	0.1051	0.06075	0.1118	NA	0.06011	NA	NA	NA	NA	NA	0.01271	1.176	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus"
"Leptolyngbya sp. NIES-3755"	"S"	1752064	50	50	3	45	NA	28	NA	NA	NA	NA	NA	NA	NA	0.06075	0.0401	0.06075	0.04533	NA	0.02104	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. O-77"	"S"	1080068	16	16	NA	14	NA	12	NA	NA	1	NA	NA	3	NA	0.0141	0.01283	NA	0.0141	NA	0.009017	NA	NA	0.0005718	NA	NA	0.004235	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya boryana"	"S"	1184	14	13	NA	10	NA	14	NA	NA	NA	NA	NA	NA	NA	0.01052	0.01043	NA	0.01007	NA	0.01052	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. PCC 7376"	"S"	111781	4	1	NA	NA	NA	2	NA	NA	NA	NA	NA	4	NA	0.005647	0.000802	NA	NA	NA	0.001503	NA	NA	NA	NA	NA	0.005647	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Halomicronema hongdechloris"	"S"	1209493	5	5	NA	1	NA	1	NA	NA	NA	NA	NA	1	NA	0.00401	0.00401	NA	0.001007	NA	0.0007514	NA	NA	NA	NA	NA	0.001412	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Halomicronema"
"Calothrix sp. NIES-3974"	"S"	2005462	3641	3641	73	3214	NA	2038	1	NA	2	NA	NA	98	NA	3.237	2.92	1.478	3.237	NA	1.531	1.333	NA	0.001144	NA	NA	0.1383	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix parietina"	"S"	32054	242	242	10	202	NA	157	NA	NA	NA	NA	NA	11	NA	0.2035	0.1941	0.2025	0.2035	NA	0.118	NA	NA	NA	NA	NA	0.01553	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix sp. NIES-4071"	"S"	2005469	30	30	2	27	NA	19	NA	NA	NA	NA	NA	3	NA	0.0405	0.02406	0.0405	0.0272	NA	0.01428	NA	NA	NA	NA	NA	0.004235	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix sp. PCC 7507"	"S"	99598	15	15	NA	9	NA	8	NA	NA	NA	NA	NA	2	NA	0.01203	0.01203	NA	0.009066	NA	0.006011	NA	NA	NA	NA	NA	0.002823	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix sp. NIES-2098"	"S"	1954171	3	3	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	0.002406	0.002406	NA	NA	NA	0.001503	NA	NA	NA	NA	NA	0.001412	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
