"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_june_BC01.kreport.cladeReads"	"kraken2_classification_june_BC02.kreport.cladeReads"	"kraken2_classification_june_BC03.kreport.cladeReads"	"kraken2_classification_june_BC04.kreport.cladeReads"	"kraken2_classification_june_BC05.kreport.cladeReads"	"kraken2_classification_june_BC06.kreport.cladeReads"	"kraken2_classification_june_BC07.kreport.cladeReads"	"kraken2_classification_june_BC08.kreport.cladeReads"	"kraken2_classification_june_BC09.kreport.cladeReads"	"kraken2_classification_june_BC10.kreport.cladeReads"	"kraken2_classification_june_BC11.kreport.cladeReads"	"kraken2_classification_june_BC12.kreport.cladeReads"	"Max.1"	"kraken2_classification_june_BC01.kreport.cladeReads.."	"kraken2_classification_june_BC02.kreport.cladeReads.."	"kraken2_classification_june_BC03.kreport.cladeReads.."	"kraken2_classification_june_BC04.kreport.cladeReads.."	"kraken2_classification_june_BC05.kreport.cladeReads.."	"kraken2_classification_june_BC06.kreport.cladeReads.."	"kraken2_classification_june_BC07.kreport.cladeReads.."	"kraken2_classification_june_BC08.kreport.cladeReads.."	"kraken2_classification_june_BC09.kreport.cladeReads.."	"kraken2_classification_june_BC10.kreport.cladeReads.."	"kraken2_classification_june_BC11.kreport.cladeReads.."	"kraken2_classification_june_BC12.kreport.cladeReads.."	"lineage"
"unclassified"	"U"	0	796	796	239	582	79	459	63	40	54	35	26	140	91	50	0.4057	3.255	0.3661	49.69	0.2428	43.15	43.48	0.03034	32.41	46.43	0.1579	50	"unclassified"
"root"	"-"	1	195380	195384	7104	158374	80	188620	83	52	177948	73	30	88533	91	99.97	99.59	96.75	99.63	50.31	99.76	56.85	56.52	99.97	67.59	53.57	99.84	50	"root"
"cellular organisms"	"-"	131567	195380	195384	7104	158374	80	188620	83	52	177948	73	30	88533	91	99.97	99.59	96.75	99.63	50.31	99.76	56.85	56.52	99.97	67.59	53.57	99.84	50	"root"
"Bacteria"	"D"	2	195370	195373	7101	158367	80	188614	83	51	177948	72	30	88533	90	99.97	99.59	96.7	99.63	50.31	99.75	56.85	55.43	99.97	66.67	53.57	99.84	49.45	"cellular&nbsp;organisms"
"Terrabacteria group"	"-"	1783272	149440	149443	4081	129870	18	98433	22	19	72014	16	10	11482	36	81.7	76.18	55.58	81.7	11.32	52.06	15.07	20.65	40.46	14.81	17.86	12.95	19.78	"cellular&nbsp;organisms>Bacteria"
"Cyanobacteria/Melainabacteria group"	"-"	1798711	109200	109199	2905	95912	4	70005	3	8	31	3	4	4626	8	60.34	55.66	39.56	60.34	2.516	37.02	2.055	8.696	0.01742	2.778	7.143	5.217	4.396	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Cyanobacteria"	"P"	1117	109200	109199	2905	95912	4	70005	3	8	31	3	4	4626	8	60.34	55.66	39.56	60.34	2.516	37.02	2.055	8.696	0.01742	2.778	7.143	5.217	4.396	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group"
"Synechococcales"	"O"	1890424	35230	35230	930	31277	1	23065	NA	1	11	NA	1	1566	NA	19.68	17.96	12.67	19.68	0.6289	12.2	NA	1.087	0.00618	NA	1.786	1.766	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Synechococcaceae"	"F"	1890426	20475	20475	542	18086	NA	13233	NA	NA	6	NA	NA	882	NA	11.38	10.44	7.381	11.38	NA	6.999	NA	NA	0.003371	NA	NA	0.9947	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Synechococcus"	"G"	1129	20448	20448	540	18051	NA	13192	NA	NA	6	NA	NA	874	NA	11.36	10.42	7.354	11.36	NA	6.977	NA	NA	0.003371	NA	NA	0.9856	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae"
"Synechococcus sp. PCC 7502"	"S"	1173263	19415	19415	510	17030	NA	12419	NA	NA	5	NA	NA	794	NA	10.71	9.897	6.945	10.71	NA	6.568	NA	NA	0.002809	NA	NA	0.8954	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. PCC 6312"	"S"	195253	421	396	14	421	NA	279	NA	NA	NA	NA	NA	21	NA	0.2649	0.2019	0.1907	0.2649	NA	0.1476	NA	NA	NA	NA	NA	0.02368	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. WH 8102"	"S"	84588	381	381	6	316	NA	255	NA	NA	NA	NA	NA	19	NA	0.1988	0.1942	0.08171	0.1988	NA	0.1349	NA	NA	NA	NA	NA	0.02143	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. JA-3-3Ab"	"S"	321327	100	90	5	100	NA	94	NA	NA	1	NA	NA	11	NA	0.06809	0.04588	0.06809	0.06291	NA	0.04971	NA	NA	0.0005618	NA	NA	0.01241	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. PCC 7336"	"S"	195250	41	39	1	41	NA	29	NA	NA	NA	NA	NA	6	NA	0.02579	0.01988	0.01362	0.02579	NA	0.01534	NA	NA	NA	NA	NA	0.006766	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. JA-2-3B'a(2-13)"	"S"	321332	36	36	1	31	NA	23	NA	NA	NA	NA	NA	3	NA	0.0195	0.01835	0.01362	0.0195	NA	0.01216	NA	NA	NA	NA	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. SynAce01"	"S"	1916956	19	17	NA	19	NA	16	NA	NA	NA	NA	NA	2	NA	0.01195	0.008666	NA	0.01195	NA	0.008462	NA	NA	NA	NA	NA	0.002255	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus lividus"	"S"	33070	10	5	NA	10	NA	6	NA	NA	NA	NA	NA	2	NA	0.006291	0.002549	NA	0.006291	NA	0.003173	NA	NA	NA	NA	NA	0.002255	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus lividus PCC 6715"	"-"	1917166	10	5	NA	10	NA	6	NA	NA	NA	NA	NA	2	NA	0.006291	0.002549	NA	0.006291	NA	0.003173	NA	NA	NA	NA	NA	0.002255	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus>Synechococcus&nbsp;lividus"
"Synechococcus sp. KORDI-52"	"S"	585425	5	3	NA	3	NA	5	NA	NA	NA	NA	NA	NA	NA	0.002644	0.001529	NA	0.001887	NA	0.002644	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. CC9311"	"S"	64471	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005289	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. KORDI-49"	"S"	585423	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Cyanobium"	"G"	167375	5	2	1	5	NA	4	NA	NA	NA	NA	NA	4	NA	0.01362	0.001019	0.01362	0.003146	NA	0.002116	NA	NA	NA	NA	NA	0.004511	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae"
"Cyanobium gracile"	"S"	59930	4	2	1	4	NA	3	NA	NA	NA	NA	NA	4	NA	0.01362	0.001019	0.01362	0.002516	NA	0.001587	NA	NA	NA	NA	NA	0.004511	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Cyanobium"
"Cyanobium gracile PCC 6307"	"-"	292564	4	2	1	4	NA	3	NA	NA	NA	NA	NA	4	NA	0.01362	0.001019	0.01362	0.002516	NA	0.001587	NA	NA	NA	NA	NA	0.004511	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Cyanobium>Cyanobium&nbsp;gracile"
