"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_june_BC01.cladeReads"	"kraken2_16s_k21_classification_june_BC02.cladeReads"	"kraken2_16s_k21_classification_june_BC03.cladeReads"	"kraken2_16s_k21_classification_june_BC04.cladeReads"	"kraken2_16s_k21_classification_june_BC05.cladeReads"	"kraken2_16s_k21_classification_june_BC06.cladeReads"	"kraken2_16s_k21_classification_june_BC07.cladeReads"	"kraken2_16s_k21_classification_june_BC08.cladeReads"	"kraken2_16s_k21_classification_june_BC09.cladeReads"	"kraken2_16s_k21_classification_june_BC10.cladeReads"	"kraken2_16s_k21_classification_june_BC11.cladeReads"	"kraken2_16s_k21_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_june_BC01.cladeReads.."	"kraken2_16s_k21_classification_june_BC02.cladeReads.."	"kraken2_16s_k21_classification_june_BC03.cladeReads.."	"kraken2_16s_k21_classification_june_BC04.cladeReads.."	"kraken2_16s_k21_classification_june_BC05.cladeReads.."	"kraken2_16s_k21_classification_june_BC06.cladeReads.."	"kraken2_16s_k21_classification_june_BC07.cladeReads.."	"kraken2_16s_k21_classification_june_BC08.cladeReads.."	"kraken2_16s_k21_classification_june_BC09.cladeReads.."	"kraken2_16s_k21_classification_june_BC10.cladeReads.."	"kraken2_16s_k21_classification_june_BC11.cladeReads.."	"kraken2_16s_k21_classification_june_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	302	99	302	61	118	43	96	55	30	66	40	58	148	81.32	0.05046	4.113	0.03838	74.21	0.02274	65.75	59.78	0.01685	61.11	71.43	0.06541	81.32	"unclassified"
"root"	"-"	1	196080	196081	7041	158895	41	189036	50	37	177972	42	16	88615	34	99.98	99.95	95.89	99.96	25.79	99.98	34.25	40.22	99.98	38.89	28.57	99.93	18.68	"root"
"Bacteria"	"D"	3	196080	196079	7036	158892	38	189030	49	37	177970	42	15	88613	29	99.98	99.95	95.82	99.96	23.9	99.97	33.56	40.22	99.98	38.89	26.79	99.93	15.93	"root"
"Cyanobacteria"	"P"	1500	169750	169746	4615	147734	12	112211	17	18	312	6	7	7334	11	92.94	86.53	62.85	92.94	7.547	59.35	11.64	19.57	0.1753	5.556	12.5	8.271	6.044	"Bacteria"
"Oxyphotobacteria"	"C"	25227	169730	169733	4615	147724	12	112201	17	18	312	6	7	7321	11	92.93	86.52	62.85	92.93	7.547	59.34	11.64	19.57	0.1753	5.556	12.5	8.256	6.044	"Bacteria>Cyanobacteria"
"Chloroplast"	"O"	25228	169660	169663	4611	147673	12	112163	17	18	312	6	7	7200	11	92.9	86.48	62.79	92.9	7.547	59.32	11.64	19.57	0.1753	5.556	12.5	8.12	6.044	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Nostocales"	"O"	25273	69	40	1	33	NA	19	NA	NA	NA	NA	NA	69	NA	0.07781	0.02039	0.01362	0.02076	NA	0.01005	NA	NA	NA	NA	NA	0.07781	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Phormidiaceae"	"F"	25433	11	11	NA	6	NA	6	NA	NA	NA	NA	NA	7	NA	0.007894	0.005607	NA	0.003775	NA	0.003173	NA	NA	NA	NA	NA	0.007894	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Tychonema CCAP 1459-11B"	"G"	25443	6	6	NA	4	NA	3	NA	NA	NA	NA	NA	2	NA	0.003058	0.003058	NA	0.002516	NA	0.001587	NA	NA	NA	NA	NA	0.002255	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Lyngbya PCC-7419"	"G"	25438	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001019	0.001019	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Phormidium IAM M-71"	"G"	25439	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005289	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"uncultured"	"G"	25444	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Coleofasciculaceae"	"F"	25287	7	7	NA	5	NA	4	NA	NA	NA	NA	NA	NA	NA	0.003568	0.003568	NA	0.003146	NA	0.002116	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Coleofasciculus PCC-7420"	"G"	25289	5	5	NA	5	NA	4	NA	NA	NA	NA	NA	NA	NA	0.003146	0.002549	NA	0.003146	NA	0.002116	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Coleofasciculaceae"
"Symploca PCC-8002"	"G"	25296	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Coleofasciculaceae"
"Wilmottia Ant-Ph58"	"G"	25298	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Coleofasciculaceae"
"Nostocaceae"	"F"	25335	56	7	NA	6	NA	3	NA	NA	NA	NA	NA	56	NA	0.06315	0.003568	NA	0.003775	NA	0.001587	NA	NA	NA	NA	NA	0.06315	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Fischerella PCC-9339"	"G"	25369	3	1	NA	1	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003383	0.0005097	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	0.003383	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Nostoc PCC-8976"	"G"	25386	2	1	NA	1	NA	NA	NA	NA	NA	NA	NA	2	NA	0.002255	0.0005097	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	0.002255	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Nostoc PCC-7524"	"G"	25385	4	1	NA	3	NA	2	NA	NA	NA	NA	NA	4	NA	0.004511	0.0005097	NA	0.001887	NA	0.001058	NA	NA	NA	NA	NA	0.004511	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Nostoc PCC-73102"	"G"	25384	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006291	0.0005097	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Nodularia PCC-9350"	"G"	25380	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	0.005639	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005639	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Cyanobacteriaceae"	"F"	25300	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002039	0.002039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Geminocystis PCC-6308"	"G"	25307	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001529	0.001529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Cyanobacteriaceae"
"Cyanobacterium CLg1"	"G"	25303	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Cyanobacteriaceae"
"Gloeocapsaceae"	"F"	25315	3	2	1	3	NA	2	NA	NA	NA	NA	NA	NA	NA	0.01362	0.001019	0.01362	0.001887	NA	0.001058	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Gleocapsa"	"G"	25316	3	2	1	3	NA	2	NA	NA	NA	NA	NA	NA	NA	0.01362	0.001019	0.01362	0.001887	NA	0.001058	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Gloeocapsaceae"
"Chroococcidiopsaceae"	"F"	25276	2	1	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001258	0.0005097	NA	0.001258	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"uncultured"	"G"	25286	1	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	0.0005097	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Chroococcidiopsaceae"
"Nostocales Incertae Sedis"	"F"	25405	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005289	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Roseofilum AO1-A"	"G"	25413	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocales&nbsp;Incertae&nbsp;Sedis"
"Oscillatoriaceae"	"F"	25415	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001128	0.0005097	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Oscillatoria PCC-6304"	"G"	25417	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001128	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Oscillatoriaceae"
"Rubidibacteraceae"	"F"	25447	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005289	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Dactylococcopsis PCC-8305"	"G"	25448	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005289	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Rubidibacteraceae"
"Xenococcaceae"	"F"	25451	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001128	0.0005097	NA	0.0006291	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Pleurocapsa PCC-7319"	"G"	25456	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001128	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Xenococcaceae"
"Synechococcales"	"O"	25510	7	7	NA	6	NA	2	NA	NA	NA	NA	NA	6	NA	0.006766	0.003568	NA	0.003775	NA	0.001058	NA	NA	NA	NA	NA	0.006766	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Cyanobiaceae"	"F"	25511	7	7	NA	5	NA	2	NA	NA	NA	NA	NA	6	NA	0.006766	0.003568	NA	0.003146	NA	0.001058	NA	NA	NA	NA	NA	0.006766	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Synechococcales"
"Synechococcus CC9902"	"G"	25514	3	3	NA	2	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001529	0.001529	NA	0.001258	NA	NA	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Synechococcales>Cyanobiaceae"
"Cyanobium PCC-6307"	"G"	25512	5	2	NA	3	NA	2	NA	NA	NA	NA	NA	5	NA	0.005639	0.001019	NA	0.001887	NA	0.001058	NA	NA	NA	NA	NA	0.005639	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Synechococcales>Cyanobiaceae"
"Prochlorococcus MIT9313"	"G"	25513	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001019	0.001019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Synechococcales>Cyanobiaceae"
"Oxyphotobacteria Incertae Sedis"	"O"	25462	10	4	NA	3	NA	1	NA	NA	NA	NA	NA	10	NA	0.01128	0.002039	NA	0.001887	NA	0.0005289	NA	NA	NA	NA	NA	0.01128	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Unknown Family"	"F"	25463	10	4	NA	3	NA	1	NA	NA	NA	NA	NA	10	NA	0.01128	0.002039	NA	0.001887	NA	0.0005289	NA	NA	NA	NA	NA	0.01128	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Oxyphotobacteria&nbsp;Incertae&nbsp;Sedis"
"uncultured"	"G"	25482	3	3	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001529	0.001529	NA	0.001258	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Oxyphotobacteria&nbsp;Incertae&nbsp;Sedis>Unknown&nbsp;Family"
"Leptolyngbyales"	"O"	25243	3	3	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	0.001587	0.001529	NA	NA	NA	0.001587	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Leptolyngbyaceae"	"F"	25244	3	3	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	0.001587	0.001529	NA	NA	NA	0.001587	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Leptolyngbyales"
"uncultured"	"G"	25266	3	3	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001529	0.001529	NA	NA	NA	0.001058	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Leptolyngbyales>Leptolyngbyaceae"
"SepB-3"	"O"	25509	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	0.004511	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004511	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Phormidesmiales"	"O"	25483	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	0.001128	0.0005097	NA	NA	NA	0.0005289	NA	NA	NA	NA	NA	0.001128	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
