readID	seqID	taxID	score	2ndBestScore	hitLength	queryLength	numMatches
1c513311-40c9-45c9-bf61-6ea797f45a6f	unclassified	0	0	0	0	1102	1
15c08fd4-dffb-4dcf-b79b-2047b7da0db3	unclassified	0	0	0	0	1108	1
eb69b4f7-b78a-489a-bf61-7e8e08cd5a22	cid|1883416	1883416	100	64	25	1217	1
b5ce1563-2917-4649-9698-52b0acc68fa0	unclassified	0	0	0	0	1495	1
ecf05c8c-c4b3-41c3-9d28-73929e254be6	cid|446860	446860	1681	0	56	1159	1
1b913d03-b188-42e2-baf1-e6fbdfeb57bb	cid|436515	436515	14161	0	134	1276	1
e04b71d7-a28d-4f4e-a1d1-e8a0f98d4193	cid|573737	573737	64	0	23	1225	1
ce3308f9-bcad-492b-bc59-f5a2a8370355	unclassified	0	0	0	0	1113	1
3588a8e7-9362-4aa3-9692-230d69661bd6	cid|543913	543913	901	901	71	1738	2
3588a8e7-9362-4aa3-9692-230d69661bd6	cid|576611	576611	901	901	71	1738	2
2a4a5d94-7352-40eb-a0c8-cbbcda5e1d09	cid|104087	104087	81	0	24	3433	1
4f51e565-3fba-4a94-8e0e-45631fe471e2	unclassified	0	0	0	0	2945	1
8e28778b-413f-4336-92c4-f6bdb1322924	cid|1980001	1980001	400	100	35	4469	1
5795afeb-a12d-40bb-8f5f-1aba443512cd	unclassified	0	0	0	0	1513	1
55a5dffb-8f82-4f61-98f6-b3fc1f762187	cid|132132	132132	121	121	26	1127	3
55a5dffb-8f82-4f61-98f6-b3fc1f762187	cid|1197717	1197717	121	121	26	1127	3
55a5dffb-8f82-4f61-98f6-b3fc1f762187	cid|28187	28187	121	121	26	1127	3
78293147-fa91-4331-873c-fb47c0668db5	unclassified	0	0	0	0	1149	1
d7206741-c18f-458e-bf77-c1df47314e3a	unclassified	0	0	0	0	2809	1
05ac9d84-209b-4c97-8875-9ba066612222	cid|59405	59405	441	441	36	2462	2
05ac9d84-209b-4c97-8875-9ba066612222	cid|96773	96773	441	441	36	2462	2
0142540b-d38d-49d8-922d-235cbc6875e6	cid|1173025	1173025	1024	1024	47	1006	5
0142540b-d38d-49d8-922d-235cbc6875e6	cid|482564	482564	1024	1024	47	1006	5
0142540b-d38d-49d8-922d-235cbc6875e6	cid|1173263	1173263	1024	1024	47	1006	5
0142540b-d38d-49d8-922d-235cbc6875e6	cid|195253	195253	1024	1024	47	1006	5
0142540b-d38d-49d8-922d-235cbc6875e6	cid|118323	118323	1024	1024	47	1006	5
2c520c4e-c6e7-492f-a925-8313addd2864	cid|13690	13690	121	121	26	3274	2
2c520c4e-c6e7-492f-a925-8313addd2864	cid|85698	85698	121	121	26	3274	2
f176d4d1-d1e6-41ff-9783-ee6c1f2f1983	cid|296591	296591	1849	256	58	1465	1
2d5cb52f-f6b6-488b-85e2-42c264a4d138	unclassified	0	0	0	0	2118	1
7d046347-19e9-49ff-b719-b232787a84a0	cid|1612552	1612552	64	64	23	2104	3
7d046347-19e9-49ff-b719-b232787a84a0	cid|1711	1711	64	64	23	2104	3
7d046347-19e9-49ff-b719-b232787a84a0	cid|1612551	1612551	64	64	23	2104	3
bceb2a74-fb6a-4d3d-adee-603ff699b810	unclassified	0	0	0	0	2676	1
676459ed-f260-49fd-ae4e-322bf2444169	unclassified	0	0	0	0	1204	1
4cef3832-6ff8-4883-84dc-05e762d5e551	cid|925818	925818	169	144	28	2451	1
8d1a4081-40f8-4be0-9359-9ea7fc38753d	cid|52	52	64	0	23	3433	1
654d3e09-a797-4138-9e7e-6540db9de59c	unclassified	0	0	0	0	1229	1
c9949f2a-dbce-4024-ae09-8f12866e1446	cid|300	300	64	0	23	4664	1
d561f66b-7d2a-4c77-ba8d-42b32cb05cc9	cid|1584	1584	289	256	32	1133	1
d65cc30d-ac8d-414b-8e3e-c90c6832625f	unclassified	0	0	0	0	2209	1
e4f78e2b-ca54-49e2-bcf2-df93c708651f	cid|43989	43989	64	0	23	8304	1
a7252f42-dc5f-4c93-9248-6cd51b3e32f4	cid|2005462	2005462	2605	1444	101	1439	1
204b265b-062c-457b-8b53-5d6bc3b22ebb	cid|1920191	1920191	1966	0	113	3202	1
