	1-April_genus.tsv	1-August_genus.tsv	1-June_genus.tsv	2-April_genus.tsv	2-August_genus.tsv	3-April_genus.tsv	4-April_genus.tsv	4-August_genus.tsv	5-April_genus.tsv	5-August_genus.tsv	6-August_genus.tsv	6-June_genus.tsv	7-April_genus.tsv	8-April_genus.tsv	9.1-August_genus.tsv	9.2-August_genus.tsv	Mock-April_genus.tsv	Mock-August_genus.tsv	Mock-June_genus.tsv	N-August_genus.tsv
1174-901-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	5.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0
966-1	0.0	2.0	0.0	8.0	1.0	0.0	1.0	0.0	2.0	3.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A714019	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	4.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
A7P-90m	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
AAP99	7.0	5.0	2.0	11.0	2.0	4.0	4.0	12.0	16.0	7.0	2.0	0.0	8.0	73.0	3.0	0.0	0.0	0.0	0.0	0.0
ADurb.Bin063-1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AKYG587	0.0	1.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	1.0	3.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
AT-s3-44	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acanthopleuribacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacteraceae (uncultured)	0.0	0.0	2.0	3.0	5.0	1.0	0.0	8.0	3.0	5.0	6.0	5.0	19.0	3.0	2.0	6.0	0.0	0.0	0.0	0.0
Acetobacterales&nbsp;Incertae&nbsp;Sedis (uncultured)	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacterium	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacteroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetonema	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Achromobacter	281.0	285.0	346.0	361.0	202.0	185.0	251.0	397.0	299.0	531.0	603.0	378.0	157.0	310.0	290.0	349.0	0.0	1.0	2.0	193.0
Acidaminobacter	1.0	1.0	0.0	3.0	1.0	4.0	4.0	5.0	2.0	2.0	2.0	0.0	0.0	2.0	3.0	3.0	0.0	0.0	0.0	0.0
Acidaminococcaceae (uncultured)	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidaminococcus	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0
Acidibacter	0.0	1.0	2.0	10.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	9.0	2.0	0.0	0.0	0.0	0.0	18.0
Acidiphilium	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidithiobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidovorax	1039.0	575.0	735.0	2036.0	462.0	778.0	1128.0	843.0	1045.0	877.0	838.0	1060.0	378.0	881.0	177.0	319.0	2.0	2.0	3.0	359.0
Acinetobacter	16.0	27.0	37.0	16.0	6.0	3.0	14.0	3.0	12.0	1.0	5.0	5.0	257.0	45.0	7.0	7.0	0.0	0.0	0.0	4.0
Actibacter	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Actibacterium	2.0	4.0	12.0	5.0	14.0	0.0	7.0	9.0	1.0	10.0	13.0	16.0	13.0	6.0	11.0	14.0	0.0	0.0	0.0	0.0
Actimicrobium	2.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomadura	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinoplanes	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adhaeribacter	2.0	3.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	1.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0
Advenella	1.0	3.0	0.0	1.0	0.0	1.0	1.0	3.0	1.0	4.0	2.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Aeribacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aerococcaceae (uncultured)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aerococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
