name	taxRank	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Spirosomaceae	F	3085	3074	3226	3034	3063	3149	3047	3037	3061	3168	3191	3170	3080	3142	3152	3099	3233	3092	3218	3099	3148	3148	2983	3064	3182	3126	3150	3113	3209	3087	3144	3007	3137	3174	3097	3084	3159	3081	3161	3107	3110	3016	3166	3047	3093	3100	3074	3117	3111	3111	3166	3090	3021	3105	3082	3220	3100	3095	3035	3123	3160	3127	3090	3120	3060	3126	3027	3112	3229	3080	3003	3134	3166	3171	3168	3108	3117	3052	3063	3128	3166	3028	3150	3124	3181	3231	3072	3072	3101	3106	3060	3156	3120	3108	3058	3078	3127	3085	3142	3099
NS11-12 marine group	F	5775	5780	5657	5804	5929	5823	5878	5826	5719	5846	5809	5724	5724	5803	5690	5804	5679	5791	5796	5722	5885	5887	5821	5826	5701	5747	5617	5733	5740	5840	5855	5885	5668	5794	5863	5702	5766	5818	5714	5735	5779	5764	5696	5838	5837	5707	5798	5690	5670	5755	5856	5776	5744	5812	5796	5861	5903	5786	5634	5737	5820	5701	5824	5806	5790	5705	5752	5795	5687	5830	5837	5755	5867	5702	5757	5768	5785	5771	5879	5679	5749	5779	5735	5738	5629	5770	5803	5883	5806	5586	5892	5647	5770	5708	5773	5884	5852	5763	5806	5709
Flavobacteriaceae	F	764	839	828	778	787	823	780	769	829	761	784	808	852	762	801	845	785	799	811	838	784	804	807	809	807	832	837	819	838	834	840	799	840	829	822	846	776	804	853	777	817	789	770	807	790	770	819	815	779	787	789	850	826	823	818	806	806	804	843	772	835	813	837	855	783	806	792	797	839	849	856	787	826	805	801	751	768	828	774	768	810	798	809	796	800	778	798	797	806	829	815	780	800	778	817	779	846	753	790	795
Rhodobacteraceae	F	2878	2840	2816	2925	2838	2954	2911	2860	2926	2880	2860	2887	2839	2860	2915	2831	2910	2873	2952	2835	2834	2869	2857	2992	2851	2881	2720	2844	2886	2799	2824	2908	2930	2853	2862	2905	2970	2883	2866	2924	2907	2918	2846	2805	2852	2872	2826	2829	2937	2907	2880	2862	2794	2868	2886	2969	2932	2817	2903	3011	2886	2829	2881	2887	3048	2923	2862	2874	2730	2888	2946	2930	2883	2883	2914	2938	2902	2844	2763	2945	2932	2911	2925	2913	2814	2814	2884	2883	2892	2808	2842	2908	2768	2990	2878	2874	2832	2903	2848	2839
Sphingomonadaceae	F	1060	1075	964	1128	1043	1049	1027	1063	1028	1038	1012	1068	1048	1011	1044	1022	1007	1077	1028	1088	1043	1048	1043	1049	1049	1050	1053	1011	1000	1088	985	1082	984	997	999	1079	1040	1082	1040	1039	976	981	1007	1050	997	1068	1065	1092	1052	1029	1074	972	1094	1025	1061	962	1029	1065	1047	1037	1029	1084	1063	1049	1015	1055	1010	998	1083	1088	1013	1052	1002	1089	995	1032	1014	1086	1069	1063	1026	1012	1011	1089	966	998	1019	1009	976	1042	1038	1054	1047	1081	1093	1014	1098	1057	1029	1053
Burkholderiaceae	F	9957	9876	9978	9969	9922	9887	10001	9955	10076	9808	9922	9983	9910	9950	10003	9898	9833	9830	9793	9991	9888	9805	10026	9772	10004	9877	10041	10065	9971	10079	10003	9901	10042	9743	9952	9837	9966	9849	9846	9888	9853	10238	10096	9916	10034	9915	9894	9893	10019	9891	9801	9935	10042	9952	9942	9825	9987	9914	9945	9875	9820	9884	9967	9864	9909	9852	10020	9952	9941	9849	9911	9956	9849	9860	9958	9894	9928	9875	9908	10067	9890	9983	9950	9968	9933	10001	10050	9955	9938	10077	9933	9932	9994	9940	9873	9914	9834	9964	9817	9929
Enterobacteriaceae	F	2187	2196	2235	2166	2201	2168	2194	2183	2190	2204	2135	2171	2187	2211	2167	2237	2222	2240	2197	2214	2142	2154	2192	2147	2182	2310	2223	2166	2120	2067	2189	2157	2162	2288	2224	2290	2103	2194	2207	2203	2204	2136	2159	2179	2158	2185	2182	2155	2239	2219	2206	2094	2236	2201	2184	2157	2107	2249	2200	2158	2232	2259	2195	2151	2137	2268	2189	2221	2256	2163	2172	2232	2116	2250	2186	2146	2163	2227	2277	2110	2246	2226	2224	2185	2272	2198	2174	2229	2243	2316	2239	2234	2133	2194	2143	2177	2201	2216	2298	2269
Arcobacteraceae	F	720	685	687	666	721	700	656	675	672	645	674	675	700	726	660	683	634	715	685	686	681	722	664	707	658	717	687	662	691	697	666	700	710	735	660	661	656	714	716	676	714	674	651	705	696	692	731	726	637	676	705	719	676	690	663	644	693	685	753	665	705	692	653	700	679	691	710	692	716	703	654	644	674	683	690	710	728	706	699	712	673	711	658	693	697	714	707	647	673	638	684	728	713	722	730	686	690	690	670	700
Sporichthyaceae	F	549	613	601	562	557	558	602	559	628	593	596	545	594	576	574	594	594	539	542	590	612	552	607	573	623	580	590	551	578	542	547	578	583	595	567	568	563	552	593	575	573	540	551	588	579	587	558	585	562	599	596	613	615	572	552	548	545	603	564	564	588	569	540	607	593	552	564	576	579	562	618	562	563	573	611	586	586	585	553	573	551	564	558	602	580	559	591	597	577	585	572	571	585	512	547	576	597	545	589	576
Microbacteriaceae	F	1893	1889	1856	1801	1754	1792	1798	1895	1778	1870	1876	1838	1889	1828	1785	1814	1893	1890	1839	1777	1824	1867	1843	1823	1752	1729	1880	1872	1853	1828	1816	1825	1829	1854	1773	1844	1852	1850	1888	1900	1862	1777	1858	1886	1813	1949	1871	1862	1823	1882	1826	1866	1817	1807	1848	1860	1851	1846	1913	1901	1794	1867	1858	1817	1814	1879	1824	1828	1839	1864	1828	1821	1895	1881	1781	1892	1859	1892	1862	1824	1794	1837	1859	1747	1931	1799	1778	1774	1811	1907	1783	1856	1881	1814	1886	1893	1791	1875	1864	1857
