name	taxRank	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Burkholderiaceae	F	33	35	43	44	30	43	44	36	40	37	29	40	42	38	33	34	39	39	39	34	50	39	41	28	38	39	35	31	33	39	40	34	36	24	41	48	46	37	48	33	39	36	34	35	39	40	37	29	36	42	39	36	44	31	29	38	34	55	36	42	40	35	39	38	42	34	36	43	42	38	35	40	35	42	41	50	40	40	40	40	33	38	40	35	33	29	43	22	41	38	34	46	32	44	37	39	37	41	37	48
Rhodocyclaceae	F	2	2	2	0	0	1	0	0	0	0	2	2	0	0	3	2	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	0	1	0	0	1	2	0	1	1	0	0	0	1	1	0	3	0	0	0	0	0	2	1	0	1	1	4	0	0	1	0	1	1	0	1	2	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	1	2
Methylophilaceae	F	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	2	0	2	0	0	0	0	0	2	1	0	1	0	1	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	1	1	1	0	1	0	1	0	0	0	0	2	0	0	1	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1
Aeromonadaceae	F	0	1	0	0	2	1	0	0	0	1	0	3	0	1	1	1	0	0	1	0	1	0	3	0	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	2	1	1	0	1	0	1	0	0	0	2	0	1	1	3	1	0	1	1	1	0	0	1	2	1	1	2	0	0	0	2	0	0	0	2	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0
Enterobacteriaceae	F	18312	18101	18384	18150	18260	18158	18217	18213	18141	18081	18394	18204	18270	18077	18202	18279	18192	18203	18245	18390	18221	18230	18205	18247	18221	18191	18247	18392	18378	18195	18207	18255	18227	18334	18286	18268	18197	18264	18214	18211	18218	18276	18143	18309	18195	18135	18231	18399	18270	18256	18249	18278	18212	18314	18103	18165	18223	18170	18265	18294	18304	18239	18214	18131	18140	18351	18216	18127	18275	18143	18255	18209	18333	18205	18204	18211	18232	18136	18210	18271	18216	18221	18282	18301	18160	18125	18334	18406	18113	18184	18248	18262	18256	18361	18116	18240	18255	18246	18271	18363
Pseudomonadaceae	F	202	212	202	224	201	194	192	179	228	196	233	190	215	176	185	205	205	215	198	214	215	200	183	196	178	203	204	186	178	200	193	199	236	204	188	185	216	203	204	176	204	200	210	208	182	190	212	196	174	188	221	190	222	204	199	201	206	193	190	195	219	199	217	198	217	183	186	185	180	212	207	196	184	219	197	198	178	174	198	195	195	178	204	201	223	193	208	199	194	213	169	202	209	196	202	199	220	204	185	186
Moraxellaceae	F	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	1	0	1	1	2	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	0	4	1	0	0	0	1	0	0
Vibrionaceae	F	2	1	5	1	1	2	2	2	1	1	2	1	1	0	3	4	0	1	1	2	2	1	3	2	2	3	1	3	2	0	1	3	3	1	1	1	0	1	1	3	2	1	0	2	1	2	1	3	4	1	1	1	2	0	3	3	2	1	0	1	2	3	1	1	4	1	3	1	1	1	2	1	1	1	1	1	1	2	1	1	2	2	2	3	3	1	3	5	3	3	2	3	2	0	0	2	1	5	3	2
Pasteurellaceae	F	0	0	1	1	0	1	1	0	0	1	0	0	0	2	1	0	1	0	0	2	1	2	0	0	0	0	2	0	2	1	0	2	2	1	0	0	4	1	2	2	1	1	0	1	3	1	0	0	0	0	1	0	2	0	1	0	0	1	1	3	0	0	1	0	3	1	0	2	1	0	5	2	1	1	0	0	1	0	1	0	0	1	2	2	0	1	1	1	2	0	0	1	3	1	2	0	0	1	0	0
Rhodobacteraceae	F	1	5	3	1	3	1	3	2	0	2	2	4	4	2	4	2	3	2	3	1	2	3	2	5	3	2	1	1	3	3	1	2	3	3	2	1	3	2	2	1	2	3	2	0	2	5	3	3	1	3	2	4	1	5	4	4	5	3	0	5	2	3	2	4	3	6	1	5	5	3	4	3	2	3	2	1	4	3	2	1	4	3	1	0	1	1	3	1	3	2	2	2	1	3	5	4	2	4	4	3
Sphingomonadaceae	F	2	2	3	2	2	2	3	5	3	1	1	2	4	1	1	0	3	4	1	1	2	2	2	0	3	0	5	2	3	3	2	2	2	3	0	1	0	3	6	4	7	1	1	3	2	2	1	1	2	9	0	1	3	1	2	2	0	3	2	0	5	3	1	2	1	1	1	0	3	1	3	4	2	1	2	5	3	4	3	2	5	2	1	3	0	3	1	5	5	3	3	2	7	2	3	4	2	3	3	4
Beijerinckiaceae	F	0	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	1	0	0	0	3	1	1	1	0	0	0	1	0	0	1	0	0	0	0	1	1	1	2	0	1	0	0	0	0	0	0	0	3	0	1	1	0	0	1	0	2	3	1	0	1	0	1	0	0	0	0	1	1	0
Rhizobiales Incertae Sedis	F	1	0	0	0	0	1	0	3	0	3	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0	1	0	0	0	1	0	0	2	1	2	1	0	0	2	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	2	0	0	0	0	0	1	0	1	1	1	0	0	1	1	1	0	1	1	0	0
Caulobacteraceae	F	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	2	1	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	3	0	0	2	1	2	0	0	1	0	1	1	0	1	1	0	3	0	2	0	1	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	2
Spirosomaceae	F	13	9	12	9	13	15	13	10	14	8	16	7	9	14	11	7	15	4	12	16	6	11	11	10	9	13	11	13	18	18	5	10	13	24	9	11	11	6	9	9	16	8	8	10	11	12	7	9	8	18	13	17	13	14	6	5	8	8	9	9	13	19	11	9	12	10	18	12	12	12	15	17	10	15	17	15	11	6	10	16	14	16	8	15	11	8	13	16	9	7	6	15	12	5	10	10	6	17	10	21
Flavobacteriaceae	F	2	0	5	0	5	0	3	5	4	3	3	2	2	2	3	6	7	4	6	5	5	4	8	3	3	2	1	1	3	5	6	3	3	3	2	4	2	4	8	2	1	6	4	2	1	3	5	3	4	3	1	8	2	3	6	3	7	3	4	1	1	4	3	6	4	3	1	2	4	6	2	4	5	2	4	4	8	6	4	5	5	5	4	2	3	5	2	0	2	8	8	1	2	5	5	1	2	9	3	3
