name	taxRank	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Spirosomaceae	F	19	9	10	13	11	13	17	16	14	16	16	15	7	16	12	11	16	15	12	18	22	17	10	11	12	14	18	13	21	11	20	19	15	6	16	15	18	9	11	16	18	15	10	13	14	16	15	13	14	16	13	14	15	10	10	14	15	15	15	15	9	12	9	17	9	14	18	14	12	5	18	21	17	11	8	18	14	10	9	10	11	10	9	16	16	13	10	22	15	12	9	11	6	10	13	19	8	10	17	15
NS11-12 marine group	F	12	19	15	12	11	8	11	11	7	10	8	9	9	9	13	12	8	12	9	6	8	4	9	9	15	6	4	11	4	8	12	10	7	10	10	13	11	7	7	11	13	4	11	13	10	9	6	6	7	14	8	9	11	10	11	11	14	6	6	18	9	9	9	10	11	5	18	9	15	6	6	15	9	9	8	8	9	13	16	12	9	9	2	9	9	10	12	7	6	12	3	12	11	9	5	13	10	6	12	5
Sphingobacteriaceae	F	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Flavobacteriaceae	F	1	1	2	1	2	3	1	2	3	1	1	1	3	0	2	1	1	3	0	2	2	1	2	1	0	0	3	3	0	2	4	1	2	2	4	3	2	0	0	1	2	0	5	1	0	0	0	2	1	0	2	1	0	3	2	1	3	2	2	1	6	2	1	2	2	0	1	2	3	2	1	1	3	2	0	1	2	0	0	3	1	0	2	3	3	1	1	0	1	0	3	1	3	1	3	2	2	1	0	1
Crocinitomicaceae	F	0	2	0	0	1	3	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	1	2	1	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	1	1	0	0	2	1	1	1	0	1	2	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	2	2	1	0	0	1	1	0	0	0	0	0
Chitinophagaceae	F	0	2	1	0	1	0	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	3	0	1	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	3	0	0	1	0	1	1	0	0	0	0	2	1	0	1	2	1	2	0	0	0	0	0	1	2	1	0	0	0	0	1	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	1	2	0	1	0	0	2	0	0	0
Rhodobacteraceae	F	4	6	6	6	6	4	3	7	2	4	4	5	6	3	5	3	2	6	3	3	5	3	3	2	5	5	6	6	3	4	3	3	5	4	4	2	6	5	5	2	2	2	3	3	0	9	1	4	2	8	2	4	8	3	3	3	3	4	3	10	3	3	3	3	1	7	11	3	2	5	4	6	1	5	6	1	8	1	3	4	5	4	4	3	2	4	3	5	5	5	2	4	4	5	4	3	3	6	5	4
Sphingomonadaceae	F	2	1	1	0	7	1	2	2	1	1	6	1	3	1	1	2	4	2	2	3	2	1	0	0	2	3	3	4	4	4	2	2	1	4	0	1	2	0	2	3	0	0	0	4	2	2	4	1	1	2	2	1	3	2	2	0	3	5	3	2	4	1	1	1	0	4	1	2	1	1	1	2	0	3	7	0	2	3	0	3	1	2	3	0	1	1	2	2	2	1	1	3	2	1	2	0	1	4	0	2
Rhizobiales Incertae Sedis	F	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Rhizobiaceae	F	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	2	0	0	3	1	0	1	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	1	0	0	1	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	3	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0
Xanthobacteraceae	F	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0
Rickettsiaceae	F	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Caulobacteraceae	F	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Paracaedibacteraceae	F	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0
Acetobacteraceae	F	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Azospirillaceae	F	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
Burkholderiaceae	F	28	36	33	39	28	23	23	35	33	30	30	26	30	37	28	35	25	31	26	26	28	29	25	39	30	29	36	31	18	25	31	30	26	23	21	35	29	23	26	40	35	41	27	24	36	28	42	33	20	25	23	28	25	26	25	20	32	36	24	25	27	27	29	24	25	33	36	32	32	32	30	27	31	30	30	29	23	29	28	24	30	31	29	31	28	37	25	24	23	27	34	24	28	20	28	25	30	33	30	31
Methylophilaceae	F	0	1	1	1	1	0	5	1	0	0	0	1	2	1	3	4	1	1	3	0	2	0	0	1	0	1	0	1	0	0	2	3	2	0	0	2	0	0	2	4	1	0	1	1	0	1	2	0	0	2	0	1	0	1	3	1	0	1	0	1	1	1	0	0	1	1	0	2	0	1	2	1	2	0	0	2	1	0	0	1	1	1	3	4	0	1	1	2	1	0	1	0	0	0	0	0	1	1	0	1
Rhodocyclaceae	F	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	3	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	2	1	0	1	0	1	2	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1	0	1	1	0	1	0	1	0	0	0	1	0	1	1	1	1	1	1	2	1	0	2	0	0	0	0
SC-I-84	F	0	0	0	0	0	0	1	0	0	1	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
