name	taxRank	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Burkholderiaceae	F	36	34	43	34	40	41	37	37	34	38	45	38	48	40	42	27	43	33	39	29	40	46	36	45	44	47	38	42	35	29	35	38	40	47	42	39	42	46	40	44	44	38	34	34	44	40	36	44	45	48	49	47	40	43	45	39	44	41	46	45	48	44	44	41	37	27	46	57	35	55	41	28	42	50	35	46	39	52	46	37	40	40	48	36	42	41	47	33	30	44	37	41	32	41	37	48	37	43	45	45
Methylophilaceae	F	2	3	3	4	2	0	3	3	1	2	2	4	2	0	1	3	3	1	3	1	0	3	0	1	1	2	1	2	2	4	3	4	1	2	2	3	7	3	2	0	1	0	3	1	2	1	0	1	2	1	5	2	1	3	2	7	0	3	3	3	2	2	1	1	0	2	4	0	3	1	2	0	2	3	4	1	3	3	2	2	3	1	2	1	2	1	2	2	4	4	3	2	1	2	6	0	4	5	2	2
Enterobacteriaceae	F	17408	17538	17660	17535	17497	17389	17517	17638	17626	17396	17460	17633	17567	17697	17720	17679	17682	17570	17653	17672	17670	17585	17781	17327	17506	17577	17593	17616	17702	17465	17384	17587	17498	17665	17579	17617	17664	17655	17543	17495	17514	17555	17630	17565	17436	17642	17631	17617	17504	17680	17646	17480	17713	17685	17715	17653	17593	17475	17777	17531	17554	17672	17550	17574	17574	17620	17516	17424	17658	17707	17709	17698	17740	17637	17713	17657	17547	17563	17556	17555	17533	17638	17679	17565	17529	17588	17688	17692	17617	17488	17533	17606	17682	17643	17519	17479	17702	17539	17643	17623
Diplorickettsiaceae	F	1	2	1	2	2	1	3	1	1	3	1	0	4	1	0	2	0	0	0	1	1	0	1	2	2	1	1	1	2	2	1	1	2	2	2	2	4	0	1	1	2	1	1	1	2	0	0	0	4	2	3	1	1	1	0	1	0	2	0	1	0	2	2	4	1	1	0	2	2	0	1	2	1	1	3	0	3	0	2	2	0	0	4	1	1	1	1	1	1	1	3	1	2	1	4	0	1	3	0	0
Pseudomonadaceae	F	254	239	203	239	229	231	223	225	224	220	235	205	259	213	224	251	227	238	239	247	225	242	225	226	221	211	225	218	223	239	238	224	220	242	228	234	252	252	231	221	239	237	205	210	239	220	232	243	207	240	250	242	227	240	250	219	230	236	202	215	248	235	235	197	221	227	258	249	210	241	237	238	231	232	218	235	224	218	245	248	228	240	215	229	218	253	244	226	251	259	220	236	232	231	248	235	217	225	264	221
Vibrionaceae	F	2	1	0	2	0	2	0	1	0	0	2	0	0	0	0	1	0	1	1	1	1	0	0	1	3	0	1	1	1	1	1	0	1	2	1	1	1	0	0	0	1	1	1	1	0	1	1	1	2	1	2	0	3	0	0	0	2	2	0	1	2	0	2	1	2	0	1	2	0	1	0	0	1	1	2	0	1	0	1	2	0	0	0	0	1	0	2	1	0	1	0	1	2	0	2	1	3	1	0	2
Rhodobacteraceae	F	11	10	8	9	7	8	6	12	10	7	11	11	11	6	4	4	7	5	8	7	8	6	8	18	17	4	8	6	10	11	14	7	10	7	9	12	7	6	10	9	5	6	8	15	4	10	11	11	7	1	5	10	7	10	9	6	12	7	7	6	6	8	9	9	9	10	7	15	6	9	8	6	8	8	7	9	10	14	11	7	11	11	7	12	12	6	10	10	11	9	15	5	8	10	10	9	9	11	10	2
Sphingomonadaceae	F	3	4	2	3	3	3	5	2	2	0	6	0	4	4	0	4	1	5	2	1	4	5	1	1	2	2	3	1	2	4	0	1	5	6	5	2	2	2	1	3	1	2	1	2	0	2	2	3	2	2	2	1	2	3	0	0	4	5	3	4	1	4	4	2	2	4	4	2	1	4	3	5	1	2	2	1	1	6	2	8	5	3	4	3	1	2	5	2	4	1	1	3	4	2	4	2	0	4	5	2
NS11-12 marine group	F	11	8	10	14	6	12	12	10	16	8	7	10	10	9	6	8	9	6	5	8	5	7	8	6	6	7	10	5	5	11	4	5	12	11	6	12	13	5	6	9	9	10	13	7	9	7	13	3	14	5	12	3	7	10	11	10	11	4	10	6	14	12	17	11	8	5	8	9	7	9	14	7	8	1	11	7	10	9	4	7	8	6	13	7	11	10	7	16	13	4	12	4	8	5	6	6	10	12	6	9
Spirosomaceae	F	8	12	14	11	20	15	11	17	11	19	11	20	15	18	10	13	14	14	17	11	9	16	13	7	13	16	10	11	16	11	17	12	9	11	15	17	12	11	15	16	10	10	19	13	12	15	13	14	13	15	18	9	8	13	9	13	7	18	6	16	17	8	17	7	17	16	13	12	9	14	22	13	15	14	14	15	12	10	12	6	9	12	12	18	15	11	11	10	25	16	9	18	8	13	17	11	15	18	11	13
