name	taxRank	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Rhodoferax	G	4	3	3	2	5	2	6	3	4	5	5	6	3	2	1	7	5	2	1	10	7	11	1	5	6	4	2	3	4	5	2	3	6	4	2	2	5	3	3	6	1	2	6	3	4	2	2	2	5	3	3	4	6	4	4	6	3	3	2	4	3	4	6	3	6	3	1	1	5	7	5	4	6	8	5	3	3	3	7	1	4	7	5	4	5	6	3	2	2	3	6	2	1	2	6	4	5	11	5	5
Limnohabitans	G	3	4	4	8	7	6	4	4	5	5	4	3	2	6	6	6	6	5	3	3	4	3	6	8	5	4	4	8	7	4	7	6	3	4	4	4	2	3	2	3	3	5	2	6	2	6	12	4	4	6	5	2	1	6	2	8	4	3	6	3	6	2	8	5	4	1	0	7	7	5	5	3	1	8	5	1	4	5	4	9	9	3	6	5	3	4	3	7	8	5	5	7	6	5	3	6	6	3	5	6
Comamonas	G	3	3	3	2	2	1	3	1	1	3	2	1	1	5	1	2	2	5	3	4	1	2	5	3	0	4	6	1	2	3	1	2	2	3	7	4	4	1	4	3	2	3	2	4	5	7	3	3	0	1	3	1	4	3	1	4	2	3	1	4	3	4	1	3	2	1	0	4	6	2	5	2	2	3	6	2	3	2	2	0	2	0	2	4	2	3	2	4	5	5	4	2	4	4	1	5	5	1	2	1
Acidovorax	G	4	2	4	2	4	2	3	7	1	3	4	2	4	2	4	3	4	3	4	2	1	4	4	3	0	4	3	4	4	2	1	4	2	6	3	3	6	3	1	2	0	1	2	4	2	2	3	2	4	1	2	3	2	0	2	3	0	1	4	0	2	4	2	5	6	1	3	5	2	1	3	4	3	3	6	3	2	2	3	3	3	4	0	4	1	2	4	5	2	3	3	4	3	3	1	4	5	4	3	2
Massilia	G	1	4	1	1	2	2	1	1	1	1	2	3	6	2	2	1	4	0	1	4	1	1	3	3	3	0	1	2	2	3	0	1	5	2	1	1	1	1	4	0	8	1	1	1	1	1	3	3	1	1	0	1	1	2	2	1	0	5	4	1	4	2	1	2	2	1	1	2	6	2	2	3	1	3	0	1	1	1	1	5	1	5	0	2	1	1	1	2	0	0	3	1	3	0	3	1	3	1	1	2
Aquabacterium	G	1	1	4	1	1	2	2	3	3	3	0	1	3	1	0	1	2	4	1	0	1	4	2	0	2	2	2	0	3	4	3	1	2	2	1	6	2	0	5	0	1	0	2	2	0	3	5	1	0	1	2	5	1	3	0	1	3	1	1	3	2	0	2	1	2	1	1	0	1	3	2	1	1	1	0	2	3	0	0	5	2	3	1	0	0	0	2	4	2	2	0	3	3	2	4	2	1	1	3	2
Burkholderia-Caballeronia-Paraburkholderia	G	0	2	0	1	1	1	0	0	1	1	2	1	0	1	0	0	1	1	2	1	0	3	2	1	0	0	1	2	1	0	2	1	1	1	3	1	0	0	2	1	1	1	1	0	0	0	1	1	0	1	0	1	1	1	2	1	0	1	1	2	3	0	1	2	3	1	1	0	0	0	2	0	0	2	1	0	2	2	1	0	1	1	1	0	1	1	2	2	0	2	1	1	0	2	2	1	0	1	0	3
Variovorax	G	2	1	1	1	2	0	1	4	1	2	0	1	0	1	0	1	1	2	0	3	0	0	2	2	1	0	3	4	2	1	0	1	0	1	2	1	3	5	2	3	2	4	2	0	3	0	2	1	2	4	2	0	2	1	2	1	1	2	1	1	0	1	0	0	0	1	1	0	5	1	1	1	2	1	1	1	1	3	0	0	0	2	1	2	1	2	0	1	0	2	2	1	3	1	2	4	2	4	1	1
Burkholderiaceae (uncultured)	G	1	1	0	1	2	1	0	0	1	1	1	0	1	1	0	1	0	1	0	0	0	1	1	1	2	1	2	2	0	0	1	0	2	1	2	0	4	1	1	2	1	1	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	1	3	1	1	0	1	1	0	0	1	0	1	1	1	0	0	0	2	1	0	2	0	0	1	1	1	2	0	1	0	0	1	0	0	1	2	2	1	1	0
Polaromonas	G	2	1	1	1	1	3	1	1	1	0	2	1	1	0	1	2	2	0	1	0	0	5	3	1	4	1	2	1	1	3	2	1	1	1	2	2	1	2	1	2	0	0	0	0	4	1	0	2	0	0	0	0	0	0	2	1	1	0	1	3	0	0	2	2	1	2	3	1	3	2	1	1	0	0	0	1	1	0	1	2	3	0	2	3	2	0	1	3	0	0	1	1	2	0	1	0	0	1	2	2
