name	taxRank	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Pseudarcicella	G	14	6	11	8	14	9	14	13	11	15	16	13	12	13	13	9	19	14	20	6	14	18	12	26	18	18	20	9	11	12	17	21	20	6	15	17	12	14	13	9	16	9	18	15	13	9	8	11	11	13	8	18	10	11	11	13	11	13	13	6	13	13	13	14	16	16	18	12	19	13	5	15	18	19	13	8	12	14	17	11	17	9	17	12	11	9	18	19	16	15	15	11	11	13	12	16	16	16	18	10
Arcicella	G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Flavobacterium	G	1	0	2	2	0	1	0	1	1	0	2	2	0	1	0	1	0	5	3	2	1	3	0	2	0	2	1	1	0	0	3	2	1	1	1	0	0	0	1	0	4	4	0	2	1	0	0	0	0	1	1	0	1	0	1	1	3	3	1	0	1	3	2	1	3	0	1	1	1	0	3	1	3	2	1	1	3	1	1	3	0	0	1	0	2	1	0	4	2	2	0	1	3	2	2	1	0	1	1	2
Fluviicola	G	0	0	0	0	0	2	0	1	2	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	2	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	2	0	2	1	2	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	3	0	1	0	1	0	0	0	2	1	0	0	1	1	0	0	0	1	1	0	1	0	2	0	0	0	1	1
Dinghuibacter	G	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	2	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	1
Sediminibacterium	G	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chitinophagaceae (uncultured)	G	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodobacter	G	1	0	0	0	3	0	0	0	1	1	1	0	1	0	0	0	0	0	2	1	0	1	0	2	1	0	0	1	1	1	1	0	0	0	0	1	0	2	0	1	1	0	1	1	2	1	1	0	1	0	0	0	1	1	3	1	0	1	0	0	4	1	0	1	1	1	1	0	1	0	2	1	3	0	2	0	0	1	0	0	0	1	1	3	1	2	1	1	1	3	2	0	0	0	1	0	0	0	1	0
Rhodobacteraceae (uncultured)	G	1	0	1	0	1	1	1	1	0	0	0	1	0	0	1	0	1	1	0	1	0	0	2	0	2	0	0	2	1	1	1	0	0	1	1	0	1	1	0	0	0	1	0	1	0	0	1	0	0	1	1	1	0	2	0	0	0	0	1	0	1	3	0	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	1	1	0	0	0	2	2	1	1	1	0	0	1	1	0	0	1	1	0	0
Paracoccus	G	0	1	1	2	1	0	1	0	0	0	2	0	0	0	2	1	0	1	0	0	4	1	0	0	1	1	0	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	2	1	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	2	0	0	0	1	0	1	0	2	1
