name	taxRank	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Limnohabitans	G	10	9	6	5	8	4	11	5	4	7	6	2	8	7	7	5	7	12	12	6	6	7	7	3	4	7	8	3	3	3	5	5	13	1	10	10	9	10	7	7	5	6	4	5	5	9	7	8	5	6	4	6	7	6	6	9	8	7	6	10	11	5	5	13	9	10	9	9	2	7	7	5	6	5	9	5	8	6	7	7	8	9	7	9	6	4	10	8	8	11	5	9	4	6	6	14	8	9	3	7
Rhodoferax	G	3	6	4	2	3	2	4	3	4	4	4	10	2	2	5	3	3	1	2	7	1	1	4	1	3	2	1	4	3	3	2	3	3	2	4	1	2	3	4	3	5	8	5	1	6	2	3	5	5	2	4	3	6	2	5	4	6	3	7	5	3	3	5	3	1	3	3	1	2	4	4	6	4	7	6	4	1	4	5	3	1	6	2	6	5	3	4	8	4	5	4	2	6	4	4	5	7	3	7	4
Comamonas	G	2	2	1	3	2	3	2	4	1	2	4	4	6	4	4	3	1	5	3	5	1	4	3	4	4	3	4	4	6	2	5	1	4	1	6	2	3	3	4	5	2	3	1	2	5	3	2	2	4	5	5	2	3	3	3	3	4	4	5	2	1	5	3	3	4	2	2	1	4	1	2	2	1	5	2	3	1	2	4	3	2	3	5	1	2	1	5	3	7	4	3	8	3	2	4	3	4	3	2	2
Delftia	G	0	3	1	0	1	0	2	4	2	2	0	2	0	2	1	1	2	1	0	0	0	2	2	0	0	3	0	3	3	1	1	1	1	1	1	0	3	2	0	0	1	1	2	0	1	0	3	1	1	0	0	2	1	1	1	3	1	1	3	1	1	2	6	1	2	2	3	2	0	2	1	0	2	1	3	2	3	1	1	4	0	1	0	2	0	3	1	0	1	2	0	0	1	2	2	2	1	3	2	0
Acidovorax	G	1	1	5	3	2	0	0	2	3	2	3	4	3	2	1	1	1	2	4	1	2	1	0	0	5	2	1	7	2	1	4	1	5	2	0	1	2	4	3	1	4	1	1	2	1	2	1	3	3	0	1	1	1	1	1	0	0	2	1	3	1	2	1	1	2	1	0	1	0	3	1	3	0	3	2	0	2	3	0	2	3	0	1	2	2	1	1	2	0	4	0	0	0	4	1	2	1	0	2	4
Burkholderiaceae (uncultured)	G	1	0	0	0	1	0	1	0	0	2	0	3	1	1	1	1	3	0	0	2	1	1	0	1	0	1	1	2	5	0	1	1	2	0	0	3	2	1	0	0	2	0	1	0	0	1	0	1	2	0	0	0	2	0	0	1	1	3	1	2	0	3	0	2	1	0	2	0	0	0	2	0	2	1	1	1	1	0	2	0	1	1	0	0	0	2	1	0	3	0	1	1	1	1	2	2	1	0	1	0
Burkholderia-Caballeronia-Paraburkholderia	G	1	1	2	0	2	1	1	1	1	1	0	2	0	0	2	1	2	1	0	1	1	1	0	1	0	1	3	3	2	0	2	2	0	0	3	1	3	3	3	0	1	0	2	0	2	1	0	2	0	1	2	0	1	1	2	2	2	1	1	0	0	1	1	0	1	0	2	0	0	0	2	0	2	3	1	1	1	6	1	1	1	1	6	2	1	1	3	1	0	3	2	4	3	1	1	0	1	2	1	2
Massilia	G	2	1	2	2	1	0	2	0	1	0	2	1	1	2	2	2	2	1	0	0	1	1	0	2	2	2	1	3	0	0	4	2	2	2	2	1	1	3	2	4	6	0	2	1	2	2	1	0	0	0	1	0	1	1	1	0	3	3	3	2	0	1	1	2	1	0	0	1	0	0	0	1	1	1	1	0	2	3	0	1	5	1	0	1	0	3	1	1	5	2	2	1	3	2	0	0	2	0	3	3
Variovorax	G	1	1	1	1	4	2	1	0	1	0	2	1	1	0	1	0	0	1	3	2	0	1	2	1	2	1	1	0	0	0	1	3	2	4	1	0	1	0	0	2	4	1	2	0	2	0	2	0	0	3	2	3	0	1	2	2	2	1	0	0	3	3	3	0	1	2	2	2	3	0	1	0	2	0	1	1	4	0	4	2	1	1	3	0	2	2	0	2	0	1	1	0	1	1	1	2	4	0	1	3
Pelomonas	G	1	1	0	1	0	0	2	3	0	0	5	0	1	1	1	0	0	1	0	1	1	0	1	1	0	4	0	0	0	1	0	0	2	1	1	1	1	0	0	1	0	2	0	0	0	1	3	0	0	2	1	2	0	1	1	0	3	1	1	1	3	2	0	2	2	1	1	2	1	1	2	2	0	2	1	1	0	2	0	0	0	0	1	0	1	0	3	0	3	0	3	0	0	1	2	1	2	0	2	2
Aquabacterium	G	2	1	1	1	3	2	0	1	3	1	1	3	2	0	1	1	1	2	5	0	1	1	4	3	0	2	1	1	2	0	0	1	2	1	0	0	2	5	3	0	2	2	2	2	1	0	1	1	2	1	5	1	1	1	3	1	1	0	1	0	0	0	1	0	2	0	3	3	1	2	0	0	1	1	3	0	3	1	3	1	3	1	0	1	4	1	2	1	0	0	3	0	2	3	1	1	1	1	0	4
Hydrogenophaga	G	1	1	2	3	0	0	1	0	1	3	1	0	1	0	0	0	0	0	1	1	0	1	3	0	0	0	2	0	2	0	1	1	0	0	0	2	1	1	2	1	2	0	0	0	0	1	1	0	2	1	2	0	2	0	1	0	1	1	3	4	1	0	1	0	1	1	0	1	0	0	2	1	0	2	0	1	0	1	2	3	2	4	3	0	1	3	3	0	2	2	1	2	4	2	0	0	0	2	0	0
Polynucleobacter	G	0	0	1	3	0	1	1	1	1	3	1	3	3	2	1	1	0	2	2	2	2	1	2	1	4	1	0	1	2	1	2	0	1	4	0	4	3	2	1	3	2	3	4	2	1	0	1	0	4	3	4	0	0	1	1	2	2	1	1	1	5	1	3	3	3	1	1	2	3	3	0	3	2	0	2	3	1	2	4	2	1	3	2	4	2	0	6	2	0	1	1	1	3	3	1	2	2	1	3	0
Achromobacter	G	4	3	3	2	1	0	1	0	0	0	1	4	1	3	3	1	1	1	1	2	1	0	3	0	0	0	3	0	4	2	0	0	1	2	4	1	2	0	0	0	1	2	0	3	1	1	1	3	1	0	0	1	4	5	1	1	1	0	4	3	1	3	2	0	1	2	2	1	0	3	2	0	0	1	0	0	0	3	0	0	1	2	1	0	1	1	1	0	0	1	1	2	0	2	1	1	1	1	2	1
