Family	Genus	Species
Burkholderiaceae	Achromobacter	denitrificans
Burkholderiaceae	Achromobacter	xylosoxidans
Actinomycetaceae	Actinomyces	israelii
Moraxellaceae	Acinetobacter	baumannii
Moraxellaceae	Acinetobacter	haemolyticus
Moraxellaceae	Acinetobacter	lwoffii
Aerococcaceae	Aerococcus	sanguinicola
Aerococcaceae	Aerococcus	urinae
Aerococcaceae	Aerococcus	viridans
Bacillaceae	Bacillus	anthracis
Bacillaceae	Bacillus	cereus
Rhizobiaceae	Bartonella	sp.
Burkholderiaceae	Bordetella	bronchiseptica
Burkholderiaceae	Bordetella	parapertussis
Burkholderiaceae	Bordetella	pertussis
Spirochaetaceae	Borrelia	sp.
Spirochaetaceae	Borreliella	sp.
Rhizobiaceae	Brucella	sp.
Burkholderiaceae	Burkholderia	cepacia
Burkholderiaceae	Burkholderia	mallei
Burkholderiaceae	Burkholderia	pseudomallei
Campylobacteraceae	Campylobacter	coli
Campylobacteraceae	Campylobacter	fetus
Campylobacteraceae	Campylobacter	jejuni
Campylobacteraceae	Campylobacter	lari
Chlamydiaceae	Chlamydia	muridarum
Chlamydiaceae	Chlamydophila	pneumoniae
Chlamydiaceae	Chlamydia	psittaci
Chlamydiaceae	Chlamydia	suis
Chlamydiaceae	Chlamydia	trachomatis
Enterobacteriaceae	Citrobacter	amalonaticus
Peptostreptococcaceae	Clostridioides	difficile
Clostridiaceae	Clostridium	botulinum
Clostridiaceae	Clostridium	perfringens
Clostridiaceae	Clostridium	sordellii
Clostridiaceae	Clostridium	tetani
Corynebacteriaceae	Corynebacterium	amycolatum
Corynebacteriaceae	Corynebacterium	diphtheriae
Coxiellaceae	Coxiella	burnetii
Anaplasmataceae	Ehrlichia	canis
Anaplasmataceae	Ehrlichia	chaffeensis
Anaplasmataceae	Ehrlichia	ewingii
Anaplasmataceae	Ehrlichia	muris
Anaplasmataceae	Ehrlichia	ruminantium
Enterococcaceae	Enterococcus	faecalis
Enterococcaceae	Enterococcus	faecium
Enterobacteriaceae	Escherichia	albertii
Enterobacteriaceae	Escherichia	coli
Enterobacteriaceae	Escherichia	fergusonii
Enterobacteriaceae	Escherichia	hermannii
Enterobacteriaceae	Escherichia	vulneris
Francisellaceae	Francisella	philomiragia
Francisellaceae	Francisella	novicida
Francisellaceae	Francisella	tularensis
Pasteurellaceae	Haemophilus	influenzae
Helicobacteraceae	Helicobacter	pylori
Enterobacteriaceae	Klebsiella	pneumoniae
Enterobacteriaceae	Klebsiella	oxytoca
Legionellaceae	Legionella	sp.
Leptospiraceae	Leptospira	interrogans
Listeriaceae	Listeria	monocytogenes
Mycobacteriaceae	Mycobacterium	leprae
Mycobacteriaceae	Mycobacterium	tuberculosis
Mycobacteriaceae	Mycobacterium	ulcerans
Mycoplasmataceae	Mycoplasma	pneumoniae
Neisseriaceae	Neisseria	gonorrhoeae
Neisseriaceae	Neisseria	meningitidis
Nocardiaceae	Nocardia	asteroides
Parachlamydiaceae	Parachlamydia	acanthamoebae
Enterobacteriaceae	Proteus	sp.
Pseudomonadaceae	Pseudomonas	aeruginosa
Pseudomonadaceae	Pseudomonas	oryzihabitans
Pseudomonadaceae	Pseudomonas	plecoglossicida
Rickettsiaceae	Rickettsia	sp.
Enterobacteriaceae	Salmonella	sp.
Enterobacteriaceae	Serratia	marcescens
Enterobacteriaceae	Shigella	sp.
Staphylococcaceae	Staphylococcus	sp.
Streptococcaceae	Streptococcus	sp.
Spirochaetaceae	Treponema	pallidum
Mycoplasmataceae	Ureaplasma	urealyticum
Vibrionaceae	Vibrio	cholerae
Vibrionaceae	Vibrio	harveyi
Vibrionaceae	Vibrio	parahaemolyticus
Vibrionaceae	Vibrio	vulnificus
Enterobacteriaceae	Yersinia	enterocolitica
Enterobacteriaceae	Yersinia	pestis
Enterobacteriaceae	Yersinia	pseudotuberculosis
