Family	Genus	EU_bathing_water_indicators	coliforms	WHO_drinking_water_pathogens	WHO_pot_drinking_water_pathogens		
Enterococcaceae	Enterococcus	Y					
Enterobacteriaceae	Escherichia	Y		Y			
Enterobacteriaceae	Citrobacter	Y	Y				
Enterobacteriaceae	Enterobacter	Y	Y		Y		
Hafniaceae	Hafnia	Y	Y				
Enterobacteriaceae	Klebsiella	Y	Y		Y		
Burkholderiaceae	Burkholderia			Y			
Campylobacteraceae	Campylobacter			Y			
Francisellaceae	Francisella			Y			
Legionellaceae	Legionella			Y			
Mycobacteriaceae	Mycobacteria			Y			
Enterobacteriaceae	Salmonella			Y			
Enterobacteriaceae	Shigella			Y			
Vibrionaceae	Vibrio			Y			
Moraxellaceae	Acinetobacter				Y		
Aeromonadaceae	Aeromonas				Y		
Helicobacteraceae	Helicobacter				Y		
Leptospiraceae	Leptospira				Y		
Pseudomonadaceae	Pseudomonas				Y		
Staphylococcaceae	Staphylococcus				Y		
Tsukamurellaceae	Tsukamurella				Y		
Enterobacteriaceae	Yersinia				Y		
