Genus	Genus_full	Species_full
Aeromonas	Aeromonas spp.	"enteropelogene, caviae, hydrophila,"
		"sobria, veronii"
Arcobacter	Arcobacter	
Bacillus	Bacillus	anthracis
Bordetella	Bordetella spp.	"bronchiseptica, parapertussis, pertussis"
Brevibacterium	Brevibacterium	linens
Brucella	Brucella	melitensis
Burkholderia-Caballeronia-Paraburkholderia	Burkholderia spp.	"cepacia, pseudomallei"
Campylobacter	Campylobacter spp.	"jejuni, coli"
Chlamydia	Chlamydia	trachomatis
Chlamydia	Chlamydophila spp.	"pneumonia, psittaci"
Clostridium sensu stricto 1	Clostridium spp.	"argentinense, baratii, botulinum,"
Clostridium sensu stricto 13		"perfringens, tetani"
Clostridium sensu stricto 18		
Clostridium sensu stricto 15		
Corynebacterium	Corynebacterium	diphtheria
Enterobacter	Enterobacter spp.	"aerogenes, cloacae, faecium"
Enterococcus	Enterococcus spp.	"faecalis, faecium"
Escherichia-Shigella	Escherichia	coli 0157:H7 (enterohemorrhagic)
Francisella	Francisella	tularensis
Haemophilus	Haemophilus	influenza
Helicobacter	Helicobacter	pylori
Klebsiella	Klebsiella spp.	"pneumoniae, oxytoca"
Legionella	Legionella spp.	"anisa, bozemanii, longbeachae, pneumophila"
Leptospira	Leptospira	interrogans
Listeria	Listeria	monocytogenes
Moraxella	Moraxella	catarrhalis
Mycobacterium	Mycobacterium spp.	"avium, bovis, chelonae, fortuitum, kansasii, leprae, phlei, scrofulaceum, tuberculosis"
Mycoplasma	Mycoplasma	pneumonia
Neisseria	Neisseria	meningitidis
Nocardia	Nocardia spp.	"asteroides, brasiliensis"
Plesiomonas	Plesiomonas	shigelloides
Pseudomonas	Pseudomonas	aeruginosa
Salmonella	Salmonella spp.	"enteriditis, paratyphi, typhi"
Serratia	Serratia	marcescens
Escherichia-Shigella	Shigella spp.	"boydii, dysenteriae, flexneri, sonnei"
Staphylococcus	Staphylococcus spp.	"aureus, epidermis, haemolyticus,"
		"lugdunensis, saprophyticus, schleiferi"
Stenotrophomonas	Stenotrophomonas	maltophilia
Streptococcus	Streptococcus spp.	"bovis, enterica, milleri, pneumonia, pyogenes"
Vibrio	Vibrio	cholerae
Yersinia	Yersinia spp.	"enterocolitica, pestis"
