	megablast	blastn	qiime_blastn	qiime_sklearn	mapseq	centrifuge	kraken2	minimap2(12)	mothur(6)	idtaxa	rdp	sintax	spingo(8)	gt
0015cd0e-f1ca-4534-a3e6-cb632096231d	Enterococcaceae		Enterococcaceae	Enterococcaceae	Enterococcaceae	Bacillaceae	Enterococcaceae	Enterococcaceae		Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae
0017d8bf-2f3a-48aa-b643-28d218714951	Bacillaceae	Bacillaceae	Dikarya	Dikarya	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
001824c6-57fa-4ab9-a425-407921e4dac2	Enterobacteriaceae	Enterobacteriaceae	Dikarya	Dikarya	Enterobacteriaceae	Methylomonaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
001d1493-8ebb-425e-9992-627edf168962	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
002420f7-9f48-4fa6-bfe6-3777c20c3887	Enterobacteriaceae		Dikarya	Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Staphylococcaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
0026601d-68ee-42c5-885f-e2c4facab10c	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
0032747c-92ce-44fb-b09f-498fe87f5a72	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
00348010-b211-4631-8d60-9db2005ced48	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
003caab8-54e6-48a5-a9ab-6e5671cf2582	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Planococcaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
0043153c-00aa-4672-8bd0-1b7a33d09166	Staphylococcaceae	Staphylococcaceae	Dikarya	Dikarya	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
004c0923-d213-4f52-94b1-f9a38317db6f	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
0055d13f-d983-40a4-a96c-e9c2523903be	Listeriaceae		Listeriaceae	Listeriaceae	Listeriaceae	Listeriaceae	Listeriaceae	Listeriaceae		Listeriaceae	Carnobacteriaceae	Listeriaceae	Listeriaceae	Listeriaceae
005ab6b1-e547-4f8c-9a06-8fcc87c81873	Lactobacillaceae	Lactobacillaceae	Dikarya	Dikarya	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Carnobacteriaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae
005bea69-e3ad-43fc-b156-a688970b0cd8	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
006b5114-c9c5-49fa-a580-66e439863005			Dikarya	Dikarya			Enterobacteriaceae			Puniceicoccaceae	Enterobacteriaceae	uncultured	Aphanizomenon flos-aquae WA102	Dikarya
006bb669-6453-4904-a6d4-c75883b8c7f4	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae		Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae
006fde9d-3996-4e5a-bec9-9958c6d04083	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
007df8f6-b910-4c2a-844b-5fad9c8fd2e1	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
0083da10-89b2-41ec-8c48-31d9a3bd1bfe	Enterobacteriaceae	Enterobacteriaceae	Dikarya	Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
00889bf3-8792-4bcc-90d5-3db5d59d74bb	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
008e88b7-23c6-4d03-ac1e-dd564ff1f74e	Enterobacteriaceae		Dikarya	Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
0093640f-4d81-4f71-9d46-c5825b9fd76d	Lactobacillaceae	Lactobacillaceae			Lactobacillaceae		Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Carnobacteriaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae
009f111f-0d79-49d2-af21-831066494668	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
00a77fcc-6edc-43d7-9f83-c5797ebe0125	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
00b05d21-0aca-429a-92fd-6ea7198240a4	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
00b31a21-56fa-47cf-ba5a-ccf2e52f5d38	Staphylococcaceae	Enterococcaceae	Dikarya	Dikarya	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Carnobacteriaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
