	megablast	blastn	qiime_blastn	qiime_sklearn	mapseq	centrifuge	kraken2	minimap2(12)	mothur(6)	idtaxa	rdp	sintax	spingo(8)	gt
00029e36-a8a1-475e-bbe9-a476734063a3	Enterobacteriaceae			Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
00046df4-85bf-487a-aff6-7ac9bc8f1749	Staphylococcaceae			Dikarya	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
0005739f-9cba-412b-ab87-748ab2bc4c28	Enterobacteriaceae			Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
000a11be-daa5-4dd9-bd89-96577851e723	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
000b0f5b-8b0b-424d-81a7-40eb29884e02	Enterobacteriaceae			Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
0015cd0e-f1ca-4534-a3e6-cb632096231d			Enterococcaceae											
0017d8bf-2f3a-48aa-b643-28d218714951			Dikarya											
001824c6-57fa-4ab9-a425-407921e4dac2			Dikarya											
001d1493-8ebb-425e-9992-627edf168962			Enterobacteriaceae											
001f3978-7a2a-4fee-a18a-fe5a4df2df9a	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
002420f7-9f48-4fa6-bfe6-3777c20c3887			Dikarya											
0026601d-68ee-42c5-885f-e2c4facab10c			Enterobacteriaceae											
0026980a-394f-4285-b6ac-a42d4a5980cb	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
0029e4e4-438f-424d-99ac-7e1179133151	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
0032747c-92ce-44fb-b09f-498fe87f5a72			Enterobacteriaceae											
00348010-b211-4631-8d60-9db2005ced48			Enterobacteriaceae											
003caab8-54e6-48a5-a9ab-6e5671cf2582			Bacillaceae											
003d1316-7622-456d-a214-4eb47367125a												uncultured	Thalassiosira pseudonana	
0043153c-00aa-4672-8bd0-1b7a33d09166			Dikarya											
004c0923-d213-4f52-94b1-f9a38317db6f			Enterobacteriaceae											
004de7d0-f040-4446-8f28-df3e20ef5830	Bacillaceae	Bacillaceae		Dikarya	Bacillaceae	Staphylococcaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
005192a6-aafa-4e4f-b543-0a503b420b20	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
0055d13f-d983-40a4-a96c-e9c2523903be			Listeriaceae											
005ab6b1-e547-4f8c-9a06-8fcc87c81873			Dikarya											
005bea69-e3ad-43fc-b156-a688970b0cd8			Enterobacteriaceae											
005def7b-8185-4b7a-8ddd-228199420d36	Listeriaceae	Listeriaceae		Dikarya	Listeriaceae		Listeriaceae	Listeriaceae		Listeriaceae	Listeriaceae	Listeriaceae	Listeriaceae	Listeriaceae
006b5114-c9c5-49fa-a580-66e439863005			Dikarya											
006bb669-6453-4904-a6d4-c75883b8c7f4			Enterococcaceae											
006fde9d-3996-4e5a-bec9-9958c6d04083			Staphylococcaceae											
0071bec1-0b8d-45c9-9963-5758b0126317	Enterococcaceae			Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterococcaceae	Carnobacteriaceae	Enterococcaceae	Enterobacteriaceae	Enterobacteriaceae
00756dfd-76f8-42ec-8008-c513335414eb	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
0078442a-5aa9-46f0-8b84-a86d731e0331	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
007df8f6-b910-4c2a-844b-5fad9c8fd2e1			Staphylococcaceae											
007e9fc7-29ce-4da3-8032-3960ea9c4040	Staphylococcaceae			Dikarya	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
007ea92e-5f20-411e-af89-1230914544f1	Enterobacteriaceae			Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
0083da10-89b2-41ec-8c48-31d9a3bd1bfe			Dikarya											
00889bf3-8792-4bcc-90d5-3db5d59d74bb			Enterobacteriaceae											
008dac34-f41d-4b47-91d5-61f882722767	Enterobacteriaceae			Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
008e88b7-23c6-4d03-ac1e-dd564ff1f74e			Dikarya											
00929e2c-6cbd-4b86-9305-1afa9f96de81	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
