V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101
Bacillaceae	4717	4829	4725	4717	4735	4723	4695	4834	4763	4611	4791	4795	4780	4655	4727	4651	4832	4708	4819	4706	4769	4616	4693	4671	4770	4711	4575	4628	4716	4828	4728	4847	4773	4619	4713	4745	4830	4833	4598	4766	4697	4750	4922	4768	4751	4845	4721	4726	4764	4865	4688	4736	4776	4695	4719	4627	4787	4653	4769	4731	4770	4728	4775	4722	4758	4806	4731	4677	4802	4902	4768	4654	4772	4749	4776	4727	4694	4693	4752	4778	4767	4756	4739	4763	4770	4724	4885	4621	4616	4816	4676	4788	4782	4854	4768	4579	4756	4818	4672	4700
Burkholderiaceae	38	47	51	52	49	52	61	49	34	45	47	46	60	54	53	52	47	59	57	59	42	53	41	41	50	47	50	54	50	40	55	45	43	35	40	61	48	52	46	46	48	52	50	49	57	41	41	34	48	56	56	59	51	40	53	43	49	42	47	49	58	49	53	48	54	39	49	61	46	53	49	43	53	51	42	48	40	51	53	57	56	41	39	41	51	49	61	50	57	55	47	49	63	63	47	43	48	40	42	43
Carnobacteriaceae	8	18	16	11	8	11	15	13	8	21	14	19	11	11	11	13	9	16	14	6	14	10	13	18	8	6	15	10	9	17	9	15	21	13	16	6	8	9	12	13	8	13	12	14	15	16	10	11	13	9	10	9	13	6	9	16	6	15	11	15	8	6	17	11	17	19	15	12	7	9	9	11	9	13	11	14	7	11	16	11	10	9	13	12	11	14	19	13	14	10	11	17	10	16	17	11	13	15	14	7
Diplorickettsiaceae	2	1	0	0	1	0	3	1	1	2	3	2	0	2	1	0	1	1	3	2	1	0	1	2	1	0	0	2	2	1	1	1	3	1	0	0	0	1	2	1	1	0	2	1	2	2	1	1	2	4	3	2	0	0	0	2	0	0	1	0	2	1	0	1	1	0	0	1	6	0	1	2	2	3	2	2	3	2	4	1	0	1	3	0	0	1	0	2	1	3	0	3	0	1	4	1	1	3	1	4
Enterobacteriaceae	21471	21356	21355	21475	21467	21311	21283	21404	21353	21458	21222	21378	21338	21418	21474	21488	21437	21475	21421	21468	21454	21586	21363	21531	21451	21532	21624	21610	21507	21484	21387	21328	21354	21434	21485	21471	21384	21587	21565	21568	21690	21536	21336	21456	21391	21356	21326	21479	21557	21372	21427	21344	21413	21663	21519	21600	21481	21656	21533	21487	21355	21588	21525	21490	21421	21450	21379	21417	21422	21355	21383	21558	21407	21482	21498	21447	21421	21607	21448	21531	21314	21415	21589	21545	21429	21481	21227	21539	21406	21583	21643	21231	21415	21358	21486	21432	21544	21529	21480	21537
Enterococcaceae	1957	1977	1901	1977	1876	1874	1922	1927	1972	1974	1926	1954	1993	2033	1948	1873	1889	1889	1938	1913	1916	1887	1913	1845	1892	1900	1937	1820	1899	1885	1959	1905	1904	1860	1919	1926	1895	1807	1954	1841	1809	1897	1832	1911	1972	1887	1890	1924	1849	1955	1980	1916	1921	1883	1934	1901	1911	1935	1886	1875	1939	1828	1925	1942	1925	1910	1957	1933	1917	1859	2021	1894	1967	1864	1906	1907	1940	1902	1917	1836	1971	1884	1852	1870	1956	1925	1924	1911	1975	1874	1929	2017	1880	1915	1883	2013	1915	1844	1975	1940
Family XII	5	3	1	1	4	3	6	1	5	6	2	4	5	7	6	5	7	6	10	4	3	4	3	5	6	6	5	2	4	5	3	3	5	6	0	6	7	3	8	9	1	2	7	9	6	5	5	9	1	5	2	3	3	2	7	7	4	8	4	3	8	4	3	6	4	2	5	5	3	3	4	4	4	5	5	5	6	4	7	4	3	5	2	6	6	6	4	2	4	5	5	5	2	2	4	4	2	6	3	1
Flavobacteriaceae	3	2	1	2	1	1	0	1	0	0	1	0	1	1	3	0	0	2	0	1	1	1	2	1	0	0	0	1	1	1	1	0	1	2	1	0	3	0	0	2	0	0	1	1	1	2	0	1	0	1	1	0	3	1	0	1	1	1	3	2	0	0	2	3	1	0	1	0	1	0	0	0	0	1	2	1	2	0	2	0	1	0	0	1	1	0	1	2	0	2	1	1	0	1	0	1	1	0	0	0
Lactobacillaceae	1707	1768	1837	1731	1757	1818	1790	1704	1759	1838	1758	1796	1813	1747	1728	1792	1829	1801	1778	1808	1781	1791	1840	1786	1782	1766	1732	1787	1789	1737	1750	1811	1806	1847	1782	1846	1775	1696	1777	1792	1750	1763	1844	1858	1847	1786	1897	1803	1795	1739	1774	1772	1771	1728	1736	1787	1784	1717	1684	1844	1843	1813	1751	1814	1828	1725	1839	1805	1757	1852	1793	1849	1734	1811	1798	1798	1771	1772	1802	1809	1824	1753	1802	1715	1824	1730	1763	1771	1826	1692	1738	1759	1744	1701	1756	1734	1759	1819	1795	1801
Listeriaceae	2978	2914	2982	3001	3020	2974	3052	2949	2955	2915	3036	2949	2886	2916	2982	2973	2965	2940	3006	2932	2978	2972	3000	2970	3004	2956	2968	2968	2955	2942	2953	3024	2976	3087	2951	2910	2975	2904	3002	2951	2968	2947	2936	2898	2909	2919	2988	2925	2930	2983	2977	2952	2945	2922	2926	2903	3035	2930	2993	2949	2963	2853	2893	2967	2951	2891	3002	2908	2971	2888	2920	2922	2943	2923	2910	2965	2988	2965	2850	2918	2995	2979	2893	2895	2841	2976	2950	2955	3044	2944	2936	3014	2984	2919	2922	3022	2944	2931	2979	2928
