V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101
1174-901-12	0	0	0	0	1	2	2	0	0	0	1	0	0	1	0	0	2	0	0	0	0	2	0	1	0	0	1	1	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	1	0	1	1	0	0	0	2	0	1	0	0	2	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	2	2	0	1	0	2	0	1	1
966-1	1	1	4	2	1	2	3	3	0	1	3	0	2	4	1	5	2	2	1	3	2	2	4	3	1	2	1	0	3	2	5	2	4	5	5	3	1	3	1	4	1	1	3	3	3	5	4	0	0	3	6	4	6	2	3	4	0	1	4	2	3	0	1	2	4	2	3	1	1	2	3	2	5	2	5	0	1	1	2	0	1	2	1	4	1	2	2	4	6	0	4	3	1	2	1	2	5	2	2	2
AAP99	1	4	6	4	2	2	1	1	1	3	3	2	1	3	3	4	3	1	1	2	3	3	1	4	0	3	2	1	1	4	5	2	6	6	2	5	1	2	3	1	2	1	1	2	4	1	0	3	3	3	3	3	4	0	5	4	1	1	0	3	2	2	2	5	1	1	4	1	1	2	2	3	2	4	3	1	2	3	2	1	1	0	3	2	7	2	2	4	2	2	4	5	1	4	1	3	4	0	3	1
AKYG587	0	1	0	0	0	0	0	0	3	0	2	0	1	0	0	0	1	1	0	2	2	1	1	1	0	0	0	0	1	1	0	1	3	1	1	0	1	2	0	0	0	0	1	0	2	1	2	1	0	1	0	0	0	1	1	0	2	0	1	2	0	1	1	1	0	1	0	0	2	1	1	3	1	0	1	1	0	2	0	0	0	0	1	1	0	0	1	1	1	1	3	1	1	0	0	3	1	0	0	1
Acanthopleuribacter	1	0	0	0	2	1	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	1	0	0	1	0	0	0	2	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	0	0	1	1	1	1	0	0	0	1	3	0
Acetanaerobacterium	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	1	0	0	0	1	2	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	1	1	3	3	2	0	0	1	2	0	0	1	1	1	1	0	0	0	1
Acetobacterium	0	1	0	1	2	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	1	0	1	0	0	1	1	0	1	0	0	2	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	2	0	0	0	2	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	1	0	2	1	0	1	1
Acetobacteroides	2	0	0	1	0	1	1	1	1	0	0	0	0	0	0	1	1	2	1	1	0	1	0	0	1	0	0	2	0	1	1	0	1	2	2	0	1	1	1	2	0	1	2	1	0	1	1	1	0	0	0	1	2	0	0	0	1	1	0	1	0	1	4	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	2	0	1	0	0	1	0	1	0	0	1	1	0	0	3	1	0	0
Acidaminobacter	4	1	2	0	2	3	4	3	0	5	4	3	0	3	0	6	3	1	5	4	5	5	2	6	2	1	1	2	3	2	1	5	3	3	7	3	3	2	7	1	3	4	4	0	2	4	1	4	1	2	3	4	2	3	1	1	3	3	1	1	4	0	1	4	3	3	1	4	4	5	3	5	4	1	2	1	2	4	1	1	3	2	2	2	2	3	5	2	3	2	2	6	2	5	3	1	3	3	1	3
Acidibacter	2	0	2	0	0	2	1	1	0	0	0	0	1	3	3	1	1	0	1	0	0	0	0	0	1	1	0	2	0	2	0	0	1	3	2	4	1	0	2	1	0	0	0	0	0	0	0	1	2	0	1	1	1	0	0	1	0	2	0	1	0	0	2	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	2	0	0	0	0	1	0	0	2	0	1	1	0
Acidovorax	96	81	80	79	77	77	73	88	83	101	85	88	88	70	89	77	68	99	98	88	91	89	91	77	85	93	78	88	91	89	94	97	87	85	97	87	86	89	85	89	94	91	81	83	78	73	98	90	78	95	72	86	86	86	101	100	88	89	70	72	75	76	85	91	84	100	89	76	78	89	90	94	87	89	88	109	88	66	78	97	88	100	87	77	78	93	98	98	87	95	101	83	95	81	89	96	86	88	81	98
Acinetobacter	8	4	3	3	7	3	7	1	8	2	5	9	5	2	3	4	5	5	7	6	8	6	3	11	5	3	3	3	4	3	2	3	5	7	4	6	5	5	7	1	1	4	1	4	5	6	2	5	4	4	2	4	5	5	4	6	7	3	4	4	3	3	2	1	5	2	3	9	3	6	4	3	3	5	3	3	2	1	6	5	1	3	4	4	4	4	1	4	2	2	1	6	3	5	2	3	4	2	9	2
