V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101
Acidovorax	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	2	0	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1
Acinetobacter	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1
Aeromonas	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0
Alloiococcus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Aquabacterium	0	1	1	4	0	1	1	1	1	1	0	0	0	1	2	0	0	2	0	1	2	0	1	0	0	1	0	0	0	0	1	1	0	0	0	2	0	1	2	0	0	0	2	0	0	0	1	0	0	1	3	1	1	0	2	1	0	0	0	0	1	0	1	0	1	0	1	2	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	1	0	1	0	0
Arcobacter	3	1	4	2	1	7	2	3	4	3	5	6	1	1	1	2	2	1	1	2	2	1	0	4	5	4	4	0	3	3	1	5	4	2	3	1	1	2	2	1	3	3	2	1	3	1	1	2	1	2	2	0	1	2	3	2	2	2	3	5	2	3	6	2	4	2	3	6	3	3	1	3	2	2	2	1	2	2	0	4	4	2	1	2	0	6	1	4	2	0	3	1	1	5	3	1	2	5	5	2
Arenimonas	1	2	0	1	1	0	0	2	0	1	1	0	0	2	1	1	0	0	2	0	1	1	2	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	2	1	1	0	0	0	0	0	1	0	1	0	2	1	2	0	1	0	0	0	1	0	0	0	0	1	2	0	1	0	0	0	0	0	0	1	0	0	2	2	0	0	0	1	1	0	1	0	0	2	0	2	0	0	0	0	0	2
Armatimonas	4	2	5	5	0	0	2	1	0	0	1	2	1	0	1	1	0	3	1	1	0	2	1	1	1	0	1	2	2	1	1	1	1	3	4	1	1	2	1	2	0	1	1	2	1	1	0	2	3	0	1	2	0	0	1	2	1	1	2	1	1	4	0	4	2	2	1	1	3	3	2	0	1	2	3	1	1	2	3	1	2	2	3	0	0	1	0	0	1	0	2	1	2	1	2	0	1	4	3	0
Atlantibacter	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	2	0
Aurantimicrobium	0	0	0	2	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	2	1	2	0	0	1	0	2	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	3	1	0	2	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	3	0	1	0	0	1
BD1-7 clade	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacillus	4419	4318	4353	4441	4441	4441	4415	4343	4472	4460	4490	4442	4391	4476	4410	4365	4512	4541	4395	4490	4369	4483	4448	4600	4389	4360	4545	4508	4493	4452	4435	4479	4500	4401	4373	4474	4485	4337	4463	4445	4475	4427	4485	4419	4315	4337	4488	4433	4359	4451	4546	4453	4446	4467	4487	4376	4444	4410	4501	4507	4481	4478	4434	4449	4397	4428	4415	4392	4525	4402	4462	4351	4409	4319	4401	4378	4475	4448	4454	4368	4434	4403	4401	4399	4375	4504	4413	4420	4466	4433	4483	4527	4503	4395	4399	4486	4399	4425	4435	4378
Buttiauxella	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	2	0	0	1	1	0	2	0	0	0	0	1	0	1	3	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0
Candidatus Aquiluna	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Candidatus Methylopumilus	1	1	0	0	0	0	1	0	0	3	0	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	3	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	1	1	2	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0
Candidatus Omnitrophus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Candidatus Planktoluna	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Candidatus Symbiobacter	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	1	2	0	0	1	0	0	0	1	0	2	0	0	0	0	1	0	1	1	2	1	2	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Carnobacterium	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cedecea	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Chitinibacter	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Citrobacter	104	108	121	106	108	90	115	114	98	120	96	113	107	90	112	106	86	122	97	100	113	104	108	107	101	87	104	77	116	100	117	96	115	101	108	104	87	105	92	115	86	120	109	106	110	87	111	139	97	96	116	107	106	95	113	105	106	99	100	94	103	93	99	105	115	112	111	91	120	107	94	101	120	110	118	89	106	95	100	107	89	104	112	102	101	101	98	115	106	101	106	105	86	114	95	94	106	114	101	106
Clostridium sensu stricto 1	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	2	1	0	0	0	0	1	0	1	1	1	2	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	2	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1
Cronobacter	2	2	2	3	4	3	1	1	4	3	2	3	4	3	4	3	5	1	3	2	4	2	3	0	4	4	0	2	2	2	2	3	2	1	1	1	3	3	3	1	1	2	1	4	1	2	3	1	0	2	5	1	3	2	4	1	3	3	4	2	4	3	3	3	1	5	2	1	3	1	1	2	1	4	2	2	4	5	4	2	4	1	2	4	3	7	1	7	3	4	4	4	1	2	3	1	1	2	1	1
Curvibacter	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0
Devosia	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Dickeya	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Dinghuibacter	0	0	0	0	1	0	1	0	1	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	1	0	1	2	0	0	1	0	0	0	1	1	1	0	0	2	0	0	1	2	1	0	0	1	0	1	0	1	0	1	0	2	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	1	0	1
Duganella	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1
Edwardsiella	1	1	1	1	0	0	2	1	0	2	0	2	3	1	1	1	0	1	1	0	1	0	2	2	1	1	2	1	2	0	2	0	0	0	0	3	1	1	2	1	0	1	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	2	0	1	1	1	0	1	0	2	0	1	1	1	2	2	1	0	4	0	1	2	2	4	0	3	1	3	0	2	1	1	0	1	0	2	1	2	1	0	1	0	0	1
Ellin6067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacillus	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	0
Enterobacter	38	43	46	40	40	46	48	52	41	36	50	42	50	48	48	36	43	43	50	43	58	59	43	50	52	52	44	43	38	38	50	50	40	34	47	46	35	40	52	46	43	41	40	49	47	46	39	32	49	50	44	48	37	52	46	49	37	40	45	54	45	43	48	38	55	32	35	35	44	41	52	35	34	49	53	32	48	52	44	57	54	52	46	42	53	46	40	64	64	41	44	53	44	49	32	49	57	51	45	52
Enterococcus	1767	1753	1761	1739	1721	1681	1722	1777	1777	1690	1716	1703	1667	1738	1750	1722	1691	1708	1698	1748	1739	1676	1728	1761	1712	1780	1718	1710	1768	1689	1774	1689	1648	1699	1706	1702	1707	1660	1686	1726	1791	1738	1746	1714	1697	1691	1695	1695	1710	1734	1661	1701	1739	1753	1700	1701	1715	1678	1775	1736	1720	1694	1723	1666	1792	1670	1736	1682	1806	1747	1631	1782	1745	1721	1756	1793	1779	1708	1742	1744	1750	1734	1684	1761	1761	1803	1789	1667	1655	1766	1710	1650	1744	1733	1714	1716	1708	1772	1747	1714
Erwinia	1	0	1	0	0	0	2	1	0	0	1	2	1	2	0	1	1	0	0	0	0	2	1	0	1	1	0	1	1	1	0	2	1	0	1	2	0	1	1	0	0	0	1	0	1	0	3	1	0	2	2	2	0	2	2	0	1	0	2	0	1	1	1	2	2	1	0	0	0	0	1	1	1	0	4	0	0	0	0	1	0	1	0	2	0	1	2	0	1	1	0	1	0	0	0	0	0	1	1	0
Escherichia-Shigella	11902	11870	11788	12118	12042	12033	11813	12073	11827	11817	12119	11991	11950	12136	12069	12030	11976	11884	11997	11779	11945	11810	12058	11846	12004	11989	11832	11938	11921	11875	11913	11946	11903	11956	12052	11816	11857	12082	11939	11918	11895	11942	11942	11908	12044	11816	11887	11924	11875	11976	11969	11835	11921	11811	11890	12079	11865	12094	11815	12099	11915	11941	12018	11836	11885	12004	11834	12056	11958	11869	11875	12002	11897	12051	11893	11923	11888	11856	11947	11905	11802	11955	11956	11931	11982	11976	11967	11903	11760	11942	11834	11750	11979	11819	11911	11864	11921	12035	11900	11860
Exiguobacterium	6	7	12	3	8	4	8	4	7	8	2	7	5	5	10	6	6	5	6	7	10	4	3	8	3	6	1	3	1	6	4	7	8	5	4	2	5	8	6	7	8	5	11	3	7	7	9	7	7	5	9	3	7	8	8	6	8	9	5	9	6	3	7	8	7	11	4	8	6	5	8	9	9	6	3	9	8	12	6	8	7	4	9	13	6	11	4	9	4	4	5	6	5	8	9	4	3	7	9	8
Flavobacterium	2	1	2	3	3	1	3	1	3	5	3	2	0	1	1	1	1	2	1	0	1	0	0	1	1	1	2	0	1	1	2	2	2	2	1	0	0	2	0	0	0	0	0	1	1	0	2	3	1	2	0	0	3	2	1	1	1	0	0	2	0	1	1	1	2	0	1	1	2	2	0	0	0	1	0	1	2	2	1	1	0	2	1	0	0	2	0	0	2	0	2	0	0	0	0	3	0	2	0	0
Fluviicola	1	0	0	0	1	0	2	0	0	1	1	0	1	0	0	0	2	0	0	1	2	2	2	0	0	1	1	0	1	1	0	4	1	0	2	0	3	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	2	1	0	0	0	1	0	1	1	0	1	0	2	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0
Franconibacter	1	0	0	1	2	0	0	2	1	0	0	1	1	0	0	1	2	0	0	0	0	0	1	1	0	1	0	0	3	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	2	1	1	1	1	1	0	0	0	0	1	0	0	0	3	2	1	1	0	0	1	0	1	0	0	0	0	2	2	0	2	0	1	1	2	1	0	1	1	1	0	0	0	0	0	0	2	0	1	0	0	2	1	0
GKS98 freshwater group	2	1	1	2	0	1	1	2	1	2	0	1	2	2	4	0	1	1	0	0	1	1	0	1	3	0	0	2	2	0	0	1	3	0	1	0	0	2	1	1	0	0	2	1	1	1	0	0	0	1	0	0	0	0	1	2	0	1	1	1	1	1	0	0	0	0	1	1	0	0	1	0	3	0	0	1	3	1	0	0	1	0	0	2	1	2	0	1	0	1	2	2	1	1	1	0	1	1	2	0
Gemmatimonas	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Granulicatella	22	19	23	30	24	21	23	14	22	30	24	22	24	29	27	26	22	16	23	29	26	23	25	27	22	29	24	21	30	26	23	24	24	34	22	22	27	35	22	23	28	24	25	18	32	19	27	26	30	27	22	30	19	20	22	31	21	22	24	29	37	23	31	26	23	20	30	26	19	22	32	25	18	40	24	13	24	27	20	14	25	25	29	20	27	23	26	29	21	24	35	32	17	18	26	28	22	27	28	17
Haemophilus	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	3	1
