V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101
Aquabacterium	4	1	1	0	0	1	2	3	1	1	0	2	0	1	0	0	1	0	1	1	2	1	0	1	0	0	0	3	4	2	2	0	0	0	1	1	0	4	2	1	1	2	0	2	2	0	1	2	0	1	1	1	1	1	0	3	0	2	1	0	1	0	5	1	2	1	1	0	2	1	1	3	0	1	2	1	2	1	0	0	2	1	1	0	2	0	1	2	1	2	2	3	3	1	1	2	2	3	2	3
Arenimonas	0	1	2	2	1	4	2	0	1	0	0	1	0	0	1	3	1	0	0	1	0	0	2	0	1	0	1	2	1	0	2	1	1	1	0	2	1	1	1	1	1	0	1	1	2	2	1	3	2	1	0	0	1	2	1	0	2	0	1	2	1	0	0	0	0	0	1	4	1	1	1	0	2	1	1	2	1	0	2	0	0	0	3	0	0	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0
Aurantimicrobium	3	1	1	4	0	0	0	2	1	0	4	0	2	2	1	0	1	1	1	1	0	2	2	1	0	1	1	0	0	1	1	3	1	1	0	2	1	1	0	0	1	3	2	1	2	3	4	3	0	0	1	0	1	0	1	0	3	0	0	1	1	2	1	1	1	0	0	2	1	1	1	0	1	1	3	0	1	3	1	0	0	3	1	0	0	0	1	2	1	0	2	1	1	4	1	2	2	1	1	2
Bacillus	4738	4698	4806	4762	4610	4727	4744	4665	4751	4770	4759	4757	4737	4813	4651	4734	4798	4734	4775	4660	4781	4762	4824	4735	4745	4775	4773	4805	4721	4780	4708	4814	4791	4629	4676	4800	4857	4608	4730	4568	4777	4682	4705	4652	4777	4682	4793	4664	4878	4720	4743	4773	4743	4666	4766	4757	4675	4797	4767	4755	4735	4700	4639	4635	4723	4704	4737	4918	4774	4592	4813	4654	4780	4695	4742	4761	4744	4742	4770	4638	4701	4829	4679	4723	4866	4820	4683	4737	4699	4703	4660	4855	4875	4706	4744	4767	4657	4716	4704	4723
Citrobacter	53	55	51	63	55	62	68	58	72	67	54	46	60	69	51	50	59	58	53	63	63	60	56	46	62	54	64	49	52	52	48	76	65	55	56	69	67	63	55	72	43	58	56	59	69	58	72	65	65	58	52	55	66	64	54	63	52	50	57	52	58	59	68	48	52	62	57	74	55	73	60	51	62	48	67	68	49	73	68	54	61	54	55	64	63	58	56	60	70	70	60	49	59	55	46	59	62	61	57	49
Cronobacter	1	2	0	3	1	1	1	1	2	2	1	2	7	5	3	0	0	3	2	3	3	0	2	2	0	2	0	0	2	2	2	1	2	0	3	1	2	1	0	0	2	2	1	0	2	1	1	3	1	3	3	1	1	1	2	2	4	0	4	1	2	1	3	2	3	0	0	1	1	4	2	1	4	3	3	2	1	2	1	3	1	5	3	3	1	3	2	1	0	2	2	3	3	2	1	2	0	3	4	3
Enterobacter	32	37	33	27	26	27	26	28	37	30	28	29	28	39	26	22	28	25	24	27	30	36	28	34	34	35	33	30	23	31	36	29	35	34	31	34	20	35	26	25	30	27	22	32	32	31	30	31	33	25	23	31	22	37	37	26	35	29	37	34	27	25	27	25	33	31	22	34	27	30	20	27	30	41	36	30	29	29	29	33	24	28	29	30	42	24	36	21	31	26	37	30	31	27	38	24	29	22	35	31
Enterococcus	1886	1887	1974	1893	1897	1962	1895	1895	1856	1885	1839	1874	1937	1941	1925	1957	1936	1916	1949	1944	1931	1943	1857	1899	1927	1857	1931	1885	1895	1922	1921	1887	1936	1958	1934	1913	1981	1928	1958	1984	1898	1988	1917	1966	1905	1973	1906	1984	1954	1895	1930	1910	1991	1927	1949	1921	1891	1930	1863	1892	1980	1899	1906	1862	1896	1887	1973	1910	1889	1918	1876	1941	1979	1996	1826	1944	1957	1940	1927	1963	1878	1809	1920	1932	1911	1908	1925	1891	1906	1907	1959	1987	1879	1939	1961	1940	1954	1916	1935	1889
Escherichia-Shigella	11022	11124	10945	11052	11129	11035	11161	11217	11157	11328	11206	11067	11031	11163	11190	11061	11105	11150	11083	11186	11076	11008	11118	11006	11073	11176	11093	11119	11135	11044	11117	11279	11109	11052	11178	10918	11068	11161	11101	11163	11130	11035	11227	11194	11076	11039	11031	11139	10998	11275	11074	11104	11252	11193	11218	11133	11128	11149	11119	11079	11023	11012	11056	11284	11264	11078	11168	10995	10936	11149	11240	11214	11077	11021	10983	11146	11156	11093	11051	11073	10914	11107	11107	10926	10979	10926	11059	11134	11164	11091	11119	11096	11040	11130	11115	11154	11137	10967	11022	11127
Exiguobacterium	4	5	2	4	5	8	5	5	1	8	3	5	5	6	2	5	3	5	5	7	3	5	4	3	6	9	3	4	7	9	3	8	1	5	7	4	2	6	9	3	4	2	4	3	5	2	2	5	4	5	9	6	7	4	3	9	0	6	5	5	2	6	2	9	4	3	6	2	9	6	7	5	5	1	4	3	6	4	3	3	5	7	5	4	6	5	4	2	4	10	2	3	5	6	2	3	0	4	6	6
