	1-April_family.tsv	1-August_family.tsv	1-June_family.tsv	2-April_family.tsv	2-August_family.tsv	3-April_family.tsv	4-April_family.tsv	4-August_family.tsv	5-April_family.tsv	5-August_family.tsv	6-August_family.tsv	6-June_family.tsv	7-April_family.tsv	8-April_family.tsv	9.1-August_family.tsv	9.2-August_family.tsv	Mock-April_family.tsv	Mock-August_family.tsv	Mock-June_family.tsv	N-August_family.tsv
0319-6G20	11.0	6.0	17.0	11.0	8.0	10.0	25.0	17.0	25.0	18.0	16.0	4.0	259.0	45.0	9.0	6.0	0.0	0.0	0.0	0.0
053A03-B-DI-P58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27F-1492R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37-13	1.0	2.0	0.0	0.0	0.0	3.0	1.0	2.0	10.0	3.0	1.0	0.0	2.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
4572-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67-14	0.0	2.0	3.0	36.0	15.0	0.0	1.0	9.0	0.0	1.0	2.0	0.0	1.0	19.0	35.0	40.0	0.0	0.0	0.0	0.0
A0839	1.0	3.0	2.0	4.0	7.0	0.0	1.0	6.0	5.0	4.0	2.0	0.0	16.0	9.0	8.0	0.0	0.0	0.0	0.0	0.0
A21b	1.0	5.0	0.0	5.0	9.0	0.0	1.0	1.0	1.0	3.0	2.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	11.0
A4b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
AB1	1.0	1.0	7.0	3.0	10.0	6.0	6.0	6.0	5.0	4.0	2.0	0.0	20.0	6.0	15.0	7.0	0.0	0.0	0.0	0.0
AEGEAN-169 marine group	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
AKAU3564 sediment group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AKIW781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AKYH767	6.0	4.0	12.0	9.0	11.0	11.0	13.0	10.0	23.0	7.0	7.0	15.0	9.0	33.0	2.0	18.0	0.0	0.0	0.0	0.0
Acanthopleuribacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacteraceae	2.0	2.0	23.0	20.0	10.0	2.0	2.0	26.0	3.0	12.0	13.0	20.0	71.0	13.0	13.0	21.0	0.0	0.0	0.0	0.0
Acetobacterales Incertae Sedis	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	19.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Acidaminococcaceae	1.0	0.0	0.0	9.0	1.0	2.0	4.0	4.0	4.0	1.0	0.0	3.0	2.0	19.0	2.0	0.0	0.0	0.0	0.0	0.0
Acidiferrobacteraceae	0.0	2.0	3.0	4.0	0.0	1.0	0.0	3.0	6.0	1.0	0.0	0.0	50.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidithiobacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidobacteriaceae (Subgroup 1)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomycetaceae	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
Aeromonadaceae	98.0	122.0	251.0	127.0	65.0	31.0	82.0	123.0	21.0	21.0	33.0	41.0	218.0	244.0	45.0	48.0	1.0	5.0	0.0	88.0
Alcanivoracaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alicyclobacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alteromonadaceae	19.0	32.0	63.0	9.0	13.0	15.0	27.0	60.0	4.0	7.0	4.0	25.0	35.0	7.0	5.0	11.0	0.0	0.0	0.0	9.0
Amb-16S-1323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amoebophilaceae	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerolineaceae	0.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaplasmataceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquaspirillaceae	18.0	8.0	15.0	29.0	11.0	9.0	15.0	11.0	11.0	4.0	2.0	0.0	240.0	24.0	6.0	8.0	0.0	0.0	0.0	0.0
Archangiaceae	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	8.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
Arcobacteraceae	2529.0	223.0	169.0	306.0	176.0	3587.0	1209.0	203.0	2913.0	490.0	356.0	23.0	604.0	4786.0	4560.0	6058.0	3.0	4.0	0.0	1014.0
Arctic95B-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arenicellaceae	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	18.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Armatimonadaceae	4.0	4.0	11.0	12.0	4.0	5.0	9.0	177.0	19.0	289.0	512.0	180.0	2.0	3.0	587.0	439.0	0.0	3.0	0.0	129.0
Azospirillaceae	0.0	11.0	7.0	1.0	52.0	0.0	2.0	88.0	3.0	16.0	16.0	3.0	10.0	0.0	5.0	0.0	0.0	0.0	0.0	119.0
Azospirillales Incertae Sedis	0.0	2.0	0.0	3.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	15.0	27.0	8.0	0.0	0.0	0.0	0.0	0.0
B1-7BS	1.0	8.0	7.0	25.0	16.0	2.0	5.0	20.0	11.0	9.0	3.0	10.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
B122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIrii41	0.0	4.0	0.0	20.0	4.0	5.0	5.0	17.0	6.0	3.0	3.0	1.0	61.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
BSV26	1.0	3.0	0.0	13.0	1.0	0.0	3.0	23.0	21.0	7.0	8.0	1.0	4.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0
Babeliaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacillaceae	2.0	11.0	17.0	13.0	22.0	4.0	10.0	55.0	1.0	42.0	25.0	33.0	6.0	31.0	15.0	15.0	4539.0	4448.0	4717.0	40.0
Bacteriovoracaceae	30.0	7.0	2.0	7.0	1.0	27.0	24.0	19.0	43.0	14.0	12.0	1.0	468.0	15.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteroidaceae	19.0	4.0	0.0	13.0	0.0	22.0	4.0	2.0	11.0	3.0	4.0	0.0	2.0	6.0	5.0	9.0	0.0	0.0	0.0	0.0
Bacteroidetes BD2-2	0.0	7.0	0.0	3.0	20.0	2.0	3.0	2.0	9.0	3.0	3.0	0.0	1.0	1.0	8.0	0.0	0.0	0.0	0.0	0.0
Bacteroidetes vadinHA17	0.0	1.0	0.0	0.0	0.0	0.0	2.0	5.0	4.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Balneolaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Barnesiellaceae	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bdellovibrionaceae	0.0	6.0	3.0	24.0	7.0	0.0	1.0	32.0	5.0	26.0	34.0	25.0	41.0	18.0	14.0	9.0	0.0	0.0	0.0	0.0
Beggiatoaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Beijerinckiaceae	10.0	10.0	19.0	79.0	33.0	12.0	32.0	44.0	19.0	12.0	24.0	22.0	746.0	75.0	41.0	33.0	0.0	0.0	0.0	571.0
Beutenbergiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Blastocatellaceae	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Blfdi19	3.0	8.0	3.0	8.0	6.0	0.0	3.0	7.0	4.0	1.0	3.0	4.0	57.0	4.0	3.0	2.0	0.0	0.0	0.0	0.0
Brocadiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Burkholderiaceae	15459.0	13277.0	16075.0	24435.0	11366.0	11981.0	18829.0	17355.0	15015.0	15911.0	18222.0	27022.0	7238.0	11055.0	5098.0	8269.0	18.0	30.0	38.0	7552.0
C2U	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR-115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Caedibacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	10.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Caldicoprobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Caldilineaceae	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	2.0	0.0	2.0	23.0	2.0	0.0	0.0	0.0	0.0	0.0
Caldisericaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Calditrichaceae	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Campylobacteraceae	2.0	1.0	0.0	0.0	0.0	2.0	2.0	4.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Carnobacteriaceae	39.0	2.0	13.0	69.0	8.0	46.0	54.0	3.0	48.0	17.0	3.0	7.0	33.0	362.0	4.0	4.0	24.0	20.0	8.0	31.0
