	1-April_genus.tsv	1-August_genus.tsv	1-June_genus.tsv	2-April_genus.tsv	2-August_genus.tsv	3-April_genus.tsv	4-April_genus.tsv	4-August_genus.tsv	5-April_genus.tsv	5-August_genus.tsv	6-August_genus.tsv	6-June_genus.tsv	7-April_genus.tsv	8-April_genus.tsv	9.1-August_genus.tsv	Mock-April_genus.tsv	Mock-August_genus.tsv	Mock-June_genus.tsv
1174-901-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
966-1	0.0	1.0	4.0	14.0	2.0	0.0	2.0	2.0	3.0	2.0	2.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0
A7P-90m	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
AAP99	4.0	1.0	1.0	11.0	3.0	6.0	9.0	18.0	28.0	3.0	4.0	0.0	0.0	98.0	3.0	0.0	0.0	0.0
AKYG587	0.0	1.0	0.0	0.0	0.0	0.0	3.0	9.0	0.0	1.0	0.0	4.0	14.0	0.0	2.0	0.0	0.0	0.0
AT-s3-44	0.0	0.0	0.0	4.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Acanthopleuribacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetanaerobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetitomaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Acetoanaerobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacterium	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	2.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
Acetobacteroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetonema	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
Achromobacter	3.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidaminobacter	4.0	2.0	0.0	5.0	6.0	7.0	6.0	8.0	7.0	3.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0
Acidaminococcus	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	3.0	0.0	0.0	0.0
Acidibacter	0.0	0.0	4.0	6.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	1.0	10.0	5.0	0.0	0.0	0.0
Acidiphilium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Acidovorax	543.0	148.0	183.0	1995.0	125.0	368.0	555.0	469.0	508.0	151.0	79.0	100.0	194.0	1016.0	47.0	0.0	0.0	0.0
Acinetobacter	10.0	14.0	20.0	7.0	6.0	2.0	11.0	4.0	7.0	0.0	3.0	3.0	242.0	42.0	2.0	0.0	1.0	0.0
Actibacter	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actimicrobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Actinomyces	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
Actinophytocola	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
