Batch	Date	Barcode	DNA_Concentration	DNA_Total	16S_Concentration	16S_Total	Volumes	Basepairs	Reads	Reads_percent	Reads_classified
1	15.04.2018	1	2.07	103.5	14.7	441	1.76	289748027	200307	9.63	200307
1	15.04.2018	2	4.44	222	12.1	363	2.14	447554174	307575	14.79	307575
1	15.04.2018	3	13	650	17.4	522	1.49	334839810	231219	11.11	231219
1	15.04.2018	4	10.9	545	11.5	345	2.26	335782479	231223	11.12	231223
1	15.04.2018	5	8.93	446.5	12.5	375	2.08	289070263	199990	9.61	199990
1	15.04.2018	6	60	3000	28.3	849	0.92	1387966	927	0.04	927
1	15.04.2018	7	2.89	144.5	14.6	438	1.78	439084680	302948	14.56	302948
1	15.04.2018	8	60	3000	20.5	615	1.27	321570658	221273	10.64	221273
1	15.04.2018	9.1	41.3	2065	10.8	324	2.4	16640011	11453	0.55	11453
1	15.04.2018	9.2	37.7	1885	48.3	1449	0.54	16764500	11540	0.55	11540
1	15.04.2018	P			30.1	903	0.86	531819437	361582	17.38	361582
1	15.04.2018	N	0.05	2.5	1.92	58	13.51	338514	229	0.01	229
2	17.06.2018	1	11.85	592.5	4.48	134	5.68	116718633	80300	10.89	80300
2	17.06.2018	2	18.55	927.5	0.97	29	26.24	13387	9	0.00	9
2	17.06.2018	3	17.45	872.5	2.42	73	10.52	29619	20	0.00	20
2	17.06.2018	4	7.4	370	3.06	92	8.32	35086	24	0.00	24
2	17.06.2018	5	25.4	1270	2.15	65	11.84	36689	25	0.00	25
2	17.06.2018	6	6.24	312	10.9	327	2.34	243524565	169073	22.94	169073
2	17.06.2018	7	23.95	1197.5	1.13	34	22.53	30553	21	0.00	21
2	17.06.2018	8	60	3000	17.8	534	1.43	200590462	140567	19.07	140567
2	17.06.2018	9.1	24.15	1207.5	7.93	238	3.21	245859805	172125	23.35	172125
2	17.06.2018	9.2			2.92	88	8.72	8054377	5620	0.76	5620
2	17.06.2018	P			12.2	366	2.09	250480627	169356	22.97	169356
2	17.06.2018	N	0.05	2.5	1.49	45	17.09	35437	24	0.00	24
3	19.08.2018	1	13.05	652.5	17.9	537	1.45	1226829701	848511	15.45	848511
3	19.08.2018	2	18.05	902.5	1.75	53	14.84	189035272	130892	2.38	130892
3	19.08.2018	3	15.65	782.5	2.72	82	9.55	354333	239	0.00	239
3	19.08.2018	4	5.52	276	7.87	236	3.3	1043731325	718556	13.08	718556
3	19.08.2018	5	23.6	1180	26.1	783	0.99	1256482340	866955	15.79	866955
3	19.08.2018	6	36.35	1817.5	16.2	486	1.6	1249578127	862541	15.71	862541
3	19.08.2018	7	28.9	1445	1.15	35	22.58	474836	323	0.01	323
3	19.08.2018	8	36.55	1827.5	2.94	88	8.83	312441	213	0.00	213
3	19.08.2018	9.1	25.6	1280	3.31	99	7.85	437619443	303112	5.52	303112
3	19.08.2018	9.2	43.05	2152.5	2.34	70	11.1	64141681	44441	0.81	44441
3	19.08.2018	P			43.7	1311	0.59	2457094114	1672018	30.45	1672018
3	19.08.2018	N	0.05	2.5	1.95	59	13.32	63113939	43709	0.80	43709
