	9.1	9.2	8	7	6	5	4	P	3	2	1	N
0319-6G20	93.0	9.0	0.0	0.0	265.0	223.0	268.0	4.0	0.0	19.0	196.0	1.0
053A03-B-DI-P58	1.0	1.0	0.0	0.0	19.0	7.0	5.0	0.0	0.0	0.0	9.0	0.0
27F-1492R	0.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
37-13	2.0	0.0	0.0	0.0	55.0	76.0	28.0	0.0	0.0	2.0	50.0	0.0
4572-13	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
67-14	233.0	34.0	0.0	0.0	54.0	49.0	128.0	1.0	0.0	49.0	69.0	0.0
A0839	51.0	3.0	0.0	0.0	41.0	24.0	97.0	1.0	0.0	22.0	30.0	0.0
A21b	1.0	0.0	0.0	0.0	28.0	43.0	31.0	1.0	0.0	9.0	60.0	17.0
A4b	7.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB1	134.0	6.0	0.0	0.0	30.0	36.0	71.0	1.0	0.0	26.0	37.0	3.0
ADurb.Bin408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
AEGEAN-169 marine group	3.0	0.0	0.0	0.0	3.0	1.0	3.0	0.0	0.0	6.0	1.0	0.0
AKAU3564 sediment group	0.0	0.0	0.0	0.0	9.0	4.0	4.0	0.0	0.0	0.0	3.0	0.0
AKIW781	0.0	1.0	1.0	0.0	1.0	4.0	13.0	0.0	0.0	0.0	0.0	0.0
AKYH767	21.0	13.0	0.0	0.0	157.0	120.0	69.0	0.0	0.0	23.0	127.0	0.0
Acanthopleuribacteraceae	0.0	0.0	0.0	0.0	6.0	0.0	1.0	1.0	0.0	1.0	5.0	0.0
Acetobacteraceae	118.0	18.0	1.0	0.0	309.0	151.0	438.0	4.0	0.0	33.0	62.0	1.0
Acetobacterales Incertae Sedis	18.0	0.0	0.0	0.0	19.0	10.0	22.0	0.0	0.0	19.0	17.0	0.0
Acidaminococcaceae	14.0	0.0	0.0	0.0	27.0	20.0	39.0	0.0	0.0	8.0	19.0	0.0
Acidiferrobacteraceae	2.0	0.0	0.0	0.0	12.0	13.0	28.0	0.0	0.0	0.0	12.0	2.0
Acidithiobacillaceae	0.0	0.0	0.0	0.0	1.0	7.0	0.0	0.0	0.0	0.0	4.0	0.0
Acidobacteriaceae (Subgroup 1)	0.0	0.0	0.0	0.0	0.0	1.0	5.0	1.0	0.0	0.0	2.0	0.0
Acidothermaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Actinomarinaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Actinomycetaceae	4.0	2.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	1.0	6.0	0.0
Aerococcaceae	1.0	0.0	0.0	0.0	2.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0
Aeromonadaceae	259.0	42.0	0.0	1.0	486.0	299.0	1650.0	21.0	0.0	211.0	3097.0	96.0
Akkermansiaceae	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Alcanivoracaceae	0.0	1.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	4.0	0.0
Alicyclobacillaceae	0.0	0.0	0.0	0.0	10.0	4.0	11.0	1.0	0.0	1.0	2.0	0.0
Alteromonadaceae	38.0	14.0	0.0	0.0	72.0	156.0	1092.0	11.0	0.0	40.0	665.0	16.0
Amb-16S-1323	0.0	0.0	0.0	0.0	0.0	3.0	17.0	0.0	0.0	0.0	1.0	0.0
Amoebophilaceae	1.0	0.0	0.0	0.0	10.0	1.0	5.0	0.0	0.0	0.0	6.0	0.0
Anaerolineaceae	1.0	0.0	0.0	0.0	2.0	0.0	29.0	1.0	0.0	0.0	2.0	0.0
Anaplasmataceae	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquaspirillaceae	45.0	11.0	0.0	0.0	54.0	92.0	129.0	0.0	0.0	42.0	259.0	0.0
Archangiaceae	3.0	0.0	0.0	0.0	13.0	16.0	13.0	0.0	0.0	0.0	10.0	1.0
Arcobacteraceae	30976.0	6204.0	8.0	3.0	5894.0	7633.0	2825.0	105.0	5.0	587.0	5069.0	1112.0
Arctic95B-14	0.0	0.0	0.0	0.0	3.0	0.0	17.0	0.0	0.0	1.0	0.0	0.0
Arenicellaceae	0.0	1.0	0.0	0.0	9.0	7.0	18.0	1.0	0.0	0.0	2.0	0.0
Armatimonadaceae	4221.0	419.0	2.0	4.0	8424.0	5087.0	2757.0	57.0	2.0	26.0	127.0	147.0
Atopobiaceae	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
