	9.1	9.2	8	7	6	5	4	P	3	2	1	N
0319-6G20	17.0	1.0	5.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0
053A03-B-DI-P58	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0
37-13	2.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
67-14	11.0	1.0	6.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
A0839	24.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0
A21b	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
A4b	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB1	5.0	0.0	9.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0
AEGEAN-169 marine group	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AKAU3564 sediment group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
AKYH767	8.0	0.0	7.0	0.0	25.0	0.0	0.0	1.0	0.0	0.0	12.0	0.0
Acetobacteraceae	12.0	1.0	7.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0
Acetobacterales Incertae Sedis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Acidaminococcaceae	1.0	0.0	3.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidiferrobacteraceae	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0
Aerococcaceae	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aeromonadaceae	22.0	1.0	6.0	0.0	64.0	0.0	0.0	4.0	0.0	0.0	522.0	0.0
Alicyclobacillaceae	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alteromonadaceae	34.0	0.0	14.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	122.0	0.0
Amoebophilaceae	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerolineaceae	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Anaplasmataceae	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Aquaspirillaceae	3.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0
Arcobacteraceae	133.0	7.0	158.0	0.0	45.0	0.0	0.0	1.0	0.0	0.0	313.0	0.0
Arenicellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
