	9.1	9.2	8	7	6	5	4	P	3	2	1	N
1174-901-12	0.0	0.0	0.0	0.0	6.0	0.0	6.0	0.0	0.0	0.0	2.0	0.0
28-YEA-48	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
966-1	2.0	1.0	0.0	0.0	29.0	38.0	12.0	1.0	0.0	13.0	29.0	0.0
A7P-90m	19.0	2.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0
AAP99	16.0	1.0	0.0	0.0	31.0	58.0	152.0	3.0	0.0	8.0	97.0	0.0
ADurb.Bin063-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
AKIW659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
AKYG587	13.0	0.0	0.0	0.0	10.0	14.0	63.0	0.0	0.0	2.0	9.0	0.0
AT-s3-44	17.0	1.0	0.0	0.0	3.0	15.0	21.0	0.0	0.0	10.0	4.0	0.0
Abiotrophia	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acanthopleuribacter	0.0	0.0	0.0	0.0	6.0	0.0	1.0	1.0	0.0	1.0	5.0	0.0
Acetanaerobacterium	0.0	0.0	0.0	0.0	5.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0
Acetitomaculum	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetivibrio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0
Acetoanaerobium	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0
Acetobacter	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacterium	1.0	0.0	0.0	0.0	5.0	16.0	25.0	0.0	0.0	0.0	22.0	0.0
Acetobacteroides	0.0	0.0	0.0	0.0	8.0	1.0	4.0	0.0	0.0	0.0	2.0	0.0
Acetonema	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Achromobacter	2.0	0.0	0.0	0.0	4.0	5.0	33.0	0.0	0.0	0.0	24.0	0.0
Acidaminobacter	24.0	6.0	0.0	0.0	37.0	70.0	116.0	1.0	0.0	10.0	50.0	0.0
Acidaminococcus	9.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidibacter	21.0	3.0	0.0	0.0	6.0	7.0	57.0	1.0	0.0	0.0	18.0	22.0
Acidiphilium	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0
Acidithiobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
Acidothermus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Acidovorax	206.0	77.0	0.0	0.0	1105.0	1500.0	5854.0	20.0	0.0	399.0	3155.0	57.0
Acinetobacter	18.0	7.0	0.0	0.0	49.0	28.0	40.0	7.0	0.0	15.0	357.0	1.0
Actibacter	1.0	0.0	0.0	0.0	25.0	13.0	0.0	0.0	0.0	0.0	5.0	0.0
Actibacterium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Actimicrobium	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0
Actinobacillus	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
Actinocorallia	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces	1.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	6.0	0.0
Actinomycetospora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Actinoplanes	0.0	0.0	0.0	0.0	1.0	4.0	7.0	0.0	0.0	2.0	7.0	0.0
Acuticoccus	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adhaeribacter	0.0	1.0	0.0	0.0	1.0	3.0	4.0	0.0	0.0	1.0	2.0	8.0
Aeribacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Aerococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
Aeromicrobium	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	12.0	0.0
Aeromonas	163.0	30.0	0.0	1.0	405.0	212.0	913.0	10.0	0.0	57.0	1272.0	96.0
Aerosphaera	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Aestuariimicrobium	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Aetherobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
Afipia	18.0	3.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	2.0	7.0	2.0
Agaricicola	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0
Agathobacter	29.0	1.0	0.0	0.0	65.0	35.0	1.0	1.0	0.0	12.0	13.0	0.0
Aggregatibacter	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
Agreia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Agromyces	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0
Akkermansia	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Albidovulum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Alcaligenes	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0
Alcanivorax	0.0	1.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	4.0	0.0
Algibacter	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Algoriphagus	544.0	114.0	2.0	0.0	208.0	123.0	104.0	3.0	0.0	13.0	50.0	0.0
Alicycliphilus	0.0	0.0	0.0	0.0	3.0	7.0	0.0	0.0	0.0	0.0	8.0	0.0
Alicyclobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0
Aliidongia	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0
Aliihoeflea	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Aliivibrio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Alishewanella	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0
Alistipes	2.0	2.0	0.0	0.0	4.0	7.0	1.0	0.0	0.0	3.0	2.0	0.0
Aliterella CENA595	2.0	0.0	0.0	0.0	4.0	33.0	44.0	0.0	0.0	0.0	0.0	0.0
Alkalibacter	0.0	0.0	0.0	0.0	0.0	2.0	14.0	0.0	0.0	0.0	1.0	0.0
Alkalimarinus	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Alkaliphilus	0.0	0.0	0.0	0.0	0.0	4.0	5.0	0.0	0.0	0.0	2.0	0.0
Alkalitalea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Alkanibacter	0.0	0.0	0.0	0.0	6.0	8.0	20.0	0.0	0.0	10.0	60.0	0.0
Alkanindiges	1.0	0.0	0.0	0.0	2.0	0.0	6.0	0.0	0.0	0.0	17.0	0.0
Allobaculum	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
Allochromatium	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
Alloiococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
Alloprevotella	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	73.0	28.0	0.0	0.0	381.0	273.0	2582.0	7.0	0.0	225.0	408.0	6.0
Alpinimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
Alsobacter	323.0	28.0	0.0	1.0	147.0	47.0	52.0	1.0	0.0	0.0	2.0	0.0
Altererythrobacter	352.0	37.0	0.0	1.0	296.0	232.0	504.0	1.0	0.0	152.0	132.0	5.0
Alterococcus	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Alysiella	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Amaricoccus	46.0	7.0	0.0	0.0	22.0	14.0	80.0	0.0	0.0	23.0	19.0	0.0
Aminobacter	16.0	1.0	0.0	0.0	30.0	15.0	149.0	0.0	0.0	3.0	26.0	0.0
