	9.1	9.2	8	7	6	5	4	P	3	2	1	N
966-1	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0
A7P-90m	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
AAP99	7.0	0.0	10.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0
AKYG587	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetitomaculum	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacterium	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
Acetonema	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Achromobacter	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidaminobacter	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
Acidibacter	2.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0
Acidovorax	43.0	14.0	25.0	0.0	160.0	0.0	0.0	2.0	0.0	0.0	282.0	0.0
Acinetobacter	1.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0
Actibacter	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinoplanes	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
Aerococcus	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aeromicrobium	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aeromonas	14.0	1.0	4.0	0.0	57.0	0.0	0.0	2.0	0.0	0.0	279.0	0.0
Afipia	3.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Agathobacter	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
Algoriphagus	3.0	0.0	3.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alicycliphilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Alistipes	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkalibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
Alkanibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Alkanindiges	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	28.0	4.0	9.0	0.0	86.0	0.0	0.0	1.0	0.0	0.0	98.0	0.0
Alsobacter	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Altererythrobacter	20.0	1.0	9.0	0.0	163.0	0.0	0.0	3.0	0.0	0.0	90.0	0.0
Amaricoccus	33.0	0.0	19.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0
Aminobacter	2.0	0.0	3.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0
Amylibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Anaerocolumna	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerosinus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Anaerosporomusa	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Anaerostipes	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerovorax	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
Ancalomicrobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
Ancylobacter	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
Aphanizomenon NIES81	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0
Aquabacterium	36.0	3.0	29.0	0.0	74.0	0.0	0.0	5.0	0.0	0.0	1707.0	1.0
Aquaspirillum	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0
Aquicella	6.0	0.0	14.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
Aquimonas	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
