	9.1	9.2	8	7	6	5	4	P	3	2	1	N
0319-6G20	13.0	3.0	232.0	1975.0	1.0	78.0	119.0	2.0	78.0	116.0	73.0	0.0
053A03-B-DI-P58	0.0	0.0	4.0	30.0	0.0	4.0	1.0	0.0	0.0	2.0	0.0	0.0
37-13	10.0	1.0	52.0	13.0	0.0	37.0	18.0	0.0	6.0	4.0	6.0	0.0
4572-13	1.0	0.0	0.0	35.0	0.0	1.0	4.0	1.0	0.0	0.0	0.0	0.0
67-14	1.0	1.0	126.0	8.0	0.0	2.0	10.0	0.0	3.0	239.0	2.0	0.0
A0839	0.0	0.0	58.0	117.0	0.0	14.0	8.0	0.0	1.0	42.0	7.0	0.0
A21b	0.0	0.0	11.0	8.0	0.0	11.0	6.0	0.0	2.0	49.0	7.0	0.0
A4b	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
AB1	2.0	0.0	32.0	110.0	0.0	14.0	29.0	0.0	17.0	18.0	7.0	0.0
AEGEAN-169 marine group	0.0	0.0	8.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0
AKAU3564 sediment group	0.0	0.0	0.0	51.0	0.0	2.0	1.0	0.0	1.0	6.0	0.0	0.0
AKIW781	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	3.0	4.0	0.0	0.0
AKYH767	7.0	0.0	273.0	86.0	1.0	130.0	103.0	0.0	45.0	48.0	22.0	0.0
Acetobacteraceae	4.0	0.0	79.0	465.0	0.0	24.0	27.0	0.0	8.0	117.0	6.0	0.0
Acetobacterales Incertae Sedis	0.0	0.0	0.0	84.0	0.0	2.0	0.0	0.0	1.0	5.0	0.0	0.0
Acidaminococcaceae	10.0	3.0	106.0	22.0	0.0	25.0	15.0	0.0	28.0	51.0	18.0	0.0
Acidiferrobacteraceae	1.0	0.0	8.0	327.0	0.0	23.0	3.0	0.0	5.0	44.0	7.0	0.0
Acidihalobacteraceae	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidithiobacillaceae	0.0	0.0	1.0	9.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Acidobacteriaceae (Subgroup 1)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0
Actinomycetaceae	1.0	0.0	12.0	3.0	0.0	1.0	0.0	0.0	0.0	6.0	1.0	0.0
Aerococcaceae	1.0	1.0	4.0	0.0	0.0	1.0	3.0	0.0	2.0	2.0	1.0	0.0
