	9.1	9.2	8	7	6	5	4	P	3	2	1	N
1174-901-12	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
966-1	0.0	0.0	18.0	12.0	0.0	8.0	11.0	0.0	1.0	92.0	0.0	0.0
A7P-90m	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
AAP99	7.0	3.0	453.0	22.0	0.0	57.0	22.0	0.0	19.0	93.0	13.0	0.0
ADurb.Bin063-1	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADurb.Bin063-2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AKYG587	0.0	0.0	4.0	62.0	0.0	3.0	10.0	0.0	0.0	0.0	2.0	0.0
AT-s3-44	0.0	0.0	3.0	1.0	0.0	2.0	1.0	0.0	0.0	16.0	0.0	0.0
Acetoanaerobium	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	6.0	1.0	0.0
Acetobacter	1.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacterium	1.0	0.0	19.0	0.0	0.0	8.0	5.0	0.0	2.0	10.0	2.0	0.0
Acetobacteroides	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Acetonema	0.0	0.0	5.0	0.0	0.0	2.0	2.0	0.0	2.0	1.0	0.0	0.0
Achromatium	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Achromobacter	1.0	0.0	11.0	0.0	0.0	0.0	3.0	1.0	2.0	2.0	8.0	0.0
Acidaminobacter	3.0	2.0	19.0	4.0	0.0	12.0	20.0	0.0	20.0	22.0	20.0	0.0
Acidaminococcus	1.0	0.0	15.0	2.0	0.0	1.0	0.0	0.0	0.0	12.0	2.0	0.0
Acidibacter	2.0	0.0	49.0	10.0	0.0	0.0	4.0	0.0	4.0	44.0	0.0	0.0
Acidihalobacter	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidiphilium	0.0	0.0	0.0	13.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0
Acidithiobacillus	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Acidocella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
Acidovorax	248.0	198.0	4584.0	1073.0	6.0	1303.0	2440.0	9.0	1430.0	13296.0	2161.0	4.0
Acinetobacter	26.0	4.0	199.0	1239.0	0.0	15.0	47.0	2.0	7.0	38.0	47.0	1.0
Actibacter	0.0	0.0	4.0	3.0	0.0	4.0	6.0	0.0	0.0	1.0	0.0	0.0
Actimicrobium	0.0	0.0	8.0	6.0	0.0	4.0	1.0	0.0	3.0	6.0	4.0	0.0
Actinomadura	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Actinomyces	1.0	0.0	8.0	3.0	0.0	1.0	0.0	0.0	0.0	6.0	1.0	0.0
Actinophytocola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
Actinotalea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Adhaeribacter	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adlercreutzia	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
Advenella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0
Aerococcus	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	1.0	0.0
Aeromicrobium	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Aeromonas	243.0	121.0	761.0	792.0	1.0	72.0	229.0	3.0	102.0	875.0	310.0	0.0
Aerosphaera	1.0	0.0	3.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
Aestuariicella	0.0	1.0	0.0	5.0	0.0	3.0	1.0	0.0	0.0	6.0	2.0	0.0
Aetherobacter	0.0	0.0	13.0	0.0	0.0	0.0	1.0	0.0	0.0	19.0	0.0	0.0
Afifella	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Afipia	0.0	1.0	149.0	44.0	0.0	3.0	3.0	0.0	1.0	9.0	1.0	0.0
Agathobacter	9.0	3.0	121.0	20.0	0.0	47.0	29.0	0.0	67.0	142.0	67.0	0.0
Agreia	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	4.0	0.0
Agromyces	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Ahrensia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Akkermansia	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Albimonas	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Albirhodobacter	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alcaligenes	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	2.0	3.0	0.0	0.0
Alcanivorax	0.0	0.0	1.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Algibacter	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Algoriella	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Algoriphagus	2.0	0.0	52.0	128.0	1.0	93.0	116.0	0.0	166.0	68.0	109.0	0.0
Alicycliphilus	0.0	1.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aliidiomarina	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
Aliidongia	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aliihoeflea	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aliikangiella	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alishewanella	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Alistipes	2.0	0.0	11.0	5.0	0.0	8.0	5.0	0.0	26.0	16.0	16.0	0.0
Aliterella CENA595	0.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkalibacter	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkaliflexus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Alkanibacter	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0
Alkanindiges	0.0	0.0	8.0	276.0	0.0	4.0	3.0	0.0	1.0	26.0	12.0	1.0
Allobaculum	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Alloprevotella	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	12.0	1.0	251.0	1890.0	1.0	67.0	255.0	2.0	68.0	525.0	74.0	0.0
Alsobacter	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Altererythrobacter	1.0	0.0	57.0	1038.0	0.0	69.0	81.0	1.0	46.0	474.0	34.0	0.0
Alterococcus	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Alysiella	0.0	0.0	1.0	8.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Amaricoccus	0.0	0.0	484.0	133.0	2.0	0.0	12.0	1.0	1.0	81.0	1.0	0.0
Aminobacter	1.0	1.0	34.0	125.0	0.0	1.0	17.0	0.0	0.0	68.0	2.0	0.0
Amphiplicatus	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Amylibacter	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anabaena BECID22	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Anaerobacterium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Anaerobiospirillum	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerocella	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0
Anaerocolumna	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0
Anaerofilum	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Anaerofustis	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaeromyxobacter	1.0	0.0	10.0	58.0	0.0	4.0	0.0	0.0	0.0	13.0	2.0	0.0
Anaerophaga	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Anaerosinus	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0
