V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101
Aeromonadaceae	1	0	0	1	2	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	2	0	0	1	0	0	1	0	1	3	2	0	0	0	0	0	0	0	2	1	2	1	0	0	2	0	1	1	2	1	0	1	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	1	2	0	3	0	0	0	1	0	0	2	0	0	1	2	0	0	0	2	0	0	0	1	0	2	0	2	1	0	0	1	0	0
Arcobacteraceae	3	7	6	5	3	4	4	5	3	6	2	6	2	3	5	6	6	3	8	2	5	1	6	7	6	5	5	5	3	2	4	7	4	3	3	3	6	1	6	6	4	6	4	4	1	6	2	7	3	2	2	5	7	1	4	5	4	6	1	4	7	0	6	6	3	7	1	8	3	1	4	3	3	5	4	7	2	6	1	7	3	1	1	2	3	6	1	4	6	4	6	2	3	0	7	2	5	5	7	2
Bacillaceae	4539	4645	4645	4731	4580	4625	4653	4548	4625	4703	4481	4626	4671	4541	4678	4644	4609	4577	4551	4647	4653	4631	4547	4600	4627	4642	4582	4529	4646	4680	4607	4570	4652	4705	4608	4650	4596	4640	4564	4704	4626	4606	4557	4556	4534	4654	4627	4673	4664	4712	4625	4647	4602	4701	4621	4699	4590	4620	4577	4617	4657	4488	4572	4603	4677	4641	4601	4586	4650	4584	4662	4676	4523	4648	4608	4606	4635	4656	4628	4662	4688	4639	4703	4676	4651	4612	4680	4639	4576	4592	4599	4525	4551	4673	4604	4560	4637	4565	4640	4583
Burkholderiaceae	18	16	18	17	15	17	10	20	16	24	9	20	14	17	20	23	18	19	13	13	16	12	12	18	17	25	18	18	18	24	17	17	12	14	14	19	19	16	16	11	20	20	13	7	17	16	15	22	12	24	19	22	15	12	15	14	19	12	9	16	20	14	18	14	17	20	17	15	22	20	20	8	22	17	12	12	19	23	20	19	18	18	16	16	21	12	9	15	12	19	25	15	19	14	10	13	18	20	16	18
Carnobacteriaceae	24	25	16	21	20	18	19	21	17	19	19	24	28	16	26	28	16	21	17	22	24	19	22	19	17	26	19	13	24	24	25	17	19	15	19	24	20	20	21	22	15	20	16	22	15	19	19	17	26	16	26	20	25	15	14	17	16	21	19	27	23	14	19	23	21	16	18	16	17	22	25	25	10	29	19	22	14	21	15	14	20	14	24	23	20	15	19	25	22	29	22	16	20	18	26	19	23	19	19	19
Enterobacteriaceae	22295	22225	22086	22149	22070	22041	22012	22275	22111	22001	22303	22166	22253	22394	22007	22261	22253	22143	22223	22096	22357	22229	22063	22133	22070	21998	22028	22173	22246	22200	22262	22153	22153	21943	22284	22097	22139	22060	22418	22107	22129	22153	22304	22136	22090	22082	22081	22022	22071	22055	22216	22148	22151	22010	22026	22176	22161	22249	22286	22187	22096	22243	22184	22137	22190	22072	22285	22156	22074	22277	22204	22129	22223	22165	22285	22271	22114	22135	22212	21944	22094	22121	22041	22127	22257	22037	22184	22267	22250	22032	22116	22189	22143	22184	22194	22262	21960	22191	22155	22136
Enterococcaceae	1798	1805	1850	1797	1878	1799	1850	1773	1882	1906	1807	1793	1671	1741	1792	1837	1821	1794	1874	1873	1757	1777	1950	1838	1846	1900	1807	1771	1790	1792	1813	1774	1848	1813	1805	1881	1764	1837	1746	1844	1793	1944	1809	1794	1880	1758	1774	1816	1897	1794	1836	1866	1824	1809	1899	1892	1786	1826	1764	1760	1773	1807	1806	1824	1843	1886	1819	1832	1798	1788	1804	1906	1844	1806	1766	1731	1805	1787	1817	1834	1840	1796	1813	1782	1738	1826	1817	1814	1830	1859	1886	1812	1844	1841	1841	1850	1821	1769	1814	1844
Family XII	5	3	2	0	2	3	1	5	1	6	11	4	4	13	4	3	4	3	5	2	2	9	2	7	3	2	6	6	3	3	6	7	4	1	6	1	10	6	5	0	4	6	4	3	4	1	5	1	2	5	7	3	4	3	5	2	2	7	3	5	5	1	6	4	3	4	3	6	3	4	4	2	4	1	7	4	6	4	5	4	6	1	2	1	3	2	6	6	2	2	5	7	7	4	5	5	5	4	1	3
Flavobacteriaceae	0	1	1	0	2	4	2	1	0	2	1	2	1	1	1	2	1	3	2	0	3	2	4	3	1	2	3	2	2	1	1	1	2	3	2	0	1	0	1	3	1	0	0	2	0	2	0	3	3	3	1	1	0	4	1	3	0	1	2	2	2	2	5	0	1	0	1	1	2	2	1	3	1	2	3	2	0	0	0	3	3	2	3	1	4	3	4	1	2	2	0	1	2	4	2	1	1	2	1	0
Lactobacillaceae	1735	1697	1720	1742	1756	1711	1761	1711	1726	1723	1766	1763	1714	1732	1816	1697	1703	1799	1790	1766	1731	1771	1747	1747	1777	1723	1773	1792	1760	1735	1752	1749	1777	1747	1705	1733	1701	1738	1734	1744	1785	1740	1784	1834	1790	1819	1834	1706	1707	1729	1839	1766	1820	1824	1685	1721	1779	1697	1792	1717	1714	1768	1806	1786	1636	1762	1756	1766	1797	1792	1744	1662	1796	1740	1726	1726	1789	1782	1729	1769	1743	1795	1716	1778	1751	1787	1737	1761	1764	1746	1756	1795	1755	1684	1786	1704	1835	1714	1754	1791
Listeriaceae	2784	2802	2845	2824	2848	2873	2783	2755	2757	2820	2772	2810	2750	2735	2867	2791	2714	2729	2750	2763	2749	2743	2797	2811	2808	2839	2758	2715	2716	2813	2731	2894	2735	2864	2741	2735	2808	2856	2760	2776	2808	2731	2671	2814	2797	2761	2838	2800	2775	2857	2753	2781	2775	2854	2762	2802	2787	2755	2758	2827	2823	2803	2811	2761	2825	2816	2706	2886	2846	2772	2748	2783	2714	2783	2786	2856	2781	2762	2696	2875	2728	2842	2874	2777	2756	2821	2800	2720	2833	2815	2784	2842	2789	2825	2723	2820	2862	2823	2746	2822
Methylophilaceae	0	1	0	1	0	1	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	1	1	1	2	1	0	0	0	1	1	0	2	0	0	1	0	0	0	0	1	2	1	2	0	0	0	2	0	0	0	0	1	1	0	2	1	0	0	0	0	0	2	0	1	2	0	1	2	1	0	2	0	0	0	4	0	0	0	0	1	0	0	0	2	0	2	1	0	0	0	1	0	1	0	0	0	0	3	0
Moraxellaceae	2	0	1	0	0	0	0	0	1	1	2	0	2	2	4	0	1	0	1	0	1	3	0	0	0	2	1	0	2	1	1	0	0	1	0	0	0	0	0	1	1	1	0	2	2	1	1	1	2	0	2	1	0	1	2	0	1	0	1	0	1	0	0	0	1	1	0	1	1	1	1	0	0	1	0	1	0	1	1	2	0	0	1	0	0	0	1	1	2	1	0	0	1	0	1	1	3	0	0	1
NS11-12 marine group	2	2	2	4	2	2	4	6	2	5	5	3	1	6	2	2	3	6	3	3	3	1	5	5	7	5	5	6	1	3	4	4	4	3	6	2	3	4	3	4	5	3	4	4	2	5	6	3	5	4	2	0	5	5	2	4	1	3	3	3	4	4	2	3	2	0	5	7	3	0	9	3	3	0	4	4	2	1	9	2	5	3	4	6	2	6	4	2	6	7	2	4	3	2	3	4	2	1	3	5
Pseudomonadaceae	259	266	259	259	286	270	248	274	248	267	235	239	277	249	254	252	240	248	271	287	241	241	252	280	258	254	251	258	247	261	237	263	273	257	254	278	288	261	241	222	250	259	249	275	253	243	283	267	262	249	234	238	251	245	275	257	241	257	241	261	239	251	236	271	245	263	256	259	250	274	239	247	285	255	220	245	270	254	237	269	278	264	251	261	255	271	271	259	247	302	238	248	245	267	242	254	288	270	283	271
Rhodobacteraceae	5	0	4	3	1	5	3	4	1	4	3	3	2	3	3	3	3	0	5	3	4	3	4	4	3	3	2	4	3	0	3	0	8	2	2	2	2	1	3	3	2	2	1	2	4	2	2	2	1	5	4	3	2	2	2	5	2	3	1	3	5	6	2	3	4	1	4	4	3	3	4	2	4	3	5	8	0	6	3	2	3	3	0	3	3	4	5	5	2	2	5	5	0	1	3	1	0	4	2	9
Rhodocyclaceae	2	1	0	1	1	2	1	1	1	2	3	0	1	2	0	2	3	1	1	0	3	1	3	2	3	1	6	1	1	1	4	0	3	2	1	1	0	1	2	0	3	2	4	2	0	1	1	4	1	4	0	2	1	1	2	1	0	1	1	1	1	2	1	4	1	2	3	1	2	2	1	0	1	0	5	4	1	0	2	0	2	1	3	3	1	0	2	2	2	3	2	1	2	2	1	3	1	0	1	2
Sphingomonadaceae	1	2	1	1	1	1	3	3	4	0	1	4	5	1	3	3	0	2	0	4	0	0	2	1	1	2	3	2	4	1	1	2	2	2	1	2	3	2	1	1	1	2	0	4	1	1	1	1	2	1	0	3	4	3	3	2	1	4	2	1	1	0	2	2	1	4	0	1	2	2	0	3	4	4	2	2	0	2	1	2	0	0	3	1	3	0	3	4	1	1	5	1	2	1	1	3	2	5	3	0
Spirosomaceae	4	3	5	3	5	4	1	3	2	5	2	3	4	2	2	2	1	4	1	2	1	7	1	3	6	4	3	4	6	4	4	4	3	2	3	3	6	3	3	5	4	9	7	2	1	1	2	1	5	1	4	1	2	2	2	1	2	2	1	2	1	1	3	3	4	1	4	3	2	1	5	4	5	2	6	4	2	6	4	2	2	4	3	4	3	4	0	3	3	5	2	4	2	3	3	2	4	2	5	3
Staphylococcaceae	3522	3494	3535	3437	3524	3612	3642	3590	3601	3505	3571	3525	3596	3537	3512	3441	3596	3642	3480	3513	3446	3545	3580	3515	3545	3564	3726	3697	3524	3451	3523	3536	3498	3619	3545	3564	3627	3553	3473	3541	3543	3492	3569	3531	3605	3622	3504	3650	3558	3535	3425	3486	3507	3504	3674	3392	3606	3532	3536	3566	3627	3590	3512	3552	3524	3498	3517	3447	3515	3450	3520	3540	3555	3535	3535	3488	3556	3550	3618	3587	3565	3493	3534	3537	3523	3588	3452	3467	3438	3573	3544	3526	3608	3469	3546	3493	3532	3603	3542	3488
Thiovulaceae	0	0	2	0	0	4	1	1	0	0	1	3	1	2	1	0	4	3	1	0	1	2	1	3	3	0	1	0	2	0	0	0	0	0	1	3	2	1	0	2	2	0	1	1	2	1	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	1	0	0	1	3	2	0	2	1	0	1	1	1	3	1	1	0	0	1	0	0	0	1	1	1	1	3	0	2	0	0	1	0	1	0	0	0	3	0
Vibrionaceae	1	5	2	4	4	3	1	3	1	1	5	5	2	1	3	1	4	2	4	4	1	2	1	2	0	2	2	4	1	0	2	2	1	4	0	1	5	0	1	3	1	1	2	3	0	5	4	1	2	3	5	6	2	3	3	4	1	4	1	1	1	4	7	4	0	1	2	3	4	3	2	1	2	3	3	2	3	2	2	2	0	1	8	1	3	3	2	1	2	3	3	4	3	5	0	3	1	2	2	3
