V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101
Aeromonadaceae	5	0	1	0	2	1	0	0	2	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	1	1	2	1	0	0	1
Alteromonadaceae	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1	2	0	0	0	2	2	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	3	0	0	0	0	1	2	0	0	0
Arcobacteraceae	4	2	2	2	3	2	4	1	2	3	3	4	1	2	4	2	4	0	2	2	3	3	2	3	1	2	1	2	2	0	1	1	2	1	3	3	2	0	2	2	1	1	3	3	1	3	3	2	1	1	2	5	0	5	2	2	2	2	3	1	3	3	3	2	4	1	3	5	2	2	4	6	5	3	2	1	1	1	0	1	2	3	0	0	1	0	1	6	0	4	3	1	2	1	4	3	0	4	0	1
Armatimonadaceae	3	3	0	3	3	1	3	1	1	0	2	1	2	2	1	1	1	0	1	1	2	2	0	2	1	0	0	3	2	0	1	2	3	1	2	2	2	1	1	0	0	1	2	1	1	4	1	1	1	0	3	1	1	2	1	3	1	3	3	2	3	0	0	0	2	0	2	2	2	3	1	2	1	1	2	1	3	2	4	1	2	0	0	1	2	1	2	2	2	0	1	1	0	0	1	3	2	2	3	1
Azospirillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacillaceae	4448	4528	4418	4383	4395	4431	4592	4340	4290	4489	4373	4414	4453	4373	4326	4363	4426	4456	4391	4388	4479	4476	4430	4514	4446	4529	4523	4538	4391	4403	4446	4429	4453	4356	4441	4415	4382	4471	4512	4488	4435	4466	4546	4398	4405	4409	4515	4356	4397	4427	4468	4366	4466	4448	4343	4476	4505	4359	4272	4405	4485	4450	4355	4358	4553	4462	4437	4503	4466	4463	4387	4434	4375	4300	4487	4407	4508	4457	4412	4510	4399	4418	4355	4556	4614	4378	4439	4362	4394	4472	4380	4371	4534	4411	4493	4380	4323	4336	4461	4449
Bdellovibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Beijerinckiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderiaceae	30	27	27	31	34	33	25	33	34	31	39	29	35	31	29	26	38	35	26	28	29	28	32	29	33	31	29	21	29	25	30	25	30	27	38	26	35	44	31	32	36	41	27	23	33	29	26	26	37	41	35	35	29	46	22	31	33	27	29	30	32	24	22	27	34	40	32	33	32	28	38	33	35	30	37	33	38	24	29	34	37	32	46	40	36	29	38	36	30	32	30	21	34	28	32	29	34	39	39	31
Carnobacteriaceae	20	23	25	31	27	19	22	31	26	33	22	16	25	21	17	22	23	23	23	31	18	22	38	27	28	31	30	18	26	30	17	18	27	25	23	30	29	20	27	29	27	35	28	31	27	24	24	27	30	32	29	29	25	27	24	19	22	33	17	27	30	32	22	26	29	31	28	24	24	32	24	19	19	30	24	23	32	20	21	24	23	32	14	32	22	30	24	23	32	28	23	22	25	26	22	22	22	29	23	22
