V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101
Acidovorax	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	2	2	0	0	4	0	0	1	3	1	3	1	1	0	2	1	2	3	0	0	1	1	2	3	0	1	1	1	2	2	0	0	2	2	0	1	0	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	3	1	1	1	0	1	1	2	2	1	0	3	0	0	1	0	1	1	1	1	0	2	1	1	2	2	0	1
Aquabacterium	0	1	0	1	1	0	0	2	2	1	0	0	1	1	4	1	1	0	0	0	2	0	1	0	1	1	1	0	0	1	2	0	1	0	2	2	1	0	0	1	1	2	1	0	0	2	1	2	1	0	3	0	1	0	4	0	2	0	0	0	0	1	0	2	2	0	3	0	0	0	1	0	0	1	1	1	1	1	0	1	1	1	2	0	2	1	0	0	0	0	1	0	0	0	0	1	0	0	0	2
Arcobacter	7	5	3	3	0	8	3	3	2	6	4	3	5	6	2	4	2	5	5	4	3	4	6	1	3	4	2	4	3	5	3	10	4	8	2	5	3	8	3	7	2	5	6	5	5	3	2	7	2	4	2	6	3	4	5	6	3	3	3	5	5	2	4	2	8	4	4	4	1	6	3	3	3	5	3	6	4	5	4	1	2	5	2	4	4	4	3	5	7	6	1	5	4	4	7	6	2	0	3	0
Bacillus	4666	4654	4672	4635	4557	4628	4701	4615	4632	4617	4647	4730	4548	4639	4602	4582	4605	4604	4619	4633	4697	4716	4685	4635	4593	4597	4551	4584	4565	4664	4662	4548	4449	4664	4840	4545	4567	4805	4590	4536	4570	4779	4686	4644	4627	4653	4570	4646	4601	4551	4620	4604	4634	4636	4644	4632	4521	4570	4568	4611	4609	4725	4645	4540	4608	4623	4573	4667	4635	4568	4676	4694	4576	4586	4721	4631	4643	4434	4553	4745	4559	4639	4645	4696	4616	4692	4517	4647	4547	4509	4570	4623	4550	4615	4578	4602	4537	4610	4678	4681
Buttiauxella	1	0	1	1	0	1	1	2	0	0	1	1	0	1	1	0	0	0	0	0	3	0	2	0	0	2	1	0	2	0	0	2	1	1	1	0	0	0	0	0	1	4	0	2	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	0	0	3	0	1	1	0	2	0	0	1	0	0	0
Citrobacter	95	121	109	94	95	115	81	107	103	95	99	102	96	119	106	108	86	90	97	117	99	116	98	102	116	85	91	99	124	111	112	111	107	101	90	112	97	105	94	91	108	93	119	92	95	107	94	98	118	114	114	89	105	102	115	105	96	106	131	103	96	99	112	110	97	99	118	108	91	127	100	109	112	102	101	94	110	96	86	91	90	99	109	79	103	98	108	96	107	110	103	95	96	102	113	88	98	109	104	108
Cronobacter	8	2	6	3	5	5	5	3	10	5	6	7	4	2	6	6	2	1	6	2	6	5	4	9	4	5	4	5	3	4	8	5	8	4	4	9	3	5	11	5	4	3	3	5	4	4	9	8	7	2	5	7	4	9	1	5	5	4	2	2	2	2	1	5	3	5	6	6	0	5	10	3	7	3	1	4	4	4	5	4	2	6	3	3	8	3	3	6	8	4	4	3	1	7	10	4	6	4	3	6
Edwardsiella	2	3	2	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	0	1	2	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	3	1	0	0	1	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	1	0	1	1	2	1	0	0	3	2	0	1	0	0	0	0	0	1	1	0	1	1	0	1	1	0	1	1	2	0	0	0	0	2	1	0	2	2
Enterobacillus	0	1	0	0	0	0	0	0	1	1	0	0	1	0	2	1	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	2	1	1	0	3	1	1	0	0	1	2	0	0	3	3	0	1	0	2	0	0	1	0	2	2	1	1	1	1	0	1	0	0	4	0	1	0	2	3	0	0	1	2	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0
Enterobacter	51	56	58	54	69	79	58	64	60	75	73	61	69	70	67	65	56	57	64	56	78	65	61	63	69	65	57	61	68	57	70	66	69	61	59	73	75	65	69	60	72	52	67	56	55	65	71	70	69	55	60	78	67	68	63	74	59	84	53	67	63	62	52	52	56	75	57	60	59	66	73	73	81	56	68	63	62	65	70	65	71	69	63	52	57	74	73	65	64	75	57	61	69	54	62	61	68	62	66	72
